pathway,n_genes,n_below,expected_below,fold_enrichment,mean_rank_pct,perm_p,q_value,significant_fdr05
GO_BP:Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),48,13,4.4787121372590555,2.902620128641695,34.583158324617585,0.0002899971000289997,0.6933643163568365,False
GO_BP:Nucleosome Organization (GO:0034728),69,16,6.4381486973098925,2.4851864646564343,34.441115297015045,0.0003899961000389996,0.6933643163568365,False
GO_BP:Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),433,62,40.401715738191065,1.5345882932737047,44.47095248838322,0.0005999940000599994,0.6933643163568365,False
GO_BP:Protein Modification By Small Protein Removal (GO:0070646),90,19,8.39758525736073,2.262555177197629,36.23731516333902,0.0006199938000619994,0.6933643163568365,False
GO_BP:Non-Membrane-Bounded Organelle Assembly (GO:0140694),126,24,11.75661936030502,2.041403167396357,40.79009639550878,0.0006699933000669994,0.6933643163568365,False
GO_BP:Spindle Assembly (GO:0051225),73,16,6.811374708748147,2.349011863853342,38.52941158049113,0.000969990300096999,0.6933643163568365,False
GO_BP:Ethanol Metabolic Process (GO:0006067),14,6,1.3062910400338912,4.5931571266418025,35.28518424601335,0.000989990100098999,0.6933643163568365,False
GO_BP:Protein Deubiquitination (GO:0016579),87,18,8.117665748782038,2.2173861990684567,36.15169475016829,0.000989990100098999,0.6933643163568365,False
GO_BP:snRNA Metabolic Process (GO:0016073),21,7,1.9594365600508368,3.5724555429436244,29.15874681646329,0.002109978900210998,1.0,False
GO_BP:Ethanol Oxidation (GO:0006069),7,4,0.6531455200169456,6.12420950218907,24.037264905962385,0.002159978400215998,1.0,False
GO_BP:Proteasomal Protein Catabolic Process (GO:0010498),215,33,20.060898114806186,1.6449911569833433,42.93400069534485,0.003159968400315997,1.0,False
GO_BP:Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),309,44,28.83170938360517,1.5260975134904804,42.86192668477308,0.0033299667003329966,1.0,False
GO_BP:Ubiquitin-Dependent Protein Catabolic Process Via The C-end Degron Rule Pathway (GO:0140627),8,4,0.7464520228765092,5.358683314415437,28.780575265853123,0.0037799622003779963,1.0,False
GO_BP:Fat-Soluble Vitamin Catabolic Process (GO:0042363),8,4,0.7464520228765092,5.358683314415437,37.46955079444099,0.0038599614003859964,1.0,False
GO_BP:Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062207),8,4,0.7464520228765092,5.358683314415437,26.437647085758414,0.003899961000389996,1.0,False
GO_BP:ncRNA Transcription (GO:0098781),13,5,1.2129845371743275,4.122064088011874,30.25306597969172,0.004639953600463995,1.0,False
GO_BP:Intraciliary Anterograde Transport (GO:0035720),13,5,1.2129845371743275,4.122064088011874,33.903788330482264,0.005009949900500995,1.0,False
GO_BP:snRNA 3'-End Processing (GO:0034472),19,6,1.7728235543317095,3.3844315669992233,25.72554365154372,0.005929940700592994,1.0,False
