superpop,pathway,n_genes,n_below,expected_below,fold,perm_p,q
AFR,GO:Regulation Of Cell Differentiation (GO:0045595),191,36,17.732360479104557,2.030186564412654,5e-05,0.28055
AFR,KEGG:Cell cycle,121,24,11.233589622888227,2.136449773018275,0.0002,0.46758333333333335
AFR,GO:Multi-Pass Transmembrane Protein Insertion Into ER Membrane (GO:0160063),8,5,0.7427166692818662,6.732042253521127,0.00025,0.46758333333333335
AFR,GO:Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),49,13,4.54913959935143,2.8576832423110092,0.0004,0.5611
AFR,GO:Histone H3-K4 Methylation (GO:0051568),24,8,2.2281500078455987,3.5904225352112675,0.0009,0.9218071428571427
AFR,GO:L-serine Metabolic Process (GO:0006563),10,5,0.9283958366023327,5.385633802816901,0.00105,0.9218071428571427
AFR,GO:Negative Regulation Of Programmed Necrotic Cell Death (GO:0062099),10,5,0.9283958366023327,5.385633802816901,0.00115,0.9218071428571427
AFR,GO:Regulation Of Epithelial Cell Apoptotic Process (GO:1904035),10,5,0.9283958366023327,5.385633802816901,0.00135,0.9468562500000001
AFR,GO:Negative Regulation Of Heart Contraction (GO:0045822),11,5,1.021235420262566,4.896030729833547,0.0019,1.0
AFR,GO:Central Nervous System Development (GO:0007417),259,39,24.045452168000416,1.6219283267170592,0.00195,1.0
AFR,GO:Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815),34,9,3.1565458444479315,2.8512178956089476,0.0029,1.0
AFR,GO:mRNA Stabilization (GO:0048255),47,11,4.363460432030964,2.520934971531316,0.00335,1.0
AFR,GO:Brain Development (GO:0007420),153,25,14.204456300015691,1.76001104667219,0.00375,1.0
AFR,GO:Regulation Of RNA Metabolic Process (GO:0051252),84,16,7.798525027459595,2.0516700201207243,0.0039,1.0
AFR,GO:Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),30,8,2.785187509806998,2.8723380281690143,0.0045,1.0
AFR,GO:Cellular Response To Oxygen Levels (GO:0071453),9,4,0.8355562529420995,4.787230046948357,0.00495,1.0
