locus_id,representative_gene,chr,pickrell_status,pickrell_hits,grossman_status,grossman_hits
0,SYF2,1,clean,,clean,
1,PIGV,1,neighbour_only,GPR3,clean,
2,HDAC1,1,clean,,clean,
3,ZMYM6,1,rep_in_scan,ZMYM6;SFPQ;PSMB2,rep_in_scan,ZMYM6;SFPQ
4,RNF11,1,rep_in_scan,RNF11,clean,
5,LRRC42,1,clean,,clean,
6,HS2ST1,1,clean,,clean,
7,GLMN,1,clean,,clean,
8,ATP1A1,1,clean,,clean,
9,H2BC21,1,clean,,clean,
10,TCHHL1,1,clean,,clean,
11,PYGO2,1,clean,,clean,
12,DEDD,1,clean,,clean,
13,OR2T10,1,neighbour_only,OR2M5,clean,
14,GEN1,2,clean,,clean,
15,OTX1,2,clean,,clean,
16,FBXO48,2,clean,,clean,
17,EXOC6B,2,clean,,rep_in_scan,EXOC6B
18,DOK1,2,clean,,neighbour_only,DCTN1
19,MRPS5,2,clean,,clean,
20,SULT1C4,2,clean,,rep_in_scan,SULT1C4
21,BUB1,2,clean,,clean,
22,ARL5A,2,rep_in_scan,ARL5A,clean,
23,ERMN,2,clean,,neighbour_only,GALNT5
24,IFIH1,2,clean,,clean,
25,PGAP1,2,rep_in_scan,PGAP1,clean,
26,ORC2,2,clean,,clean,
27,FEV,2,clean,,clean,
28,SCG2,2,clean,,clean,
29,COPS8,2,rep_in_scan,COPS8,clean,
30,OXSM,3,rep_in_scan,OXSM,clean,
31,MYD88,3,clean,,clean,
32,SLC26A6,3,clean,,neighbour_only,ARIH2;P4HTM;WDR6;DALRD3;NDUFAF3;IMPDH2;USP19;LAMB2;CCDC71;KLHDC8B;APEH
33,STX19,3,clean,,clean,
34,BBX,3,rep_in_scan,BBX,clean,
35,GP9,3,clean,,clean,
36,NME9,3,clean,,clean,
37,SLC25A36,3,rep_in_scan,SLC25A36,clean,
38,LETM1,4,clean,,clean,
39,TMEM33,4,rep_in_scan,TMEM33;SLC30A9,rep_in_scan,TMEM33;DCAF4L1;SLC30A9;BEND4
40,SGCB,4,clean,,clean,
41,CXCL3,4,clean,,clean,
42,BMP2K,4,clean,,clean,
43,HERC5,4,clean,,clean,
44,GSTCD,4,clean,,clean,
