gene_id	gene_name	start	end	strand
ENSG00000272602.6	ZNF595	53286	88208	+
ENSG00000250312.8	ZNF718	124501	202303	+
ENSG00000186777.13	ZNF732	270675	305474	-
ENSG00000131127.14	ZNF141	337814	384868	+
ENSG00000182903.16	ZNF721	425815	499156	-
ENSG00000174227.16	PIGG	499210	540200	+
ENSG00000273238.3	TMEM271	573880	576295	-
ENSG00000133256.13	PDE6B	625573	670782	+
ENSG00000169020.10	ATP5ME	672436	674330	-
ENSG00000215375.7	MYL5	673580	682028	+
ENSG00000169026.13	SLC49A3	681829	689271	-
ENSG00000185619.19	PCGF3	705748	770089	+
ENSG00000168993.15	CPLX1	784957	826129	-
ENSG00000178950.18	GAK	849276	932373	-
ENSG00000127419.17	TMEM175	932387	958656	+
ENSG00000145214.14	DGKQ	958887	986895	-
ENSG00000145217.14	SLC26A1	979073	993440	-
ENSG00000127415.13	IDUA	986997	1004564	+
ENSG00000127418.15	FGFRL1	1009936	1026898	+
ENSG00000178222.14	RNF212	1056250	1113564	-
ENSG00000159674.12	SPON2	1166932	1208962	-
ENSG00000159692.18	CTBP1	1211445	1250333	-
ENSG00000090316.16	MAEA	1289887	1340147	+
ENSG00000163945.19	UVSSA	1345691	1395989	+
ENSG00000235608.2	NKX1-1	1402932	1406442	-
ENSG00000174137.14	FAM53A	1617915	1684313	-
ENSG00000163950.13	SLBP	1692731	1712344	-
ENSG00000013810.21	TACC3	1712858	1745171	+
ENSG00000168936.12	TMEM129	1715952	1721358	-
ENSG00000068078.20	FGFR3	1793293	1808872	+
ENSG00000168924.15	LETM1	1811479	1856156	-
ENSG00000109685.19	NSD2	1871393	1982207	+
ENSG00000185049.16	NELFA	1982717	2041903	-
ENSG00000243449.8	NICOL1	2041995	2043964	+
ENSG00000185818.8	NAT8L	2059327	2069089	+
ENSG00000130997.16	POLN	2071918	2242121	-
ENSG00000290263.1	ENSG00000290263	2078998	2242276	-
ENSG00000214367.10	HAUS3	2227464	2242133	-
ENSG00000123933.17	MXD4	2247432	2262109	-
ENSG00000159733.14	ZFYVE28	2269582	2418651	-
ENSG00000206113.12	CFAP99	2418955	2463002	+
ENSG00000063978.17	RNF4	2462220	2515857	+
ENSG00000290180.1	ENSG00000290180	2512477	2625320	+
ENSG00000125386.16	FAM193A	2536647	2732573	+
ENSG00000168884.15	TNIP2	2741648	2756342	-
ENSG00000087266.18	SH3BP2	2793023	2841291	+
ENSG00000087274.19	ADD1	2843844	2930076	+
ENSG00000109736.15	MFSD10	2930561	2934834	-
ENSG00000087269.16	NOP14	2937933	2963406	-
ENSG00000125388.20	GRK4	2963571	3040760	+
ENSG00000197386.14	HTT	3041363	3243957	+
ENSG00000188981.11	MSANTD1	3244369	3271738	+
ENSG00000159788.20	RGS12	3293021	3439913	+
ENSG00000109758.9	HGFAC	3441968	3449486	+
ENSG00000175920.18	DOK7	3463306	3501473	+
ENSG00000163956.13	LRPAP1	3503612	3532446	-
ENSG00000184160.8	ADRA2C	3766348	3768526	+
ENSG00000163982.6	OTOP1	4188726	4226929	-
ENSG00000132406.12	TMEM128	4235542	4248223	-
