gene_name,gstart,gend,midpoint,n_seg,max_h12_500kb,max_h2h1_500kb,n_windows
TPTE,10521553,10606140,10563846,25142,0.25176320961960924,0.32788580885395124,495
POTED,13609777,13645823,13627800,26862,0.42542490461325005,0.07117842759586765,530
LIPI,14108813,14210955,14159884,28954,0.4787836744132269,0.24453961456102782,572
RBM11,14216130,14228372,14222251,30786,0.48618337380043947,0.2515910055154858,608
HSPA13,14371115,14383484,14377299,31056,0.4787836744132269,0.24453961456102782,614
SAMSN1,14485228,14658821,14572024,27681,0.4706902532084633,0.23537061118335484,546
NRIP1,14961235,15065936,15013585,26597,0.48618337380043947,0.2515910055154858,524
USP25,15729982,15880064,15805023,26216,0.7234940455543993,0.004395414978884771,517
CXADR,17513043,17593579,17553311,29938,0.6452191004740433,0.03316416853534758,591
BTG3,17593653,17612945,17603299,29699,0.6886923343739161,0.03020833333333333,586
C21orf91,17788974,17819386,17804180,28206,0.49947970863683655,0.009822560202788341,557
CHODL,17901263,18267373,18084318,25993,0.6445253786564921,0.048610237705948946,512
TMPRSS15,18269116,18485879,18377497,26677,0.652965660770031,0.06432748538011698,526
NCAM2,20998409,21543329,21270869,27829,0.5038154699965315,0.2719298245614035,549
MRPL39,25585656,25607517,25596586,24971,0.4201641808301538,0.13936811473706096,492
JAM2,25639258,25717562,25678410,25019,0.4269857787027402,0.13667890656874748,493
ATP5PF,25716503,25735673,25726088,24948,0.42687015839981496,0.13632653061224498,491
GABPA,25734570,25772460,25753515,25025,0.4201641808301538,0.13936811473706096,493
APP,25880535,26171128,26025831,25885,0.3573823563417735,0.5039694656488546,510
CYYR1,26466209,26573286,26519747,24851,0.4172158631055613,0.3237672841116616,490
ADAMTS1,26835755,26845409,26840582,25385,0.4035148572089259,0.3069518716577538,500
ADAMTS5,26917922,26967088,26942505,25436,0.4035148572089259,0.3069518716577538,501
N6AMT1,28872191,28885371,28878781,24097,0.39218406752225693,0.3405817174515233,474
LTN1,28928144,28992956,28960550,24171,0.4289513238524685,0.02369255150554676,476
RWDD2B,29004384,29019360,29011872,24328,0.4289513238524685,0.02369255150554676,479
USP16,29024629,29054488,29039558,24485,0.46427332639611507,0.020812108863338688,482
CCT8,29055805,29073797,29064801,24421,0.40964273326396117,0.028971028971028993,481
MAP3K7CL,29077221,29175889,29126555,24338,0.40964273326396117,0.028971028971028993,479
BACH1,29194071,29630751,29412411,24191,0.4081974794773962,0.5520639147802928,476
GRIK1,29536933,29940033,29738483,25591,0.5488495779858943,0.020966946225949686,504
CLDN17,30165565,30166805,30166185,26117,0.6193201526187998,0.012516254876462938,515
CLDN8,30214006,30216097,30215051,26126,0.6193201526187998,0.012516254876462938,515
KRTAP24-1,30281309,30282950,30282129,25965,0.5488495779858943,0.020966946225949686,512
KRTAP25-1,30289145,30289514,30289329,25937,0.5488495779858943,0.020966946225949686,511
KRTAP26-1,30319124,30320315,30319719,25869,0.6193201526187998,0.012516254876462938,510
KRTAP27-1,30337013,30337694,30337353,25902,0.6360850965429529,0.011741786015164282,511
KRTAP23-1,30348399,30348606,30348502,25906,0.6448144294138051,0.011830635118306352,511
KRTAP13-2,30371390,30372271,30371830,25855,0.6193201526187998,0.012516254876462938,510
