chr,gene_name,gstart,gend,n_windows,max_h12
22,POTEH,15690026,15721631,7,0.002998358793081681
22,XKR3,16783412,16825411,9,0.021098977401843202
22,GAB4,16961936,17008222,7,0.027774270925388207
22,IL17RA,17084954,17115693,7,0.00609140260068173
22,TMEM121B,17116297,17121367,1,0.011504229263981822
22,HDHD5,17137511,17165287,6,0.011204393384673652
22,ADA2,17178790,17258235,21,0.010273324075243024
22,CECR2,17359949,17558151,53,0.017185330135083953
22,SLC25A18,17563450,17590995,9,0.00713293776038379
22,ATP6V1E1,17592136,17628749,11,0.017548289357404365
22,BCL2L13,17628855,17730855,26,0.016348945840171696
22,BID,17734138,17774770,12,0.007748390354753186
22,MICAL3,17787649,18024561,62,0.023292513571518743
22,PEX26,18077923,18105396,6,0.008884610528973616
22,ENSG00000288683,18077989,18131720,12,0.008884610528973616
22,TUBA8,18110100,18146683,9,0.012877161974498171
22,USP18,18149843,18177397,7,0.011819845979043049
22,TMEM191B,18527802,18530573,1,0.0030614821360939264
22,RIMBP3,18605815,18611919,1,0.002998358793081681
22,ENSG00000283809,18906238,18947732,2,0.0047658123974245676
22,DGCR2,19036282,19122454,19,0.025217775533392252
22,ESS2,19130279,19144684,2,0.006943567731347052
22,GSC2,19146993,19150292,1,0.005854690064385808
22,SLC25A1,19175581,19178739,1,0.02485481631107183
22,CLTCL1,19179473,19291719,21,0.05060914026006817
22,HIRA,19330698,19447450,17,0.035648907966165884
22,C22orf39,19351368,19447711,14,0.035648907966165884
22,UFD1,19449911,19479202,4,0.031230273955308672
22,CDC45,19479457,19520612,5,0.023371417750284052
22,SEPTIN5,19714503,19724224,1,0.01172516096452468
22,ENSG00000284874,19717220,19724772,1,0.01172516096452468
22,TBX1,19756703,19783593,4,0.01115705087741447
22,GNB1L,19783223,19854939,13,0.017611412700416613
22,RTL10,19846138,19854896,2,0.017611412700416613
22,TXNRD2,19875517,19941820,19,0.013366367882843073
22,COMT,19941371,19969975,7,0.010715187476328747
22,ARVCF,19969896,20016823,9,0.016995960106047214
22,TANGO2,20017014,20067164,10,0.01472351975760636
22,DGCR8,20080221,20111877,4,0.01841623532382275
22,TRMT2A,20111875,20117392,1,0.018621386188612546
22,RANBP1,20115938,20127355,2,0.015717712410049232
22,ZDHHC8,20129456,20148007,3,0.015623027395530866
22,RTN4R,20241415,20283246,8,0.009405378108824643
22,ZNF74,20394115,20408461,3,0.016427850018937002
22,SCARF2,20424584,20437826,2,0.009310693094306276
22,ENSG00000277971,20429241,20446620,2,0.008805706350208308
22,KLHL22,20441519,20495844,10,0.014407903042545134
22,MED15,20495913,20587632,19,0.016648781719479862
22,PI4KA,20707691,20859417,28,0.02242456760510037
22,SERPIND1,20774113,20787720,3,0.01728001514960232
22,SNAP29,20859007,20891214,7,0.01492867062239616
22,CRKL,20917407,20953747,6,0.009594748137861382
22,AIFM3,20965108,20981360,4,0.006422800151496022
22,LZTR1,20982269,20999032,3,0.007716828683247065
22,THAP7,20999104,21002196,1,0.0068804443883348065
22,TUBA3FP,21008193,21014292,1,0.014881328115136976
22,ENSG00000291240,21008247,21032572,5,0.016175356646888017
22,P2RX6,21009808,21028013,4,0.016175356646888017
22,LRRC74B,21045946,21064168,4,0.012561545259436941
22,HIC2,21417371,21451463,4,0.004087236460042924
22,TMEM191C,21466423,21471269,1,0.0043555106678449685
22,UBE2L3,21549447,21624034,16,0.01947355131927787
22,CCDC116,21632716,21637329,1,0.008726802171443001
22,PPIL2,21666000,21700015,9,0.012356394394647141
22,YPEL1,21697536,21735794,9,0.014455245549804319
22,MAPK1,21759657,21867680,23,0.013918697134200228
22,PPM1F,21919425,21952848,6,0.014407903042545132
22,TOP3B,21957025,21982813,5,0.010841434162353237
22,ZNF280B,22484421,22508742,5,0.010999242519883854
22,ZNF280A,22513736,22520270,2,0.007953541219542986
22,PRAME,22547701,22559361,3,0.008884610528973614
22,GGTLC2,22644614,22647898,2,0.005034086605226613
22,IGLL5,22887780,22896111,10,0.049883221815427335
22,RSPH14,23059415,23145021,15,0.015354753187728823
22,GNAZ,23070519,23125032,9,0.012956066153263477
22,RAB36,23145366,23165663,4,0.01578083575306148
22,BCR,23179704,23318037,34,0.026196187350082056
22,IGLL1,23573125,23580302,3,0.004276606489079661
22,DRICH1,23608452,23632321,7,0.015354753187728823
22,RGL4,23688136,23699176,2,0.022203635904557498
22,ZNF70,23738682,23751112,3,0.014202752177755336
22,VPREB3,23752743,23754425,1,0.01603332912511047
22,CHCHD10,23765834,23767972,1,0.018163741951773768
22,MMP11,23768226,23784316,2,0.020878045701300342
22,SMARCB1,23786931,23838009,16,0.0326505491730842
22,DERL3,23834503,23839128,1,0.009010857214998107
22,SLC2A11,23856703,23886312,8,0.019378866304759504
22,ENSG00000251357,23862188,23895223,9,0.019378866304759504
22,GSTT2B,23957414,23961195,2,0.003582249715944956
22,DDTL,23966888,23972556,1,0.0036927155662163863
22,DDT,23970542,23980525,1,0.0036927155662163863
22,GSTT4,23998401,24005453,2,0.004150359803055169
22,CABIN1,24011192,24178628,19,0.014881328115136976
22,SUSD2,24181487,24189106,2,0.01320855952531246
22,GGT5,24219654,24245108,6,0.010099734881959348
22,SPECC1L,24270817,24417739,25,0.025217775533392245
22,SPECC1L-ADORA2A,24270898,24442356,28,0.025217775533392245
22,ADORA2A,24417879,24442357,3,0.015070698144173715
22,UPB1,24494107,24528390,7,0.012782476959979801
22,GUCD1,24540423,24555935,3,0.01000504986744098
22,SNRPD3,24555958,24582052,4,0.010588940790304254
22,ENSG00000286070,24556007,24628987,15,0.010588940790304254
22,LRRC75B,24585620,24593208,1,0.005255018305769472
22,GGT1,24594811,24629005,9,0.004781593233177629
22,PIWIL3,24719034,24774720,13,0.013729327105163489
22,SGSM1,24806169,24927578,36,0.02505996717586163
22,LHFPL7,24935098,24946695,3,0.014171190506249211
22,KIAA1671,24952716,25197448,51,0.021162100744855448
22,CRYBB3,25199858,25207359,2,0.02002588057063502
22,CRYBB2,25212564,25231870,6,0.00855321297815932
22,GRK3,25564675,25729294,26,0.021414594116904433
22,MYO18B,25742144,26031045,68,0.02267706097714935
