gene_name,gstart,gend,midpoint,n_seg,max_h12_500kb,max_h2h1_500kb,n_windows
TUBB8B,47221,73545,60383,3551,0.03670944617874899,0.979381443298969,64
USP14,158383,214629,186506,4325,0.03670944617874899,0.9795918367346939,79
THOC1,214520,268050,241285,4750,0.03670944617874899,0.9795918367346939,88
COLEC12,316737,500722,408729,5951,0.03670944617874899,0.9795918367346939,112
CETN1,580380,582114,581247,6259,0.028211353913747253,0.9803921568627451,118
CLUL1,596988,650334,623661,6143,0.028211353913747253,0.9803921568627451,115
TYMS,657653,673578,665615,6090,0.03636258526997341,0.9803921568627451,114
ENOSF1,670318,712662,691490,6041,0.02809573361082205,0.9803921568627451,113
YES1,721588,812546,767067,6082,0.01329633483639727,0.9803921568627451,114
ADCYAP1,904871,912172,908521,5689,0.01329633483639727,0.9803921568627451,106
METTL4,2537525,2571509,2554517,5537,0.019308590588507347,0.9813084112149533,103
NDC80,2571557,2616635,2594096,5620,0.01925078043704475,0.9811320754716981,105
SMCHD1,2655726,2805017,2730371,5762,0.019424210891432543,0.9813084112149533,108
EMILIN2,2847006,2916003,2881504,5806,0.018441438316568394,0.9805825242718448,109
LPIN2,2885296,3013144,2949220,5788,0.01925078043704475,0.9805825242718448,108
MYOM1,3066807,3219968,3143387,5615,0.014625968320037003,0.9805825242718448,105
MYL12A,3247481,3256236,3251858,5703,0.011446409989594172,0.9807692307692307,107
MYL12B,3261479,3278461,3269970,5663,0.011446409989594172,0.9807692307692307,106
TGIF1,3411608,3459978,3435793,5586,0.011446409989594172,0.9807692307692307,104
DLGAP1,3496032,4455307,3975669,5551,0.020060122557521102,0.981651376146789,104
AKAIN1,5142911,5197503,5170207,5485,0.026766100127182335,0.9803921568627451,102
ZBTB14,5289019,5297053,5293036,5334,0.017863336801942423,0.9803921568627451,99
EPB41L3,5392381,5630700,5511540,5291,0.016013411955139327,0.981651376146789,98
TMEM200C,5882072,5895955,5889013,4567,0.016533703318302694,0.9824561403508771,84
L3MBTL4,5954706,6415237,6184971,4807,0.0182680078621806,0.981651376146789,89
ARHGAP28,6729716,6915716,6822716,5527,0.026014568158168574,0.9805825242718448,103
LAMA1,6941742,7117797,7029769,5923,0.020696034223609668,0.9805825242718448,111
LRRC30,7231089,7232044,7231566,5616,0.013354144987859869,0.9801980198019802,105
PTPRM,7566782,8406861,7986821,4858,0.018210197710718006,0.9625000000000001,90
RAB12,8609437,8639383,8624410,5669,0.021447566192623425,0.9651162790697674,106
MTCL1,8705556,8832778,8769167,5376,0.021331945889698233,0.9656488549618322,100
NDUFV2,9102630,9134345,9118487,4958,0.02480055497745404,0.9601769911504426,92
ANKRD12,9136228,9285985,9211106,5104,0.024511504220141055,0.9807692307692307,95
TWSG1,9334767,9402420,9368593,5150,0.02462712452306625,0.9807692307692307,96
RALBP1,9475009,9538114,9506561,4890,0.027575442247658684,0.9807692307692307,90
PPP4R1,9546791,9615240,9581015,4813,0.02688172043010753,0.9807692307692307,89
RAB31,9708275,9862551,9785413,5121,0.024684934674528845,0.9807692307692307,95
TXNDC2,9885766,9889275,9887520,5575,0.024511504220141055,0.9805825242718448,104
VAPA,9914016,9960021,9937018,5632,0.020580413920684472,0.9807692307692307,105
APCDD1,10454635,10489949,10472292,5874,0.022835009827725752,0.9946236559139786,110
NAPG,10525905,10552764,10539334,5977,0.02260376922187536,0.9946236559139786,112
PIEZO2,10666483,11149569,10908026,5770,0.02260376922187536,0.9946236559139786,108
SLC35G4,11609596,11610612,11610104,5934,0.03352988784830616,0.9805825242718448,111
GNAL,11689264,11885685,11787474,6173,0.03191120360735345,0.9946236559139786,116
CHMP1B,11851413,11854444,11852928,6218,0.031853393455890854,0.9946236559139786,117
MPPE1,11882622,11908366,11895494,6232,0.031853393455890854,0.9946236559139786,117
IMPA2,11981025,12030877,12005951,6071,0.02225690831309978,0.9801980198019802,114
ANKRD62,12093843,12129764,12111803,5895,0.02225690831309978,0.9946236559139786,110
CIDEA,12254361,12277595,12265978,5853,0.025609897097930396,0.9805825242718448,110
TUBB6,12307669,12344320,12325994,5857,0.025609897097930396,0.979381443298969,110
AFG3L2,12328944,12377227,12353085,5817,0.02225690831309978,0.9946236559139786,109
PRELID3A,12407896,12432238,12420067,5653,0.022372528616024977,0.9946236559139786,106
SPIRE1,12446512,12658107,12552309,5324,0.018094577407792807,0.979381443298969,99
PSMG2,12658043,12728945,12693494,5422,0.028905075731298413,0.9946236559139786,101
CEP76,12661833,12702777,12682305,5408,0.032142444213203836,0.9946236559139786,101
PTPN2,12785478,12929643,12857560,5330,0.036015724361197834,0.981651376146789,99
SEH1L,12947133,12987536,12967334,5401,0.0490808185917447,0.9814814814814814,101
CEP192,12991362,13125052,13058207,5622,0.04717308359347901,0.9814814814814814,105
LDLRAD4,13217498,13652755,13435126,5851,0.07330327205457277,0.9814814814814814,110
FAM210A,13663347,13726663,13695005,5511,0.07630939993062781,0.9814814814814814,103
RNMT,13726660,13764556,13745608,5606,0.07330327205457277,0.9814814814814814,105
MC5R,13824149,13827323,13825736,6174,0.07630939993062781,0.9813084112149533,116
MC2R,13882044,13915707,13898875,6389,0.08422939068100356,0.9811320754716981,120
ZNF519,14057457,14132490,14094973,6387,0.07330327205457277,0.9946236559139786,120
POTEC,14507339,14543600,14525469,6179,0.018846109376806565,0.9946236559139786,116
ANKRD30B,14728272,14854667,14791469,6212,0.035379812695109265,0.9946236559139786,117
ROCK1,20944612,21111813,21028212,2722,0.010405827263267432,0.9946236559139786,47
