chr,gene_name,gstart,gend,n_windows,max_h12
10,TUBB8,46888,74163,7,0.05174669128962757
10,ZMYND11,130088,254637,10,0.0075792551554324395
10,DIP2C,274201,689668,59,0.019044321329639888
10,LARP4B,806933,931821,14,0.01100338565712527
10,GTPBP4,988434,1019932,5,0.009772237611572792
10,IDI2,1018910,1025859,1,0.010003077870113881
10,IDI1,1039152,1049119,1,0.011080332409972301
10,WDR37,1049538,1160991,16,0.03589566020313942
10,ADARB2,1177313,1737525,96,0.01662049861495845
10,PFKP,3066333,3137718,20,0.01835180055401662
10,PITRM1,3137728,3172841,6,0.02019852262234534
10,KLF6,3775996,3785281,1,0.011041859033548785
10,AKR1E2,4786629,4848062,12,0.04051246537396122
10,AKR1C1,4963253,4983283,4,0.008156355801785165
10,AKR1C2,4987775,5018031,7,0.009349030470914128
10,AKR1C3,5035354,5107686,13,0.025777162203755
10,AKR1C8,5153920,5185187,6,0.03562634656817482
10,AKR1C4,5195462,5218949,4,0.017620806401969835
10,UCN3,5364966,5374692,3,0.008156355801785163
10,TUBAL3,5393101,5404828,2,0.01592797783933518
10,NET1,5412557,5459056,6,0.015504770698676517
10,ASB13,5638867,5666595,5,0.006925207756232687
10,TASOR2,5684731,5763779,9,0.011657433056325025
10,GDI2,5765223,5842132,11,0.009002770083102494
10,ANKRD16,5861616,5889906,4,0.01023391812865497
10,FBH1,5890203,5937594,6,0.01319636811326562
10,IL15RA,5943639,5978187,7,0.007386888273314867
10,IL2RA,6010689,6062370,7,0.007733148661126501
10,RBM17,6089034,6117457,5,0.009541397353031703
10,PFKFB3,6144934,6254644,22,0.00796398891966759
10,PRKCQ,6427143,6580301,20,0.01781317328408741
10,SFMBT2,7158624,7411488,33,0.014389042782394584
10,ITIH5,7559270,7666998,20,0.009618344105878732
10,ITIH2,7703316,7749520,7,0.009002770083102494
10,KIN,7750962,7787993,5,0.015235457063711912
10,ATP5F1C,7788147,7807815,3,0.01238842720837181
10,TAF3,7818497,8016631,27,0.018082486919052017
10,GATA3,8045378,8075198,6,0.00788704216682056
10,CELF2,10798397,11336675,70,0.024969221298861186
10,USP6NL,11460510,11611666,16,0.014889196675900277
10,ECHDC3,11742366,11764070,3,0.00942597722376116
10,PROSER2,11823339,11872277,7,0.008541089566020314
10,UPF2,11920022,12043170,15,0.01465835641735919
10,DHTKD1,12068954,12123221,8,0.009156663588796554
10,SEC61A2,12129637,12169961,5,0.013542628501077254
10,NUDT5,12165330,12195891,3,0.012196060326254232
10,CDC123,12195965,12250589,8,0.016274238227146815
10,CAMK1D,12349547,12835545,78,0.01631271160357033
10,CCDC3,12896625,13099652,35,0.011503539550630965
10,OPTN,13099449,13138308,5,0.008733456448137888
10,MCM10,13161558,13211110,7,0.00796398891966759
10,UCMA,13221766,13234374,2,0.007579255155432441
10,PHYH,13277796,13302412,4,0.006040320098491843
10,SEPHS1,13317428,13348298,5,0.009810710987996307
10,BEND7,13438484,13529014,12,0.015350877192982455
10,PRPF18,13586939,13668445,13,0.026815943367189902
10,FRMD4A,13643706,14462142,145,0.04609110495537089
10,FAM107B,14518557,14774897,42,0.014350569405971068
10,CDNF,14819245,14838575,4,0.00796398891966759
10,HSPA14,14838306,14871741,3,0.009464450600184674
10,SUV39H2,14878820,14904315,3,0.014004309018159435
10,DCLRE1C,14897359,14954432,8,0.01084949215143121
10,MEIG1,14959388,14988050,8,0.010156971375807941
10,OLAH,15032227,15073853,6,0.010349338257925517
10,ACBD7,15075475,15088776,3,0.008964296706678981
10,RPP38,15097180,15139818,6,0.01350415512465374
10,NMT2,15102584,15168693,8,0.01350415512465374
10,FAM171A1,15211643,15371289,21,0.012465373961218837
10,ITGA8,15513954,15719922,26,0.021660510926438902
10,MINDY3,15778170,15860507,6,0.012465373961218837
10,PTER,16436943,16513745,11,0.018082486919052017
10,C1QL3,16513734,16521879,1,0.007694675284702987
10,RSU1,16590611,16817463,34,0.02658510310864881
10,CUBN,16823966,17129811,43,0.02723915050784857
10,TRDMT1,17137336,17202054,8,0.014504462911665128
10,VIM,17228241,17237593,1,0.012311480455524777
10,ST8SIA6,17315421,17454595,24,0.018159433671899046
10,HACD1,17589032,17617374,4,0.010695598645737152
10,STAM,17644151,17716824,10,0.03200984918436442
10,TMEM236,17752201,17800868,8,0.012157586949830719
10,MRC1,17809348,17911164,15,0.011580486303477994
10,SLC39A12,17951839,18043292,15,0.018428747306863648
10,CACNB2,18140424,18543557,63,0.013273314866112648
10,NSUN6,18545561,18659285,18,0.016466605109264388
10,ARL5B,18659431,18681639,2,0.011888273314866114
10,MALRD1,19048801,19790401,125,0.044975377039088944
