gene_name,gstart,gend,midpoint,n_seg,max_h12_500kb,max_h2h1_500kb,n_windows
FAM20C,192571,260772,226671,28559,0.4289282684513148,0.22282182103610682,564
FOXL3,290170,294422,292296,31004,0.4289282684513148,0.22282182103610682,613
PDGFA,497258,520296,508777,39837,0.4289282684513148,0.22282182103610682,789
PRKAR1B,549197,727650,638423,41190,0.4676689603167123,0.22109149855907773,816
DNAAF5,726699,786475,756587,40783,0.4417947026109906,0.22621322124570123,808
SUN1,816615,896435,856525,40230,0.4044207748138372,0.19697891321978922,797
GET4,876554,896436,886495,39952,0.4417947026109906,0.22621322124570123,792
ADAP1,897900,955407,926653,39471,0.4417947026109906,0.22621322124570123,782
COX19,898778,975549,937163,39491,0.4676689603167123,0.22109149855907773,782
CYP2W1,983181,989640,986410,39558,0.4862380997266472,0.020516981569491118,784
C7orf50,996986,1138260,1067623,39225,0.4795456687717976,0.019152640742890296,777
GPR146,1044546,1059261,1051903,39308,0.48600245074936377,0.01994896775690093,779
GPER1,1082208,1093815,1088011,38981,0.486426618908474,0.02097091878113775,772
ZFAND2A,1152071,1160759,1156415,39042,0.48604958054482045,0.02006262321697783,773
UNCX,1232872,1237326,1235099,38506,0.4795456687717976,0.019152640742890296,763
MICALL2,1428465,1459470,1443967,38790,0.4795456687717976,0.019152640742890296,768
INTS1,1470277,1504389,1487333,38811,0.48604958054482045,0.02006262321697783,769
MAFK,1530702,1543043,1536872,38080,0.47935714958997083,0.020426183188132777,754
TMEM184A,1542235,1560821,1551528,37998,0.4862380997266472,0.020516981569491118,752
PSMG3,1567332,1571005,1569168,38028,0.48604958054482045,0.02006262321697783,753
ELFN1,1665745,1747946,1706845,36881,0.4795456687717976,0.019152640742890296,730
MAD1L1,1815793,2233243,2024518,36130,0.3345744179470261,0.18465449503119952,715
ENSG00000286192,1815804,2242215,2029009,36107,0.34008860401545854,0.19082568807339453,715
MRM2,2234195,2242205,2238200,37723,0.34008860401545854,0.21153846153846162,747
NUDT1,2242226,2251146,2246686,37854,0.3406541615609388,0.18324666515939422,750
SNX8,2251770,2354318,2303044,37530,0.34008860401545854,0.21153846153846162,743
EIF3B,2354086,2380745,2367415,37072,0.35766801772080303,0.058149857954545435,734
CHST12,2403588,2448484,2426036,36648,0.37501178244886413,0.0632253594318378,725
GRIFIN,2474728,2476894,2475811,36443,0.4137996041097181,0.10649261422191686,721
LFNG,2512529,2529177,2520853,36615,0.40767273070034865,0.10846005943016952,725
BRAT1,2537810,2555694,2546752,36771,0.35248374022056744,0.05305550691647691,728
IQCE,2558972,2614733,2586852,36651,0.40767273070034865,0.10846005943016952,726
TTYH3,2631961,2664802,2648381,37181,0.35248374022056744,0.05305550691647691,736
AMZ1,2679522,2775500,2727511,37741,0.4137996041097181,0.10649261422191686,747
GNA12,2721822,2870786,2796304,37632,0.35248374022056744,0.05305550691647691,745
CARD11,2906142,3044228,2975185,37626,0.40767273070034865,0.10846005943016952,745
SDK1,3301252,4269000,3785126,38109,0.46215477424827967,0.030225918570009915,755
FOXK1,4682295,4771442,4726868,37817,0.47591667452163267,0.1074380165289257,749
AP5Z1,4775615,4794397,4785006,37862,0.43712885286077846,0.09401709401709397,750
RADIL,4797055,4883716,4840385,38234,0.47591667452163267,0.1074380165289257,757
PAPOLB,4857738,4862030,4859884,38197,0.5419455179564521,0.08454963839579221,756
MMD2,4905989,4959213,4932601,38136,0.47591667452163267,0.1074380165289257,755
RBAK-RBAKDN,4983718,5073221,5028469,37683,0.5278537091149025,0.08735756918068369,746
RBAK,5045821,5069487,5057654,37906,0.5348760486379489,0.08593750000000003,751
WIPI2,5190196,5233840,5212018,37785,0.47619945329437274,0.10825688073394496,748
SLC29A4,5274369,5306912,5290640,37319,0.32990856819681397,0.2844400396432112,739
TNRC18,5306790,5425414,5366102,38255,0.3184560279008389,0.2919967222070473,758
FBXL18,5431335,5513809,5472572,37682,0.3184560279008389,0.2919967222070473,746
ACTB,5526409,5563902,5545155,37334,0.32373456499198794,0.28565683646112605,739
FSCN1,5592816,5606655,5599735,37254,0.32373456499198794,0.28565683646112605,738
RNF216,5620047,5781696,5700871,36332,0.32373456499198794,0.28565683646112605,719
OCM,5879827,5886363,5883095,35493,0.32373456499198794,0.28565683646112605,702
CCZ1,5898725,5926550,5912637,35481,0.3293430106513337,0.28060956384655816,702
RSPH10B,5925550,5970689,5948119,35403,0.3184560279008389,0.2919967222070473,701
PMS2,5970925,6009130,5990027,35173,0.32373456499198794,0.28565683646112605,696
AIMP2,6009255,6023834,6016544,35031,0.329295880855877,0.28042049934296986,693
EIF2AK1,6022247,6059175,6040711,34705,0.3184560279008389,0.2919967222070473,687
ANKRD61,6031376,6036552,6033964,34883,0.3293430106513337,0.040454222853087286,690
USP42,6104949,6161564,6133256,34377,0.32924875106042034,0.2802313354363828,680
CYTH3,6161779,6272644,6217211,34608,0.3293430106513337,0.28060956384655816,685
SAGSIN1,6329411,6348967,6339189,32639,0.3293430106513337,0.28060956384655816,645
FAM220A,6329411,6348981,6339196,32639,0.3293430106513337,0.28060956384655816,645
RAC1,6374527,6403967,6389247,33348,0.3085587708549345,0.2689108396152847,659
DAGLB,6409126,6484190,6446658,34176,0.3010180035818644,0.11109918419922708,676
KDELR2,6445953,6484190,6465071,34863,0.3085587708549345,0.2689108396152847,690
GRID2IP,6496778,6551461,6524119,36094,0.39829390140446785,0.052702918194865195,714
ZDHHC4,6577434,6589374,6583404,36387,0.39829390140446785,0.052702918194865195,720
INTS15,6590021,6608726,6599373,36331,0.3922612875860118,0.049824056301983284,719
ZNF853,6615610,6624290,6619950,36355,0.39829390140446785,0.052702918194865195,720
ZNF316,6637318,6658279,6647798,36362,0.39829390140446785,0.052702918194865195,720
ZNF12,6688433,6706947,6697690,35998,0.39904797813177484,0.4297511312217194,712
RSPH10B2,6754103,6799365,6776734,36060,0.4063059666321047,0.42616781049369046,714
CCZ1B,6794134,6826770,6810452,35912,0.4117258931096238,0.43157894736842106,711
C1GALT1,7156934,7248616,7202775,33727,0.46144782731642936,0.033043589415825116,667
COL28A1,7356203,7535873,7446038,31130,0.46795173908945226,0.03234738829452485,615
MIOS,7566875,7608932,7587903,28894,0.48784051277217444,0.030592619305204936,570
RPA3,7636518,7718607,7677562,28985,0.46144782731642936,0.033043589415825116,572
UMAD1,7640711,7968020,7804365,28854,0.5135262512960692,0.06392120571126383,570
GLCCI1,7968796,8094272,8031534,28967,0.5412385710246016,0.059141791044776085,572
ICA1,8113184,8262687,8187935,29178,0.4930719200678668,0.0627824181843078,576
NXPH1,8433609,8752961,8593285,32076,0.527146762183052,0.05690026612596625,634
NDUFA4,10931943,10940153,10936048,28413,0.46022245263455547,0.36570862239841423,561
PHF14,10973336,11169623,11071479,27872,0.4757281553398059,0.43965851765618935,550
THSD7A,11370365,11832198,11601281,28550,0.40607031765482143,0.14713664713664718,564
TMEM106B,12211270,12243367,12227318,30548,0.3594589499481572,0.22358131140966522,603
VWDE,12330885,12403941,12367413,30891,0.32778772740126305,0.2520578420467187,610
ENSG00000226690,12469621,12542222,12505921,31155,0.32778772740126305,0.2520578420467187,616
SCIN,12570577,12660182,12615379,31716,0.33311339428786874,0.4852140077821011,627
ARL4A,12686856,12690958,12688907,31473,0.3594589499481572,0.22358131140966522,622
ETV1,13891229,13991425,13941327,29688,0.47879159204449057,0.2176376837258721,586
DGKB,14145049,14974777,14559913,29416,0.42237722688283524,0.39017779705117084,581
AGMO,15200317,15562015,15381166,31237,0.5550004712979545,0.020815943238731212,617
MEOX2,15611212,15686683,15648947,30627,0.4999528702045433,0.40828402366863875,605
CRPPA,16087525,16502504,16295014,28157,0.2916391742859836,0.2644721906923951,556
SOSTDC1,16461481,16530580,16496030,28143,0.2916391742859836,0.27779369627507167,555
LRRC72,16526825,16581568,16554196,28176,0.2629842586483175,0.2577319587628867,556
ANKMY2,16599779,16645817,16622798,28156,0.2922518616269205,0.26717557251908397,556
BZW2,16646131,16706523,16676327,28268,0.27717032708078043,0.21457710089747084,558
TSPAN13,16753755,16784536,16769145,27939,0.27717032708078043,0.21457710089747084,551
AGR2,16791811,16833433,16812622,27607,0.27717032708078043,0.21457710089747084,545
AGR3,16859412,16881987,16870699,27123,0.2815533980582524,0.30403371462974116,535
AHR,16916359,17346152,17131255,28159,0.4300122537468186,0.21572424477149504,556
ENSG00000283321,17299295,17467234,17383264,27801,0.4169573004053162,0.22170854271356794,549
SNX13,17790761,17940501,17865631,27637,0.4552738241116034,0.20021723388848656,545
PRPS1L1,18026770,18027846,18027308,26519,0.423319822791969,0.2182195025661272,523
HDAC9,18086949,19002416,18544682,25845,0.38321236685832777,0.4627812350406893,509
TWIST1,19020991,19117636,19069313,29507,0.4987274955226693,0.08347688774045359,583
FERD3L,19144782,19145421,19145101,30185,0.5134319917051561,0.0174142764718568,596
POLR1F,19695461,19709037,19702249,31388,0.44302007729286447,0.024815724815724804,620
TMEM196,19719315,19773617,19746466,31018,0.44302007729286447,0.024815724815724804,613
MACC1,20134655,20217404,20176029,29798,0.34786502026581195,0.5080645161290323,588
ITGB8,20330702,20415754,20373228,29358,0.34786502026581195,0.5080645161290323,580
ABCB5,20615667,20777038,20696352,27045,0.3125648034687529,0.5806764624341558,533
SP8,20782279,20786886,20784582,27130,0.29819021585446315,0.22842639593908645,535
SP4,21428043,21514822,21471432,29317,0.31322462060514655,0.04359647477967372,579
DNAH11,21543039,21901839,21722439,29517,0.31270619285512297,0.04161969184517098,583
CDCA7L,21900899,21945903,21923401,28770,0.3193514940145159,0.0455045871559633,568
RAPGEF5,22118236,22357154,22237695,27136,0.3163351871052879,0.2325912503235828,535
STEAP1B,22419444,22727613,22573528,25801,0.30978414553680833,0.13844502742666348,509
IL6,22725884,22732002,22728943,25854,0.4796399283627108,0.029744162940884247,510
TOMM7,22812628,22822849,22817738,26183,0.4729946272033178,0.030272452068617544,516
HYCC1,22889371,23014130,22951750,26893,0.4351022716561409,0.036534735676722926,530
KLHL7,23105758,23177914,23141836,27439,0.4351022716561409,0.036534735676722926,541
NUP42,23181841,23201011,23191426,27429,0.4796399283627108,0.029744162940884247,541
GPNMB,23235967,23275108,23255537,27298,0.4359506079743613,0.03892876863611263,538
MALSU1,23298739,23311729,23305234,26938,0.4796399283627108,0.029744162940884247,531
IGF2BP3,23310209,23470491,23390350,27021,0.4296352153831651,0.0396379963519012,533
TRA2A,23504780,23532041,23518410,27321,0.43642190592892816,0.04025365315687895,539
CCDC126,23597382,23644708,23621045,26790,0.4351022716561409,0.036534735676722926,528
FAM221A,23680130,23703249,23691689,26804,0.4359506079743613,0.03892876863611263,529
STK31,23710203,23832513,23771358,26793,0.2849938731265906,0.2245822713112433,528
NPY,24284188,24291862,24288025,26288,0.28249599396738617,0.4760124610591901,518
PALS2,24573268,24694193,24633730,25853,0.31784334055990193,0.1741788539918486,510
GSDME,24698355,24757940,24728147,26174,0.3232161372419643,0.17066290550070531,516
OSBPL3,24796540,24981634,24889087,26302,0.3232161372419643,0.17066290550070531,519
CYCS,25118656,25125260,25121958,26755,0.3232161372419643,0.17066290550070531,528
SPMIP4,25134692,25180356,25157524,26490,0.30247902724102177,0.14151615969581752,522
NPVF,25224570,25228486,25226528,26128,0.39202563860872836,0.41950713956701974,515
NFE2L3,26152198,26187137,26169667,24356,0.3980111226317277,0.4268985902683037,480
HNRNPA2B1,26171151,26201529,26186340,24258,0.39202563860872836,0.4052317576870124,478
CBX3,26201162,26213607,26207384,24123,0.39485342633612963,0.47692845490561625,475
SNX10,26291862,26374383,26333122,23860,0.3829767178810443,0.46213755092259745,470
SKAP2,26667068,26995239,26831153,23252,0.5207371100009427,0.4954251883745961,458
HOXA1,27092993,27096000,27094496,23311,0.5623527193891978,0.00903421076767862,459
HOXA2,27100354,27102686,27101520,23315,0.5277123197285324,0.4887590724021949,459
HOXA3,27106184,27152583,27129383,23130,0.5207371100009427,0.4821588667742513,455
HOXA4,27128507,27130780,27129643,23127,0.5207371100009427,0.4954251883745961,455
HOXA5,27141052,27143681,27142366,23053,0.5623527193891978,0.00903421076767862,454
HOXA6,27145396,27150603,27147999,23021,0.5207371100009427,0.4954251883745961,453
HOXA7,27153716,27157936,27155826,23063,0.5623527193891978,0.00903421076767862,454
HOXA9,27162438,27175180,27168809,23116,0.5207371100009427,0.4954251883745961,455
ENSG00000257184,27163535,27180013,27171774,23136,0.5207371100009427,0.4954251883745961,455
HOXA10,27170605,27180261,27175433,23173,0.5207371100009427,0.4954251883745961,456
HOXA11,27181157,27185232,27183194,23231,0.520831369591856,0.4823445061839038,457
HOXA13,27193503,27200091,27196797,23300,0.520831369591856,0.4823445061839038,459
EVX1,27242700,27250493,27246596,23465,0.5623527193891978,0.00903421076767862,462
HIBADH,27525442,27662883,27594162,23861,0.5207371100009427,0.4954251883745961,470
TAX1BP1,27739331,27844564,27791947,24231,0.28094071071731547,0.4013574660633483,477
JAZF1,27830573,28180795,28005684,24652,0.2908379677632199,0.3860796280151118,486
CREB5,28299321,28825894,28562607,24793,0.24276557639739843,0.4676170362548399,488
TRIL,28953358,28958330,28955844,24869,0.24983504571590162,0.5521694214876034,490
CPVL,28995235,29195451,29095343,24882,0.24285983598831182,0.5787719298245614,490
CHN2,29146547,29514328,29330437,25459,0.4374587614289753,0.3063834071687475,502
PRR15,29563835,29567293,29565564,24758,0.4374587614289753,0.3063834071687475,488
WIPF3,29806486,29917061,29861773,24045,0.6363936280516542,0.10585106382978723,473
SCRN1,29920104,29990289,29955196,24090,0.49604109718163825,0.029293509477311876,474
FKBP14,30010587,30026702,30018644,24038,0.6363936280516542,0.10585106382978723,473
PLEKHA8,30027404,30130483,30078943,23956,0.49604109718163825,0.029293509477311876,472
MTURN,30134986,30162762,30148874,23763,0.644122914506551,0.10427589420948387,468
ZNRF2,30284597,30367689,30326143,23787,0.6363936280516542,0.10585106382978723,468
ENSG00000281593,30362400,30412502,30387451,24068,0.49604109718163825,0.029293509477311876,474
NOD1,30424527,30478784,30451655,24100,0.6363936280516542,0.10585106382978723,475
GGCT,30496621,30504841,30500731,24379,0.49604109718163825,0.029293509477311876,480
ENSG00000281039,30497077,30550761,30523919,24402,0.49604109718163825,0.029293509477311876,481
GARS1,30580533,30634033,30607283,24430,0.49604109718163825,0.029293509477311876,481
CRHR2,30651942,30700129,30676035,24277,0.5028277877274013,0.028805885681946794,478
INMT,30697985,30757602,30727793,24334,0.4901970025450088,0.06991439054219323,479
INMT-MINDY4,30752137,30892081,30822109,24285,0.35969459892544065,0.4466463414634146,478
MINDY4,30771417,30892387,30831902,24338,0.37303233103968325,0.5200725513905684,479
ENSG00000250424,30852273,30923812,30888042,24533,0.37303233103968325,0.5200725513905684,483
AQP1,30911853,30925517,30918685,24340,0.37303233103968325,0.5200725513905684,479
GHRHR,30938669,30993254,30965961,24283,0.35969459892544065,0.4466463414634146,478
ADCYAP1R1,31052308,31111474,31081891,24644,0.5305401074559335,0.33065742775054907,485
NEUROD6,31337465,31340726,31339095,24722,0.5305401074559335,0.33065742775054907,487
ITPRID1,31514090,31656504,31585297,24839,0.3705815816759355,0.4298397040690504,489
PPP1R17,31687215,31708455,31697835,25094,0.346356866811198,0.12884491288449126,494
PDE1C,31751179,32428131,32089655,26056,0.35201244226600054,0.1262924667651403,514
LSM5,32485338,32495283,32490310,26532,0.28980111226317273,0.3652432126696833,523
AVL9,32495426,32588726,32542076,26523,0.35158827410689036,0.2513692377909631,523
KBTBD2,32868172,32894131,32881151,25599,0.2945612216042982,0.35742078932740406,504
FKBP9,32957404,33006930,32982167,25155,0.2946083513997549,0.3575993331480968,496
NT5C3A,33014130,33062796,33038463,25011,0.30921858799132806,0.382127659574468,493
RP9,33094797,33109405,33102101,24949,0.2945612216042982,0.35742078932740406,491
BBS9,33109557,33877180,33493368,23751,0.3593646903572438,0.15438013296832231,468
BMPER,33904308,34156427,34030367,24040,0.39937788669997165,0.517501107665042,473
NPSR1,34658218,34878332,34768275,24263,0.44023941936091987,0.09779353821907012,478
DPY19L1,34927292,35038271,34982781,24766,0.48604958054482034,0.10353608847497091,488
TBX20,35202430,35254100,35228265,24597,0.44023941936091987,0.09779353821907012,484
HERPUD2,35632659,35697459,35665059,24367,0.4366575549062118,0.19303974622130993,480
SEPTIN7,35800932,35907110,35854021,24716,0.4366575549062118,0.19303974622130993,487
EEPD1,36153254,36301538,36227396,24469,0.41285700820058435,0.21136997212266037,482
MATCAP2,36324152,36390125,36357138,25138,0.4122914506551042,0.18940877055599067,495
ANLN,36389821,36453791,36421806,25052,0.39819964181355444,0.030687220861547328,494
AOAH,36512941,36724549,36618745,24427,0.4662079366575548,0.030316626073580304,481
ELMO1,36852906,37449223,37151064,24097,0.5261570364784617,0.011612441170452214,474
GPR141,37683766,37833788,37758777,24203,0.27170327080780465,0.13161465400271372,477
ENSG00000290149,37683843,37950412,37817127,24423,0.28169478744462245,0.1256176853055917,481
NME8,37848597,37900397,37874497,25012,0.28169478744462245,0.1256176853055917,493
SFRP4,37905932,38025695,37965813,25133,0.2892826845131492,0.48054354539839395,495
EPDR1,37920640,37951936,37936288,24964,0.28570082005844094,0.11769979508196722,492
STARD3NL,38178245,38230670,38204457,25506,0.28570082005844094,0.11769979508196722,503
TARP,38259643,38273636,38266639,25511,0.28603072862663775,0.21135940409683432,503
AMPH,38383704,38631420,38507562,24630,0.38481477990385515,0.29901423877327493,485
VPS41,38722974,38932394,38827684,23788,0.28815156942218867,0.3187978786093106,468
POU6F2,38977909,39493095,39235502,22939,0.35578282590253557,0.17972297910990018,451
YAE1,39566385,39610320,39588352,23710,0.39164860024507486,0.3486693730266125,467
RALA,39623565,39708120,39665842,24015,0.39164860024507486,0.3486693730266125,473
CDK13,39950121,40099580,40024850,24309,0.4176642473371665,0.039680274050813556,479
MPLKIP,40126027,40134622,40130324,23895,0.3971627863135073,0.34122222222222215,470
SUGCT,40135005,40860763,40497884,23099,0.4734187953624282,0.14257458381407614,454
INHBA,41667168,41705834,41686501,25259,0.46865868602130273,0.20400423355089073,498
GLI3,41960949,42264100,42112524,25353,0.5555188990479781,0.23138939119951765,500
C7orf25,42909273,42912305,42910789,24606,0.5988783108681308,0.015406949517654768,485
ENSG00000256646,42909273,42932214,42920743,24618,0.6062776887548308,0.014972273567467652,485
PSMA2,42916828,42932185,42924506,24626,0.6063719483457441,0.015154315283681389,485
MRPL32,42932376,42948958,42940667,24553,0.5989254406635874,0.015499157145532865,484
HECW1,43112629,43566001,43339315,23675,0.3583749646526534,0.05652477320307046,466
STK17A,43582758,43650713,43616735,24077,0.327033650673956,0.16749086218017645,474
COA1,43608456,43729717,43669086,23988,0.329295880855877,0.1759948925303257,472
BLVRA,43758680,43807342,43783011,23938,0.34550853049297764,0.18154577392023144,471
MRPS24,43866558,43869893,43868225,23726,0.329295880855877,0.1759948925303257,467
URGCP-MRPS24,43866558,43906589,43886573,23655,0.33617683099255347,0.2181773760078183,466
URGCP,43875894,43926411,43901152,23661,0.33617683099255347,0.2181773760078183,466
UBE2D4,43926436,43956136,43941286,23565,0.34004147422000186,0.18501368133024626,464
SPDYE1,43997897,44010124,44004010,23444,0.34729946272033174,0.2324298392899977,461
DBNL,44044640,44069456,44057048,23595,0.34729946272033174,0.2324298392899977,464
PGAM2,44062727,44065567,44064147,23636,0.34729946272033174,0.2324298392899977,465
POLM,44072062,44082530,44077296,23631,0.35059854840229987,0.10262901655306718,465
AEBP1,44104345,44114562,44109453,23777,0.5102742954095578,0.04153791300213927,468
POLD2,44114631,44124358,44119494,23896,0.33617683099255347,0.2181773760078183,470
MYL7,44138864,44141332,44140098,23926,0.36600999151663677,0.12561669829222014,471
