chr,gene_name,gstart,gend,n_windows,max_h12
17,DOC2B,142789,181650,8,0.015157048940832727
17,RPH3AL,212389,386254,54,0.011596055514974436
17,LIAT1,410325,431062,5,0.011139517896274657
17,RFLNB,439978,445939,1,0.016526661796932067
17,VPS53,508503,721717,46,0.02008765522279036
17,TLCD3A,732412,742968,2,0.011230825420014611
17,GEMIN4,744421,753999,2,0.014883126369612856
17,GLOD4,757097,782294,5,0.01835281227173119
17,MRM3,782353,792509,2,0.010865595325054787
17,NXN,799310,979776,57,0.014517896274653035
17,TIMM22,997129,1003671,2,0.009039444850255665
17,ABR,1003519,1229738,61,0.016070124178232288
17,BHLHA9,1270444,1271815,1,0.009678597516435359
17,TRARG1,1279662,1300978,8,0.013056975894813735
17,YWHAE,1344275,1400222,12,0.01342220598977356
17,CRK,1420689,1463162,10,0.023009495982468958
17,MYO1C,1464186,1492686,6,0.015978816654492335
17,INPP5K,1494577,1516742,5,0.013787436084733384
17,PITPNA,1517718,1562792,9,0.019448502556610667
17,SLC43A2,1569268,1628886,14,0.012143900657414173
17,SCARF1,1633858,1645744,2,0.009952520087655228
17,RILP,1646145,1649866,1,0.008948137326515709
17,PRPF8,1650629,1684867,6,0.01616143170197224
17,TLCD2,1702816,1710377,2,0.010317750182615052
17,WDR81,1716523,1738599,4,0.011869978086194305
17,SERPINF2,1742836,1755265,2,0.009587289992695402
17,SERPINF1,1762029,1777565,4,0.010956902848794744
17,SMYD4,1779485,1830634,13,0.017531044558071588
17,RPA1,1829702,1900082,14,0.013148283418553692
17,RTN4RL1,1934677,2025334,23,0.015796201607012422
17,DPH1,2030137,2043898,2,0.00867421475529584
17,HIC1,2054154,2063241,2,0.010865595325054789
17,SMG6,2059839,2303785,36,0.019996347699050405
17,SRR,2303383,2325260,3,0.01533966398831264
17,TSR1,2322396,2336657,1,0.012509130752373997
17,SGSM2,2337498,2381058,8,0.013239590942293648
17,MNT,2384073,2401104,3,0.01095690284879474
17,METTL16,2405562,2511891,20,0.01360482103725347
17,PAFAH1B1,2593183,2685615,17,0.020361577794010228
17,CLUH,2689386,2712663,4,0.01387874360847334
17,CCDC92B,2720801,2749652,6,0.01223520818115413
17,RAP1GAP2,2755705,3037741,67,0.01552227903579255
17,OR1D2,3088484,3104422,3,0.013696128560993427
17,OR1G1,3126610,3127551,1,0.016070124178232288
17,OR1A2,3197519,3198448,1,0.028214024835646466
17,OR1A1,3207539,3218896,3,0.040631848064280496
17,OR3A2,3276177,3386317,29,0.032414170927684435
17,OR3A1,3291017,3298360,1,0.02702702702702703
17,OR3A3,3411370,3424070,2,0.010956902848794742
17,SPATA22,3440019,3513852,13,0.01406135865595325
17,ASPA,3472374,3503405,5,0.010226442658875094
17,TRPV3,3510502,3557812,13,0.01725712198685172
17,TRPV1,3565444,3609411,10,0.023374726077428784
17,ENSG00000262304,3585149,3636249,10,0.02794010226442659
17,SHPK,3608240,3636250,5,0.02794010226442659
17,CTNS,3636459,3663103,7,0.058345507669832
17,P2RX5-TAX1BP3,3663063,3696194,5,0.030040175310445588
17,EMC6,3668812,3669668,1,0.030040175310445588
17,P2RX5,3672199,3696240,4,0.02383126369612857
17,ITGAE,3714628,3801188,19,0.03853177501826151
17,NCBP3,3802158,3846246,8,0.028761869978086198
17,CAMKK1,3860315,3894891,8,0.009495982468955447
17,P2RX1,3896592,3916476,5,0.011230825420014613
17,ATP2A3,3923870,3964464,8,0.01269174579985391
17,ZZEF1,4004445,4143030,26,0.028396639883126372
17,CYB5D2,4143168,4187310,7,0.01643535427319211
17,ANKFY1,4163821,4263995,15,0.01826150474799124
17,UBE2G1,4269259,4366675,16,0.015248356464572684
17,SPNS3,4433940,4488208,15,0.013604821037253467
17,SPNS2,4498881,4539035,8,0.012783053323593866
17,MYBBP1A,4538897,4555386,4,0.010043827611395183
17,SMTNL2,4583999,4608319,6,0.010865595325054787
17,ALOX15,4630919,4642294,3,0.009678597516435359
17,PELP1,4669774,4704337,8,0.021000730460189923
17,ARRB2,4710596,4721499,2,0.013513513513513514
17,MED11,4731428,4733608,1,0.012052593133674218
17,CXCL16,4733533,4739928,1,0.011869978086194305
17,ZMYND15,4739833,4746119,1,0.011687363038714392
17,TM4SF5,4771884,4783213,2,0.01013513513513514
17,PSMB6,4796144,4798502,1,0.009404674945215491
17,C17orf114,4801159,4807013,1,0.00894813732651571
17,PLD2,4807152,4823434,3,0.011413440467494526
17,MINK1,4833340,4898061,11,0.013148283418553694
17,CHRNE,4897771,4934438,9,0.013604821037253474
17,C17orf107,4899418,4902934,1,0.013604821037253474
17,PFN1,4945652,4949061,1,0.011413440467494526
17,ENO3,4948092,4957131,1,0.011778670562454348
17,SPAG7,4959226,4967817,1,0.015522279035792553
17,CAMTA2,4967992,4987675,3,0.01552227903579255
17,INCA1,4988130,4997610,1,0.014517896274653032
17,KIF1C,4997950,5028401,5,0.014152666179693208
17,SLC52A1,5032600,5052009,4,0.015522279035792553
17,ZFP3,5078467,5096374,3,0.011596055514974437
17,ZNF232,5105269,5123162,3,0.013330898466033601
17,USP6,5116032,5175034,8,0.01762235208181154
17,ZNF594,5179535,5191868,2,0.014426588750913075
17,SCIMP,5208920,5234860,6,0.017804967129291454
17,RABEP1,5282265,5386340,18,0.014243973703433162
17,NUP88,5359668,5420164,13,0.02611395178962747
17,RPAIN,5419641,5432877,3,0.017987582176771363
17,C1QBP,5432777,5448830,3,0.015430971512052593
17,DHX33,5440917,5468982,4,0.017804967129291454
17,DERL2,5471254,5486811,1,0.017165814463111762
17,MIS12,5486285,5490814,1,0.017074506939371802
17,NLRP1,5499415,5619424,27,0.0339663988312637
17,ENSG00000285471,5772926,6080792,73,0.026205259313367424
17,WSCD1,6057807,6124427,13,0.010865595325054789
17,AIPL1,6393693,6435199,12,0.01059167275383492
17,PIMREG,6444441,6451469,1,0.011869978086194305
17,PITPNM3,6451263,6556555,20,0.01734842951059167
17,KIAA0753,6578147,6640711,11,0.02373995617238861
17,ENSG00000282936,6578147,6640711,11,0.02373995617238861
17,TXNDC17,6640985,6644541,1,0.013970051132213297
17,MED31,6643311,6651634,2,0.013970051132213297
17,C17orf100,6651762,6693202,9,0.01059167275383492
17,SLC13A5,6684719,6713377,6,0.01360482103725347
17,XAF1,6755447,6775647,5,0.010865595325054787
17,FBXO39,6776215,6797101,6,0.011413440467494523
17,TEKT1,6789133,6831761,11,0.01241782322863404
17,ALOX12,6996049,7010754,3,0.01342220598977356
17,BCL6B,7023050,7030290,1,0.01743973703433163
17,SLC16A13,7036015,7040117,1,0.011230825420014611
17,SLC16A11,7041621,7044092,1,0.011596055514974434
17,CLEC10A,7074537,7080307,2,0.010226442658875096
17,ASGR2,7101322,7115700,4,0.013604821037253474
17,ASGR1,7173431,7179564,3,0.011139517896274657
17,DLG4,7187187,7219836,5,0.012052593133674218
17,DVL2,7225342,7234517,2,0.01223520818115413
17,GABARAP,7240008,7242449,1,0.012143900657414173
17,ENSG00000262526,7240427,7244635,1,0.012143900657414173
17,CTDNEP1,7243591,7252491,1,0.013422205989773558
17,ENSG00000262302,7246829,7262089,2,0.014061358655953253
17,ELP5,7251416,7259940,1,0.014061358655953253
17,YBX2,7288263,7294639,1,0.010865595325054789
17,EIF5A,7306999,7312463,1,0.010500365230094965
17,ENSG00000261915,7312661,7319174,1,0.008308984660336015
17,NEURL4,7315628,7329393,2,0.00867421475529584
17,ACAP1,7336529,7351477,2,0.008765522279035797
17,KCTD11,7351889,7354944,1,0.00894813732651571
17,TNK1,7380534,7389774,2,0.012235208181154129
17,TMEM256-PLSCR3,7389734,7404097,2,0.012052593133674218
17,NLGN2,7404874,7419860,2,0.012874360847333824
17,ENSG00000286007,7428861,7436278,1,0.011961285609934261
17,CHRNB1,7445061,7457710,3,0.014335281227173122
17,ZBTB4,7459366,7484263,4,0.016891891891891893
17,POLR2A,7484366,7514616,6,0.019996347699050405
17,TNFSF12,7548508,7557890,2,0.012600438276113953
17,TNFSF12-TNFSF13,7549099,7561601,3,0.014791818845872901
17,TNFSF13,7558292,7561608,1,0.014791818845872901
17,SENP3,7561919,7571969,1,0.015157048940832727
17,SENP3-EIF4A1,7563287,7578715,2,0.018900657414170928
17,EIF4A1,7572824,7579006,1,0.018900657414170928
17,FXR2,7591230,7614897,4,0.01652666179693207
17,SHBG,7613946,7633382,3,0.013696128560993427
17,ATP1B2,7646627,7657770,2,0.009495982468955446
17,TP53,7661779,7687546,5,0.009952520087655226
17,WRAP53,7686071,7703502,3,0.011687363038714395
17,DNAH2,7717744,7833742,19,0.015978816654492335
17,KDM6B,7834217,7854796,3,0.014335281227173119
17,TMEM88,7855066,7856099,1,0.018535427319211102
17,NAA38,7856685,7885238,3,0.018626734842951062
17,CHD3,7884796,7912760,3,0.017713659605551497
17,KCNAB3,7921859,7929856,1,0.013148283418553692
17,ENSG00000262730,7925931,7930622,1,0.013148283418553692
17,CNTROB,7932101,7949920,2,0.014974433893352814
17,GUCY2D,8002615,8020342,2,0.014517896274653035
17,ALOX15B,8039034,8049134,2,0.011596055514974437
17,ALOX12B,8072636,8087716,3,0.017348429510591675
17,ALOXE3,8095900,8119047,4,0.009130752373995622
17,PER1,8140472,8156506,2,0.016070124178232288
17,ENSG00000263620,8150816,8162975,2,0.01725712198685172
17,VAMP2,8159149,8163546,1,0.014243973703433164
17,TMEM107,8172457,8176399,1,0.011504747991234483
17,AURKB,8204733,8210600,1,0.010956902848794742
17,CTC1,8224815,8248058,4,0.012417823228634042
17,PFAS,8247618,8270491,4,0.013970051132213293
17,SLC25A35,8287763,8295400,1,0.012143900657414173
17,ARHGEF15,8310241,8322514,2,0.01132213294375457
17,ODF4,8339840,8346048,1,0.012600438276113951
17,KRBA2,8356902,8376704,3,0.015157048940832727
17,ENSG00000263809,8368638,8383187,2,0.011139517896274653
17,RPL26,8377516,8383213,1,0.010135135135135137
17,RNF222,8390702,8397827,1,0.009587289992695402
17,NDEL1,8413131,8490411,12,0.01506574141709277
17,MYH10,8474207,8631376,25,0.021822498173849528
17,CCDC42,8729935,8745219,3,0.019722425127830533
17,SPDYE4,8747524,8758559,2,0.01935719503287071
17,PIK3R6,8802722,8867677,15,0.01579620160701242
17,PIK3R5,8878911,8965712,16,0.014335281227173119
17,NTN1,9021510,9244000,49,0.02191380569758948
17,STX8,9250471,9576591,78,0.01524835646457268
17,CFAP52,9576627,9643447,13,0.013787436084733384
17,USP43,9644698,9729687,20,0.022552958363769172
17,DHRS7C,9771434,9791592,3,0.011139517896274655
17,GSG1L2,9800608,9822079,8,0.009952520087655226
17,GLP2R,9822206,9892099,15,0.02081811541271001
17,RCVRN,9896320,9905271,2,0.012509130752373997
17,GAS7,9910606,10198606,66,0.015248356464572684
17,MYH13,10300865,10373130,12,0.011596055514974437
17,MYH8,10390322,10421950,3,0.011687363038714395
17,MYH4,10443290,10469559,3,0.015522279035792553
17,MYH1,10492307,10518542,2,0.02127465303140979
17,MYH2,10521148,10549700,4,0.02611395178962747
17,MYH3,10628526,10657309,6,0.01150474799123448
17,SCO1,10672474,10698375,5,0.025292184075967863
17,ADPRM,10697594,10711558,2,0.021365960555149745
17,TMEM220,10699015,10730023,6,0.02246165084002922
17,TMEM238L,10794908,10804099,1,0.011413440467494526
17,PIRT,10822470,10838087,3,0.012783053323593866
17,SHISA6,11241213,11564063,66,0.025200876552227906
17,DNAH9,11598470,11969748,74,0.017531044558071588
17,ZNF18,11977439,11997475,4,0.014426588750913075
17,MAP2K4,12020829,12143830,12,0.014609203798392988
17,MYOCD,12665890,12768949,20,0.013330898466033603
17,ARHGAP44,12789498,12991643,44,0.019357195032870707
17,ELAC2,12991612,13018065,6,0.019448502556610667
17,HS3ST3A1,13494032,13601929,23,0.014974433893352814
17,COX10,14069490,14231736,26,0.018078889700511323
17,HS3ST3B1,14301081,14349404,11,0.013513513513513518
17,PMP22,15229773,15272292,7,0.023283418553688824
17,TEKT3,15303811,15341632,6,0.022187728268809354
17,CDRT4,15436015,15475728,8,0.01378743608473338
17,TVP23C-CDRT4,15436021,15563561,25,0.017165814463111762
17,TVP23C,15502264,15563595,11,0.017165814463111762
17,FBXW10B,15565483,15619704,13,0.014426588750913079
17,ENSG00000251537,15571491,15651653,18,0.014426588750913079
17,TRIM16,15627960,15684311,11,0.014517896274653032
17,ZNF286A-TBC1D26,15699552,15745940,10,0.009495982468955444
17,ZNF286A,15699577,15720787,5,0.009495982468955444
17,TBC1D26,15732247,15746162,2,0.00840029218407597
17,ADORA2B,15945130,15975746,6,0.015339663988312637
17,ZSWIM7,15976560,15999717,4,0.019265887509130754
17,TTC19,15999784,16045015,7,0.026844411979547116
17,NCOR1,16029065,16218185,30,0.01862673484295106
17,PIGL,16217191,16351797,25,0.014426588750913079
17,CENPV,16342534,16353656,1,0.011230825420014611
17,UBB,16380798,16382745,1,0.012143900657414173
17,TRPV2,16415571,16437003,5,0.01077428780131483
17,LRRC75A,16441577,16492193,12,0.028579254930606285
17,ZNF287,16546954,16569204,3,0.012783053323593868
17,ZNF624,16620734,16653856,5,0.01725712198685172
17,CCDC144A,16689537,16777881,14,0.012783053323593868
17,ENSG00000266302,16690261,16804453,18,0.013970051132213298
17,TNFRSF13B,16929816,16972118,9,0.018900657414170928
17,MPRIP,17042457,17217679,25,0.018170197224251276
17,PLD6,17200995,17206333,1,0.012874360847333824
17,ENSG00000264187,17202649,17237185,7,0.012874360847333824
17,FLCN,17212212,17237188,5,0.012417823228634044
17,COPS3,17246616,17281273,5,0.014335281227173119
17,NT5M,17303335,17347663,9,0.012783053323593866
17,MED9,17476994,17493221,3,0.02255295836376918
17,PEMT,17505563,17591708,15,0.02465303140978817
17,RAI1,17681458,17811453,17,0.018809349890430975
17,SREBF1,17810399,17837002,5,0.01817019722425128
