gene_id,gene_name,chr,start,end,min_rank,min_pop,max_rank,rank_range,is_sd
ENSG00000172955.17,ADH6,4,99202638,99219537,0.0002652097809367,CHB,0.125072593844042,0.1248073840631052,False
ENSG00000140795.13,MYLK3,16,46702282,46790407,0.0004765182400593,PEL,0.3919779286926995,0.3915014104526402,False
ENSG00000172058.16,SERF1A,5,70900669,70918530,0.0005544115317598,PUR,0.0043151373960925,0.0037607258643326,False
ENSG00000176601.14,MAP3K19,2,134964485,135047468,0.0006632003395585,FIN,0.9018426083262532,0.9011794079866946,False
ENSG00000185829.19,ARL17A,17,46499780,46579695,0.0007137570053928,STU,0.0486842801927251,0.0479705231873323,False
ENSG00000215356.4,ZNF705B,8,7926337,7952413,0.0009504197687311,PUR,0.1557026798902722,0.154752260121541,False
ENSG00000204918.3,PRR20B,13,57147488,57150509,0.0010820225905204,ESN,0.2745962600934976,0.2735142375029772,False
ENSG00000198324.14,PHETA1,12,111360651,111369121,0.0011121703209405,TSI,0.4742967224362696,0.473184552115329,False
ENSG00000121966.8,CXCR4,2,136114349,136119177,0.0011377467322855,CEU,0.4742967224362696,0.473158975703984,False
ENSG00000203760.9,CENPW,6,126340115,126348875,0.0011687207819804,CDX,0.0358128183361629,0.0346440975541825,False
ENSG00000184206.13,GOLGA6L4,15,84235773,84245358,0.0011687207819804,CDX,0.0486842801927251,0.0475155594107447,False
ENSG00000228696.11,ARL17B,17,46274784,46361766,0.0012162876784769,ITU,0.5515835186950535,0.5503672310165765,False
ENSG00000145736.15,GTF2H2,5,71035016,71067689,0.0012408258091768,ASW,0.0161222004553396,0.0148813746461628,False
ENSG00000230031.10,POTEB2,15,20835372,20866314,0.0012408258091768,ASW,0.0486842801927251,0.0474434543835483,False
ENSG00000112118.20,MCM3,6,52264014,52284881,0.0012707153068248,PEL,0.6300712213136376,0.6288005060068128,False
ENSG00000065308.5,TRAM2,6,52497408,52577060,0.0012707153068248,PEL,0.805031944664449,0.8037612293576243,False
ENSG00000081041.9,CXCL2,4,74097040,74099196,0.0012707153068248,PEL,0.0826123654779489,0.0813416501711241,False
ENSG00000173653.8,RCE1,11,66842835,66846552,0.0012707153068248,PEL,0.4297855440826052,0.4285148287757804,False
ENSG00000185775.10,SPATA31A6,9,42183659,42189887,0.0012930806987913,YRI,0.0486842801927251,0.0473911994939337,False
ENSG00000134780.10,DAGLA,11,61680391,61747001,0.0013806287170773,JPT,0.5085838043420844,0.507203175625007,False
ENSG00000124920.14,MYRF,11,61752636,61788518,0.0013806287170773,JPT,0.7806133276740238,0.7792326989569465,False
ENSG00000152128.13,TMEM163,2,134455759,134719000,0.0015386247877758,FIN,0.9061788531794356,0.9046402283916596,False
ENSG00000215354.10,FAM90A24,8,8019988,8022998,0.0016098384883352,LWK,0.0161222004553396,0.0145123619670043,False
ENSG00000214026.11,MRPL23,11,1947278,1984522,0.0016098384883352,LWK,0.0165490903304513,0.0149392518421161,False
ENSG00000279408.3,OR4N4C,15,21651844,21652968,0.0016098384883352,LWK,0.1426828621439558,0.1410730236556206,False
