gene_name,gstart,gend,midpoint,n_seg,max_h12_500kb,max_h2h1_500kb,n_windows
FAM110C,38814,46870,42842,13955,0.489423764537619,0.014788273615635178,272
SH3YL1,217730,266398,242064,19285,0.489423764537619,0.014788273615635178,378
ACP1,264140,278283,271211,19983,0.489423764537619,0.014788273615635178,392
ALKAL2,279558,288851,284204,20393,0.489423764537619,0.014788273615635178,400
TMEM18,663877,677406,670641,27467,0.6018103805186495,0.01400943566103649,542
SNTG2,950849,1367613,1159231,30186,0.5905566637810983,0.2525721381267739,596
TPO,1374066,1543711,1458888,30312,0.5809966502314728,0.2569335584227662,599
PXDN,1631887,1744852,1688369,29732,0.44578267906206487,0.06590151795631238,587
MYT1L,1789113,2331664,2060388,28094,0.42344461590575483,0.20632921357159728,554
EIPR1,3188925,3377830,3283377,29184,0.5181038051864955,0.09799009280874563,576
TRAPPC12,3379675,3485094,3432384,28590,0.540479506191426,0.09351992204417496,564
ADI1,3497366,3519531,3508448,28644,0.5007715758967216,0.11073704460743052,565
ENSG00000286905,3532008,3558333,3545170,28593,0.6888855433023451,0.012776886035313005,564
RNASEH1,3541430,3558333,3549881,28495,0.6838232526628776,0.012895188169433398,562
RPS7,3575260,3580920,3578090,28438,0.6888855433023451,0.012776886035313005,561
COLEC11,3594832,3644644,3619738,28373,0.6838044337385673,0.012863245097404706,560
ALLC,3658200,3702671,3680435,28267,0.6888855433023451,0.012776886035313005,558
DCDC2C,3703575,3848008,3775791,28121,0.704072415220746,0.012244833965695659,555
SOX11,5692384,5701385,5696884,27429,0.5117806466182392,0.09901609509185004,541
CMPK2,6840570,6866635,6853602,24558,0.5589220520155068,0.11351336724753756,484
RSAD2,6865557,6898239,6881898,24399,0.4525951296623886,0.042493506493506465,480
RNF144A,6917412,7068286,6992849,24318,0.45071323723135975,0.2773870917330835,479
ID2,8678845,8684461,8681653,24026,0.51904475140201,0.013738430249450047,473
KIDINS220,8721081,8837630,8779355,24066,0.51904475140201,0.013738430249450047,474
MBOAT2,8852690,9003709,8928199,23827,0.6337084572245849,0.01007294791382602,469
ASAP2,9206765,9405683,9306224,24290,0.6478602883059205,0.0056004582193088575,478
ITGB1BP1,9403475,9423528,9413501,24553,0.6477850126086794,0.005473871809560185,484
CPSF3,9423651,9473101,9448376,24781,0.6337084572245849,0.01007294791382602,488
IAH1,9473658,9496543,9485100,24897,0.6478602883059205,0.0056004582193088575,490
ADAM17,9488486,9556732,9522609,25833,0.6477850126086794,0.005473871809560185,509
YWHAQ,9583967,9630997,9607482,26008,0.6477850126086794,0.005473871809560185,513
TAF1B,9843443,9934416,9888929,26497,0.6046332191651925,0.006720935800526734,522
GRHL1,9951693,10002277,9976985,26810,0.5688208062027174,0.021273153765267318,529
KLF11,10042849,10054836,10048842,27293,0.5688208062027174,0.021273153765267318,538
CYS1,10056473,10080944,10068708,27345,0.5688208062027174,0.021273153765267318,539
RRM2,10120698,10211725,10166211,27387,0.4844555685197034,0.17911353976927744,540
HPCAL1,10302889,10427617,10365253,27951,0.44455944898189614,0.15213862224731783,552
ODC1,10439968,10448327,10444147,28265,0.4844555685197034,0.17911353976927744,558
NOL10,10562347,10689987,10626167,27486,0.44455944898189614,0.15213862224731783,542
ATP6V1C2,10721100,10785110,10753105,27155,0.5522036960367345,0.370612730517549,536
PDIA6,10783391,10837977,10810684,26783,0.4829500545748805,0.31794380116527765,528
KCNF1,10911934,10914225,10913079,26482,0.5975008468515939,0.36556113082854,522
C2orf50,11133128,11151317,11142222,26062,0.5975008468515939,0.36556113082854,514
SLC66A3,11155198,11178870,11167034,26159,0.6210621400880727,0.36365510336297796,516
ROCK2,11179759,11348330,11264044,25964,0.5702322255259888,0.3420067271688773,512
E2F6,11444375,11466177,11455276,25252,0.5702322255259888,0.3420067271688773,498
GREB1,11482341,11642788,11562564,25343,0.5702322255259888,0.3420067271688773,499
NTSR2,11658178,11670195,11664186,24973,0.5702322255259888,0.3420067271688773,492
LPIN1,11677595,11827409,11752502,25271,0.6210621400880727,0.36365510336297796,498
TRIB2,12716910,12742734,12729822,23797,0.46588129022545066,0.035864330361717385,468
LRATD1,14632700,14650814,14641757,24583,0.6439647709736912,0.3525753875858936,484
NBAS,15166916,15561340,15364128,24462,0.523711844630961,0.1163656298690056,482
DDX1,15591178,15634346,15612762,24981,0.49358274681019226,0.05979789561412645,492
MYCN,15940550,15947007,15943778,25995,0.49358274681019226,0.05979789561412645,512
CYRIA,16549459,16666331,16607895,24195,0.547705973126576,0.03467403314917126,476
RAD51AP2,17510579,17518440,17514509,21903,0.642967367985246,0.44613773848301536,431
VSNL1,17539126,17657018,17598072,22401,0.6380556287402613,0.44214658152205744,441
SMC6,17663812,17800242,17732027,22743,0.6429861869095563,0.44616995288780303,447
GEN1,17753858,17788946,17771402,23006,0.6429297301366255,0.4460732984293193,453
MSGN1,17816460,17817798,17817129,23341,0.633237984116828,0.4382632293080055,459
KCNS3,17877847,18361616,18119731,24142,0.6429861869095563,0.44616995288780303,475
RDH14,18554723,18560679,18557701,24044,0.4902329782829613,0.2306279456612143,473
NT5C1B-RDH14,18555545,18589564,18572554,24011,0.4990778727087959,0.24635287641067993,473
NT5C1B,18562871,18589572,18576221,24002,0.507094734464978,0.24629956545355783,473
OSR1,19351485,19358623,19355054,23605,0.5063984342654972,0.07299709763977873,465
TTC32,19896631,19901983,19899307,24335,0.5192517595694232,0.07012178907621122,479
