gene_name,gstart,gend,midpoint,n_seg,max_h12_500kb,max_h2h1_500kb,n_windows
WASHC1,14475,73865,44170,18671,0.413516825336978,0.07281399046104928,366
FOXD4,116231,118417,117324,21517,0.413516825336978,0.07281399046104928,423
ZNG1A,120837,179147,149992,22805,0.47671788104439616,0.11809679334916863,449
DOCK8,214854,465259,340056,30808,0.47671788104439616,0.11809679334916863,609
KANK1,470291,746105,608198,37845,0.5354887359788857,0.10153583617747439,749
DMRT1,841690,969090,905390,37428,0.5285135262512959,0.10317248733671018,741
DMRT3,976655,991732,984193,37677,0.5364784616834761,0.10400575991621946,746
DMRT2,1049858,1057552,1053705,37812,0.5424639457064755,0.09981898112231702,749
SMARCA2,1980290,2193624,2086957,35675,0.4630031105665,0.03710539714867615,706
VLDLR,2621182,2660056,2640619,33579,0.6060891695730042,0.34763916126112515,664
KCNV2,2717510,2730037,2723773,33015,0.6517108115750779,0.36291119582097975,653
PUM3,2720469,2844095,2782282,32254,0.6518050711659913,0.36309103740296395,638
RFX3,3218297,3526004,3372150,30196,0.6518050711659913,0.36309103740296395,596
GLIS3,3824127,4348392,4086259,33319,0.4190781412008671,0.20774647887323955,659
SLC1A1,4490468,4587469,4538968,35173,0.4190781412008671,0.20774647887323955,696
SPATA6L,4553386,4666674,4610030,34730,0.4190781412008671,0.20774647887323955,687
PLPP6,4662294,4665258,4663776,34459,0.42529927420115005,0.20405613225682437,682
CDC37L1,4679559,4708399,4693979,34178,0.433452728815157,0.13748490598585475,676
AK3,4709556,4742043,4725799,33905,0.433452728815157,0.15293702593049915,671
RCL1,4792944,4885917,4839430,32959,0.4460835139975493,0.1474850809889173,652
JAK2,4984390,5129948,5057169,31361,0.433452728815157,0.15293702593049915,620
INSL6,5123880,5185647,5154763,30853,0.433452728815157,0.13748490598585475,610
INSL4,5231419,5235304,5233361,30845,0.433452728815157,0.13748490598585475,609
RLN2,5299864,5304716,5302290,30120,0.433452728815157,0.13748490598585475,595
RLN1,5334930,5339876,5337403,29839,0.4210104628145914,0.14265309766113193,589
PLGRKT,5357971,5437925,5397948,29706,0.433452728815157,0.13748490598585475,587
CD274,5450503,5470566,5460534,29027,0.433452728815157,0.13748490598585475,573
PDCD1LG2,5510531,5571282,5540906,28959,0.433452728815157,0.13748490598585475,572
RIC1,5629025,5776557,5702791,28933,0.38948062965406727,0.06523514043109079,571
ERMP1,5749832,5879537,5814684,28663,0.605335092845697,0.3811124694376528,566
BRD10,5881596,6008482,5945039,27916,0.5690451503440476,0.4225859247135842,551
MLANA,5890889,5910606,5900747,28413,0.5617871618437177,0.41589403973509925,561
RANBP6,6011025,6015625,6013325,27971,0.605335092845697,0.3811124694376528,552
IL33,6215786,6257983,6236884,29777,0.5771986049580544,0.35785635008720457,588
TPD52L3,6328375,6331891,6330133,30887,0.5699406164577246,0.37518153945457466,610
UHRF2,6413151,6507054,6460102,31936,0.5771986049580544,0.35785635008720457,631
GLDC,6532467,6645729,6589098,33024,0.5699877462531813,0.37528234914488523,653
KDM4C,6720863,7175648,6948255,35012,0.3501743802431897,0.41645633518425024,693
DMAC1,7796500,7888380,7842440,32940,0.3840135733810915,0.40596276219655897,651
PTPRD,8314246,10613002,9463624,34189,0.38170421340371374,0.076746096959737,676
TYRP1,12685439,12710285,12697862,30162,0.3924498067678386,0.046793760831889075,596
LURAP1L,12775020,12823060,12799040,29442,0.398718069563578,0.04331909701037215,581
MPDZ,13105706,13279692,13192699,28560,0.5272410217739654,0.08041112454655376,564
NFIB,14081843,14398983,14240413,30163,0.32430012253746815,0.06703859520760921,596
ZDHHC21,14611071,14693432,14652251,30103,0.44273729852012433,0.036660422799036634,595
CER1,14719724,14722733,14721228,30185,0.43010651333773203,0.03813208068527216,596
FREM1,14737152,14910995,14824073,30612,0.3726081628805731,0.08642307003403187,605
TTC39B,15163622,15307360,15235491,31570,0.4150721085870487,0.21540020263424528,624
SNAPC3,15422734,15465953,15444343,31099,0.4319445753605428,0.22190201729106637,614
PSIP1,15464066,15510995,15487530,31040,0.4319445753605428,0.22190201729106637,613
CCDC171,15553043,16061663,15807353,30664,0.3949948157224997,0.22457538267980712,606
BNC2,16409503,16870843,16640173,31306,0.38137430483551693,0.051398828887443036,619
CNTLN,17134982,17503923,17319452,32147,0.4359506079743613,0.05221703617269543,635
SH3GL2,17579066,17797124,17688095,31202,0.45287020454331234,0.15591492353664965,617
ADAMTSL1,17906563,18910950,18408756,29583,0.31784334055990193,0.1941783345615329,584
SAXO1,18858906,19049358,18954132,31173,0.4119615420869074,0.15194512309716215,616
RRAGA,19049427,19051025,19050226,31746,0.41846545385993017,0.09971147318397822,627
HAUS6,19053141,19102904,19078022,32031,0.40583466867753804,0.146329928111994,633
PLIN2,19108375,19149290,19128832,31771,0.44796870581581666,0.10292921074043934,628
DENND4C,19230435,19374281,19302358,31440,0.40583466867753804,0.146329928111994,621
RPS6,19375715,19380236,19377975,31199,0.40583466867753804,0.146329928111994,616
ACER2,19409009,19452505,19430757,31118,0.4119615420869074,0.15194512309716215,615
SLC24A2,19507452,19789037,19648244,30467,0.3862286737675558,0.037298541826554094,602
MLLT3,20341669,20622499,20482084,27731,0.629182769346781,0.009771573604060913,547
FOCAD,20658309,20995955,20827132,26863,0.6215477424827976,0.00994172094617758,530
HACD4,20999509,21031640,21015574,27218,0.37736827222169855,0.230072463768116,537
