chr,gene_name,gstart,gend,n_windows,max_h12
22,POTEH,15690026,15721631,4,0.0032455677715120287
22,XKR3,16783412,16825411,6,0.01894600186620147
22,GAB4,16961936,17008222,6,0.019818248204795323
22,IL17RA,17084954,17115693,4,0.007302527485902065
22,TMEM121B,17116297,17121367,1,0.006430281147308207
22,HDHD5,17137511,17165287,5,0.013753093431782222
22,ADA2,17178790,17258235,15,0.007018540305894762
22,CECR2,17359949,17558151,34,0.018722869081910017
22,SLC25A18,17563450,17590995,5,0.008458761004503226
22,ATP6V1E1,17592136,17628749,7,0.02371292953060976
22,BCL2L13,17628855,17730855,18,0.030122925879346014
22,BID,17734138,17774770,8,0.02383463832204146
22,MICAL3,17787649,18024561,41,0.03616779585378717
22,PEX26,18077923,18105396,5,0.01918941944906487
22,ENSG00000288683,18077989,18131720,9,0.01918941944906487
22,TUBA8,18110100,18146683,6,0.013996511014645625
22,USP18,18149843,18177397,5,0.037790579739543195
22,ENSG00000283809,18906238,18947732,1,0.003874396527242485
22,FAM246C,19029524,19031242,1,0.006511420341596008
22,DGCR2,19036282,19122454,13,0.02385492312061341
22,ESS2,19130279,19144684,1,0.006876546715891111
22,CLTCL1,19179473,19291719,17,0.045620511988315945
22,HIRA,19330698,19447450,11,0.014503630978944377
22,C22orf39,19351368,19447711,9,0.014503630978944377
22,UFD1,19449911,19479202,2,0.012738853503184714
22,CDC45,19479457,19520612,4,0.014889042151811433
22,CLDN5,19523024,19527545,1,0.008621039393078827
22,SEPTIN5,19714503,19724224,1,0.0056188892044302
22,TBX1,19756703,19783593,4,0.008621039393078827
22,GNB1L,19783223,19854939,7,0.010466956063126294
22,RTL10,19846138,19854896,1,0.010466956063126294
22,TXNRD2,19875517,19941820,12,0.012475151121749361
22,COMT,19941371,19969975,6,0.009493285731672683
22,ARVCF,19969896,20016823,6,0.015091890137530935
22,TANGO2,20017014,20067164,7,0.016065560468984545
22,DGCR8,20080221,20111877,3,0.022698689602012254
22,TRMT2A,20111875,20117392,1,0.022921822386303706
22,RANBP1,20115938,20127355,1,0.021603310479126944
22,ZDHHC8,20129456,20148007,2,0.018317173110471013
22,CCDC188,20148416,20151055,1,0.016491541238995495
22,RTN4R,20241415,20283246,4,0.006247717960160655
22,DGCR6L,20314238,20320080,1,0.003955535721530285
22,ZNF74,20394115,20408461,2,0.012312872733173757
22,SCARF2,20424584,20437826,1,0.007951641040204469
22,ENSG00000277971,20429241,20446620,2,0.008134204227352022
22,KLHL22,20441519,20495844,5,0.009898981703111688
22,MED15,20495913,20587632,11,0.01460505497180413
22,PI4KA,20707691,20859417,18,0.014280498194652928
22,SERPIND1,20774113,20787720,2,0.008844172177370279
22,SNAP29,20859007,20891214,4,0.012637429510324961
22,CRKL,20917407,20953747,4,0.0069982555073228115
22,AIFM3,20965108,20981360,2,0.005091484441559495
22,LZTR1,20982269,20999032,2,0.006004300377297252
22,THAP7,20999104,21002196,1,0.005943445981581402
22,TUBA3FP,21008193,21014292,1,0.006409996348736257
22,ENSG00000291240,21008247,21032572,4,0.008803602580226378
22,P2RX6,21009808,21028013,2,0.008803602580226378
22,SLC7A4,21028718,21032840,1,0.007667653860197168
22,LRRC74B,21045946,21064168,2,0.009777272911679985
22,HIC2,21417371,21451463,2,0.003975820520102235
22,UBE2L3,21549447,21624034,9,0.009351292141669031
22,CCDC116,21632716,21637329,1,0.006714268327315509
22,SDF2L1,21642302,21644299,1,0.00801249543592032
22,PPIL2,21666000,21700015,6,0.014868757353239483
22,YPEL1,21697536,21735794,6,0.007424236277333765
22,MAPK1,21759657,21867680,14,0.011156639214572599
22,PPM1F,21919425,21952848,4,0.007687938658769118
22,TOP3B,21957025,21982813,3,0.00567974360014605
22,ZNF280B,22484421,22508742,3,0.02580226378352063
22,ZNF280A,22513736,22520270,2,0.013793663028926123
22,PRAME,22547701,22559361,2,0.010000405695971437
22,GGTLC2,22644614,22647898,2,0.004807497261552193
22,IGLL5,22887780,22896111,7,0.03452472716945921
22,RSPH14,23059415,23145021,9,0.01113635441600065
22,GNAZ,23070519,23125032,5,0.009290437745953183
22,RAB36,23145366,23165663,2,0.012556290316037161
