chr,gene_name,gstart,gend,n_windows,max_h12
13,TUBA3C,19173772,19181824,1,0.007692824509540446
13,TPTE2,19422876,19561625,13,0.013000537489922064
13,MPHOSPH8,19633659,19673441,4,0.013168503090567054
13,PSPC1,19674752,19783019,11,0.008834990593926364
13,ZMYM5,19823482,19863649,6,0.019819940876108576
13,ZMYM2,19958677,20091829,12,0.012631013168503093
13,GJA3,20138255,20161052,3,0.0052741198602526225
13,GJB2,20187463,20192938,1,0.01615829078204784
13,GJB6,20221962,20232365,1,0.01599032518140285
13,CRYL1,20403666,20525873,15,0.015284869658693898
13,IFT88,20567138,20691444,11,0.026370599301263103
13,IL17D,20702127,20723098,2,0.010077936038699276
13,EEF1AKMT1,20728731,20773961,5,0.012362268207471112
13,XPO4,20777329,20903048,9,0.019887127116366567
13,LATS2,20973036,21061586,10,0.022406611126041386
13,SAP18,21140119,21149097,1,0.010212308519215266
13,SKA3,21153595,21176552,2,0.010447460360118248
13,MRPL57,21176658,21179084,1,0.006651437785541522
13,ZDHHC20,21348784,21459370,11,0.018677774791722654
13,MICU2,21492691,21604181,8,0.009439666756248322
13,FGF9,21671073,21704498,3,0.008163128191346415
13,SGCG,23180979,23325162,28,0.03507121741467348
13,SACS,23288689,23433763,20,0.025698736898683152
13,TNFRSF19,23570370,23676104,12,0.026101854340231122
13,MIPEP,23730189,23889400,14,0.0194840096748186
13,C1QTNF9B,23891099,23897502,1,0.006617844665412525
13,ENSG00000273167,23979700,24321031,50,0.02163396936307445
13,SPATA13,23979805,24307074,48,0.02163396936307445
13,C1QTNF9,24307166,24322535,2,0.005945982262832573
13,PARP4,24420931,24512778,17,0.042092179521633966
13,ATP12A,24680408,24712472,5,0.011119322762698199
13,RNF17,24764169,24879921,15,0.028251814028486963
13,CENPJ,24882279,24922889,5,0.02029024455791454
13,AMER2,25161679,25172288,1,0.005811609782316583
13,MTMR6,25246222,25287510,4,0.009002956194571352
13,NUP58,25301524,25365390,5,0.008398280032249397
13,ATP8A2,25371974,26025851,74,0.10514646600376243
13,SHISA2,26044597,26052016,1,0.008465466272507391
13,RNF6,26132115,26222314,13,0.012295081967213115
13,CDK8,26254104,26420982,13,0.01138806772373018
13,WASF3,26557683,26688948,14,0.02794947594732599
13,USP12,27066156,27171811,12,0.019685568395592584
13,RASL11A,27270830,27275192,1,0.009070142434829348
13,GTF3A,27424619,27435823,1,0.021969900564364417
13,MTIF3,27435643,27450591,2,0.020357430798172534
13,LNX2,27545913,27620529,7,0.013974737973662993
13,POLR1D,27620742,27744237,15,0.02600107497984412
13,PDX1,27920000,27926313,1,0.007995162590701425
13,CDX2,27960918,27969315,1,0.006651437785541522
13,URAD,27977717,27988693,2,0.007020962106960496
13,FLT3,28003274,28100592,16,0.023985487772104276
13,PAN3,28138506,28295335,12,0.010581832840634239
13,FLT1,28300346,28495145,17,0.00960763235689331
13,POMP,28659065,28678959,1,0.006920182746573503
13,SLC46A3,28700064,28718970,2,0.006752217145928515
13,MTUS2,28820339,29505947,75,0.04541789841440473
13,SLC7A1,29509414,29595688,7,0.013000537489922064
13,UBL3,29764371,29850617,8,0.00917092179521634
13,KATNAL1,30202630,30307551,12,0.008834990593926366
13,UBE2L5,30422488,30429758,1,0.005408492340768613
13,HMGB1,30456704,30617597,17,0.006953775866702501
13,USPL1,30617693,30660770,3,0.012698199408761086
13,ALOX5AP,30713478,30764426,5,0.015049717817790919
13,MEDAG,30906271,30925572,2,0.010447460360118248
13,TEX26,30932656,30975500,4,0.011455253963988174
13,HSPH1,31134973,31162388,3,0.00708814834721849
13,B3GLCT,31199975,31332276,11,0.04306638000537491
13,RXFP2,31739526,31803389,7,0.020592582639075516
13,FRY,31846713,32299125,43,0.016091104541789844
13,ZAR1L,32303699,32315363,2,0.00947325987637732
13,BRCA2,32315086,32400268,6,0.01431066917495297
13,N4BP2L1,32400723,32428311,3,0.006315506584251547
13,N4BP2L2,32432417,32538885,7,0.00960763235689331
13,PDS5B,32586452,32778019,18,0.019215264713786623
13,KL,33016423,33066143,5,0.010380274119860254
13,STARD13,33103137,33350630,24,0.018005912389142703
13,RFC3,33818069,33966558,14,0.01985353399623757
13,NBEA,34942270,35673022,54,0.02428782585326525
13,MAB21L1,35473419,35478764,1,0.008566245632894385
13,DCLK1,35768652,36131382,38,0.026034668099973124
13,SOHLH2,36168217,36214588,3,0.012899758129535071
13,CCDC169-SOHLH2,36168794,36297842,16,0.03171190540177371
13,CCDC169,36222008,36297840,12,0.03171190540177371
13,SPART,36301638,36370180,6,0.01894651975275464
13,CCNA1,36431520,36442870,1,0.0060467616232195666
13,SERTM1,36674020,36697839,2,0.00641628594463854
13,SMAD9,36844831,36920887,9,0.0077600107497984416
13,ALG5,36949738,37000763,3,0.007827196990056436
13,EXOSC8,36998816,37025881,1,0.007726417629669444
13,SUPT20H,37009312,37059713,2,0.006382692824509542
13,CSNK1A1L,37103259,37105664,1,0.007323300188121473
13,POSTN,37562583,37598844,3,0.01887933351249664
13,TRPC4,37632063,37869802,27,0.025530771298038164
13,UFM1,38349849,38363619,1,0.008398280032249397
13,FREM2,38687077,38887131,17,0.01709889814565977
13,STOML3,38965925,38990859,3,0.025161246976619187
13,PROSER1,39009865,39038089,3,0.014747379736629939
13,NHLRC3,39038306,39050109,1,0.012295081967213115
13,LHFPL6,39209116,39603528,50,0.054756785810266065
13,COG6,39655627,39791665,11,0.015419242139209886
13,FOXO1,40555667,40666641,12,0.010514646600376243
13,MRPS31,40729128,40771190,5,0.012160709486697124
13,SLC25A15,40789412,40812460,3,0.011320881483472186
13,ELF1,40931924,41061440,15,0.015452835259338885
13,WBP4,41061509,41084006,2,0.010077936038699272
13,KBTBD7,41189834,41194569,1,0.00708814834721849
13,MTRF1,41216369,41263577,4,0.0072561139478634785
13,NAA16,41311267,41377030,7,0.016561408223595808
13,RGCC,41457550,41470871,1,0.007054555227089493
13,VWA8,41566835,41961120,38,0.015654393980112875
13,DGKH,42040036,42256578,28,0.02845337274926095
13,AKAP11,42272152,42323261,6,0.01857699543133566
13,TNFSF11,42562736,42608013,3,0.006685030905670519
13,FAM216B,42781550,42791549,1,0.021298038161784466
13,EPSTI1,42886388,42992271,13,0.021869121203977424
13,DNAJC15,43023203,43114213,11,0.0429656006449879
13,ENOX1,43213130,43786972,54,0.020558989518946517
13,CCDC122,43823909,43879740,7,0.028419779629131954
13,LACC1,43879284,43893932,2,0.029629131953775874
13,ENSG00000281883,43883800,44028526,19,0.027512765385649025
13,SMIM2,44143150,44161257,2,0.008801397473797368
13,SERP2,44373665,44397714,2,0.010044342918570277
13,TSC22D1,44432143,44577147,12,0.014445041655468959
13,NUFIP1,44939249,44989471,3,0.010951357162053213
13,GPALPP1,44989529,45037669,5,0.011623219564633164
13,GTF2F2,45120510,45284893,15,0.012026337006181135
13,KCTD4,45192853,45201045,1,0.006214727223864553
13,TPT1,45333471,45341284,1,0.013101316850309056
13,SLC25A30,45393316,45418455,2,0.00907014243482935
13,COG3,45464898,45536701,8,0.014411448535339964
13,ERICH6B,45534522,45615739,7,0.013504434291857027
13,CBY2,45702320,45714559,1,0.0062819134641225495
13,SIAH3,45777242,45851753,9,0.00792797635044343
13,ZC3H13,45954465,46052759,8,0.020760548239720504
13,CPB2,46053186,46105033,6,0.01320209621069605
13,LCP1,46125920,46211871,9,0.007020962106960495
13,LRRC63,46211928,46277115,7,0.01152244020424617
13,RUBCNL,46334681,46438190,9,0.013269282450954045
13,LRCH1,46553168,46753040,20,0.013941144853533996
