chr,gene_name,gstart,gend,n_windows,max_h12
8,ZNF596,232137,264703,6,0.007904620490872566
8,FBXO25,406428,477967,12,0.015328849681194861
8,TDRP,489803,545781,9,0.01519783387195388
8,ERICH1,614746,738106,26,0.013232596733339154
8,DLGAP2,737628,1708476,198,0.043759280286487894
8,CLN8,1755778,1801711,6,0.012402829941479603
8,KBTBD11-OT1,1763888,1958627,39,0.017032055201327626
8,ARHGEF10,1823926,1958641,30,0.017032055201327626
8,KBTBD11,1973677,2006936,7,0.009607826011005325
8,MYOM2,2045046,2165552,32,0.07529041837715082
8,CSMD1,2935353,4994972,567,0.06594462398462747
8,MCPH1,6406592,6648508,44,0.04105162022884094
8,ANGPT2,6499632,6563409,14,0.03218621713686784
8,AGPAT5,6708642,6761503,6,0.014804786444230935
8,XKR5,6808517,6835524,4,0.005677351733775877
8,DEFB1,6870592,6877936,3,0.013975019652371384
8,DEFA3,7015869,7018297,1,0.006245086907153463
8,DEFA5,7055304,7056739,1,0.011048999912656126
8,DEFB109B,7312722,7320096,1,0.0049349288147436466
8,ZNF705G,7355517,7385558,4,0.004978600751157307
8,DEFB4B,7414855,7416863,1,0.004803913005502664
8,SPAG11B,7442684,7463674,4,0.004716569132675343
8,DEFB104B,7470308,7475082,1,0.004716569132675343
8,DEFB106B,7482504,7486400,1,0.004716569132675343
8,DEFB107B,7495911,7509311,1,0.004716569132675343
8,DEFB106A,7825139,7829053,1,0.004716569132675343
8,DEFB104A,7836436,7841242,1,0.004716569132675343
8,SPAG11A,7847876,7868867,1,0.004716569132675343
8,ZNF705B,7926337,7952413,1,0.004716569132675343
8,PRAG1,8317736,8386439,9,0.03559262817713337
8,MFHAS1,8783354,8893630,19,0.05052843043060529
8,ERI1,9002147,9116746,19,0.016202288409468073
8,PPP1R3B,9136255,9151574,2,0.012009782513756659
8,TNKS,9555912,9782346,28,0.04301685736745567
8,MSRA,10054292,10428891,54,0.022010655952484928
8,PRSS51,10482878,10547624,11,0.017337758756223245
8,PRSS55,10525532,10554166,6,0.011922438640929338
8,RP1L1,10606349,10712187,12,0.006638134334876408
8,C8orf74,10672628,10700590,2,0.005764695606603197
8,PINX1,10725399,10839847,19,0.03188051358197222
8,XKR6,10896045,11201833,44,0.020001746877456546
8,MTMR9,11284816,11328146,6,0.0193903397676653
8,FAM167A,11421476,11475908,12,0.011791422831688356
8,BLK,11486894,11564599,14,0.02214167176172591
8,GATA4,11676959,11760002,12,0.01668267971001834
8,NEIL2,11769639,11787345,3,0.01751244650187789
8,FDFT1,11795573,11839395,10,0.020918857542143413
8,CTSB,11842524,11869533,5,0.011791422831688356
8,DEFB135,11982256,11984590,1,0.006157743034326142
8,DEFB134,11993174,12000752,1,0.005764695606603197
8,DEFB109D,12150888,12158033,1,0.004803913005502664
8,FAM86B1,12182096,12194133,4,0.0051096165603982885
8,FAM86B2,12424411,12436406,2,0.004978600751157307
8,LONRF1,12721906,12756073,4,0.01214079832299764
8,TRMT9B,12945642,13031503,17,0.01746877456546423
8,DLC1,13083361,13604610,94,0.04786444230937199
8,SGCZ,14084845,15238431,217,0.09900427984976852
8,TUSC3,15417215,15766649,62,0.0320115293912132
8,MSR1,16107878,16567490,67,0.034806533321687476
