chr,gene_name,gstart,gend,n_windows,max_h12
14,POTEM,18967434,19003752,6,0.0036747580352983807
14,POTEG,19402486,19434341,5,0.0038817866570053316
14,OR4N2,19719015,19830253,28,0.018865483153045905
14,OR4Q3,19743571,19749469,2,0.010299673929920811
14,OR4M1,19773504,19783696,2,0.016432896847989237
14,OR4K2,19875142,19883932,2,0.00786708762486414
14,OR4K1,19930917,19936757,1,0.013172196056104759
14,OR4K15,19975591,19976565,1,0.06862998809585426
14,OR4K14,20014143,20019307,2,0.02326484136431862
14,OR4K13,20029399,20036038,2,0.0824750271725066
14,OR4K17,20110739,20122199,2,0.026111484912789196
14,OR4N5,20138820,20145471,1,0.03374566533823302
14,OR11G2,20190896,20201075,2,0.01379328192122561
14,OR11H6,20223710,20224702,1,0.04042233838828217
14,OR11H4,20239286,20244349,2,0.010765488328761452
14,TTC5,20256558,20305960,8,0.01907251177475286
14,CCNB1IP1,20311368,20333312,3,0.03819678070493246
14,PARP2,20343615,20357904,3,0.05033383365250246
14,TEP1,20365667,20413501,8,0.021272190880389216
14,KLHL33,20425852,20436166,2,0.011904145748149682
14,OSGEP,20446401,20455089,2,0.011153666994461985
14,PNP,20461992,20477094,2,0.010040888152787123
14,RNASE10,20505537,20513884,2,0.008695202111691943
14,RNASE9,20556093,20561047,1,0.016898711246829873
14,ENSG00000259060,20582892,20609795,4,0.010222038196780704
14,RNASE11,20582892,20609884,4,0.010222038196780704
14,ANG,20684177,20698971,3,0.009704466642513327
14,RNASE4,20684560,20701216,3,0.009704466642513327
14,ENSG00000259171,20684587,20700576,3,0.009704466642513327
14,EDDM3A,20745887,20748380,1,0.02078049790383521
14,EDDM3B,20768404,20770948,1,0.015320118006314373
14,METTL17,20989973,20997035,2,0.01076548832876145
14,SLC39A2,20999255,21001871,1,0.009704466642513327
14,NDRG2,21016763,21070872,8,0.008798716422545417
14,TPPP2,21024109,21036276,2,0.00872108068940531
14,RNASE13,21032818,21034807,1,0.008695202111691943
14,ARHGEF40,21070273,21090248,3,0.008953987888825631
14,ZNF219,21090077,21104722,2,0.009109259355105846
14,OR5AU1,21148370,21159060,2,0.00804823766885772
14,HNRNPC,21209136,21269494,9,0.012318202991563583
14,RPGRIP1,21280083,21351301,14,0.017856218622224522
14,SUPT16H,21351476,21384019,4,0.02046995497127478
14,CHD8,21385194,21456126,8,0.018296154443351795
14,RAB2B,21459020,21476960,3,0.02367889860773252
14,TOX4,21476597,21499175,3,0.024765798871694014
14,METTL3,21498133,21511342,2,0.012292324413850217
14,SALL2,21521080,21537216,2,0.00828114486827804
14,OR10G3,21568520,21580076,3,0.014931939340613841
14,OR4E2,21653835,21667642,2,0.01154184566016252
14,OR4E1,21667886,21673818,2,0.020314683504994567
14,DAD1,22564907,22589224,7,0.04122457429739661
14,ABHD4,22598290,22612963,2,0.012784017390404223
14,OR6J1,22630929,22644352,6,0.008928109311112261
14,OXA1L,22766522,22773042,1,0.00985973810879354
14,SLC7A7,22773222,22829820,13,0.010506702551627764
14,MRPL52,22829879,22835037,1,0.01053258112934113
14,MMP14,22836560,22849041,2,0.010196159619067335
14,REM2,22883222,22887678,1,0.012292324413850215
14,RBM23,22893204,22919182,5,0.01464727498576678
14,PRMT5,22920525,22929408,1,0.01819264013249832
14,HAUS4,22946228,22957161,2,0.031649500543450136
14,ENSG00000259132,22946270,22982258,5,0.031649500543450136
14,AJUBA,22971177,22982551,1,0.025671549091661926
14,C14orf93,22985894,23010166,3,0.038921380880906783
14,PSMB5,23016543,23035230,3,0.013249831789244864
14,PSMB11,23042212,23044060,1,0.011257181305315458
14,CDH24,23047062,23057538,2,0.01146420992702241
14,ACIN1,23058564,23095614,5,0.014673153563480153
14,C14orf119,23095505,23100456,1,0.016432896847989233
14,CIROP,23099062,23104989,1,0.013870917654365718
14,CEBPE,23117036,23120256,1,0.011283059883028829
14,SLC7A8,23125295,23183674,9,0.01889136173075928
14,RNF212B,23185316,23273477,18,0.046736711350344184
14,HOMEZ,23272422,23299796,4,0.01035143108534755
14,PPP1R3E,23295652,23302859,1,0.010661974017907977
14,BCL2L2,23298790,23311751,1,0.010661974017907977
14,BCL2L2-PABPN1,23306833,23326175,2,0.011878267170436314
14,EFS,23356403,23365752,1,0.012835774545830961
14,IL25,23372809,23376403,1,0.011127788416748616
14,MYH6,23381982,23408273,5,0.012162931525283372
14,MYH7,23412740,23435660,3,0.010791366906474819
14,NGDN,23469679,23509862,5,0.01213705294757
14,ZFHX2,23520857,23556192,4,0.008876352155685524
14,THTPA,23555988,23560271,1,0.01102427410589514
14,JPH4,23568038,23578790,1,0.012525231613270536
14,DHRS2,23630115,23645639,2,0.009600952331659852
14,DHRS4,23953734,23969279,3,0.020884012214688677
14,DHRS4L2,23969874,24006408,7,0.014077946276072669
14,CARMIL3,24052009,24069729,2,0.013172196056104757
14,CPNE6,24070837,24078100,1,0.01146420992702241
14,NRL,24078662,24115010,4,0.013482738988665182
14,PCK2,24094053,24110598,3,0.013482738988665182
14,DCAF11,24114195,24125242,1,0.013612131877232026
14,ENSG00000259371,24120956,24131829,1,0.013845039076652348
14,RNF31,24146683,24160660,2,0.014621396408053412
14,ENSG00000259529,24147548,24166452,3,0.017053982713110087
14,IRF9,24161234,24168043,1,0.017053982713110087
14,REC8,24171853,24180257,1,0.016148232493142175
14,IPO4,24180219,24188869,1,0.013560374721805291
14,ENSG00000259522,24180395,24190416,1,0.013560374721805291
14,TM9SF1,24189149,24195687,1,0.015242482273174266
14,ENSG00000254692,24189157,24213473,4,0.022876662698618086
14,CHMP4A,24209615,24213830,1,0.022876662698618086
14,NEDD8-MDP1,24213955,24232352,2,0.020625226437554996
14,NEDD8,24216857,24232367,2,0.020625226437554996
14,GMPR2,24232422,24239242,1,0.02075461932612184
14,TGM1,24249114,24264432,2,0.02396356296257958
14,RABGGTA,24265538,24271611,1,0.02295429843175819
14,DHRS1,24290598,24299780,1,0.014931939340613841
14,NOP9,24299850,24309124,1,0.015967082449148594
14,LTB4R,24311450,24318036,1,0.01581181098286838
14,ADCY4,24318349,24335093,2,0.014259096320066248
14,NFATC4,24365673,24379604,1,0.015785932405155016
14,NYNRIN,24399003,24419283,3,0.015682418094301535
14,CBLN3,24426545,24430954,1,0.012784017390404223
14,KHNYN,24429286,24441843,3,0.019926504839294035
14,SDR39U1,24439766,24442905,1,0.019926504839294035
14,CTSG,24573518,24576250,1,0.020340562082707934
14,STXBP6,24809454,25050147,33,0.03038145023549506
14,NOVA1,26443090,26598033,19,0.06089229335955697
14,PRKD1,29576479,30191898,93,0.10271207494436108
14,G2E3,30559158,30620064,9,0.03232234356399773
14,SCFD1,30622291,30737694,17,0.030459085968635172
14,COCH,30874514,30895065,4,0.00872108068940531
14,STRN3,30893799,31026401,23,0.022747269810051245
14,AP4S1,31025106,31130996,16,0.03457377982506082
14,HECTD1,31100117,31207804,14,0.014336732053206354
14,HEATR5A,31291788,31420550,19,0.017105739868536828
14,ENSG00000203546,31334312,31457441,19,0.02435174162828011
14,DTD2,31446036,31457506,1,0.012758138812690856
14,GPR33,31482875,31488039,1,0.011515967082449147
14,NUBPL,31489956,31861224,66,0.057165778168831845
14,ARHGAP5,32076114,32159728,11,0.017830340044511152
14,AKAP6,32329298,32837684,87,0.03395269395993995
14,NPAS3,32934396,33820863,141,0.02072874074840847
14,EGLN3,33924227,34462774,101,0.06441177992857512
14,SPTSSA,34432788,34462240,6,0.021479219502096164
14,EAPP,34515938,34539704,4,0.013042803167537913
14,SNX6,34561093,34630160,13,0.026085606335075825
14,CFL2,34709113,34714823,1,0.02041819781584804
14,BAZ1A,34752731,34875647,20,0.02913927850525335
14,SRP54,34981957,35029686,9,0.015656539516588172
14,FAM177A1,35045117,35116630,12,0.020651105015268362
14,PPP2R3C,35085467,35122517,6,0.018632575953625594
14,PRORP,35121846,35277622,25,0.028673464106412715
14,ENSG00000258790,35122549,35317474,32,0.03271052222969825
14,PSMA6,35278633,35317493,7,0.03271052222969825
14,RALGAPA1,35538352,35809304,27,0.026810206511050157
14,BRMS1L,35826338,35932325,13,0.02008177630557425
14,MBIP,36298564,36320637,2,0.01746803995652399
14,SFTA3,36473207,36521149,5,0.010454945396201025
14,NKX2-1,36516392,36521149,1,0.010454945396201025
14,NKX2-8,36580004,36582614,1,0.017157497023963568
14,PAX9,36657568,36679362,3,0.01847730448734538
14,SLC25A21,36677921,37172606,82,0.05470731328606179
14,MIPOL1,37197894,37579125,47,0.031157807566896126
14,FOXA1,37589552,37596059,1,0.012033538636716527
14,TTC6,37595629,38041442,63,0.0328399151182651
