chr,gene_name,gstart,gend,n_windows,max_h12
5,PLEKHG4B,92168,189972,24,0.018692851673348047
5,LRRC14B,191495,196334,2,0.00662132336381244
5,CCDC127,196868,218153,7,0.01754425476329895
5,ENSG00000286001,218298,314955,29,0.04285842980045943
5,SDHA,218303,257082,12,0.04285842980045943
5,PDCD6,271621,314974,14,0.015720012612044504
5,PDCD6-AHRR,271670,438291,37,0.02918787442007117
5,AHRR,321714,438291,22,0.02918787442007117
5,EXOC3,443175,471937,5,0.043128687896941575
5,SLC9A3,470456,524449,13,0.03137246069996848
5,CEP72,612340,667168,12,0.015765055628124858
5,TPPP,659862,693352,10,0.00790504932210261
5,ZDHHC11B,710355,784729,23,0.007139318048736543
5,ZDHHC11,795605,858973,24,0.0298860411693167
5,BRD9,850291,892801,13,0.0298860411693167
5,TRIP13,892884,919357,4,0.029863519661276518
5,NKD2,1008802,1038943,7,0.024458357731633712
5,SLC12A7,1050384,1112063,17,0.023219674789423904
5,SLC6A19,1201595,1225111,6,0.012184135849736499
5,SLC6A18,1225381,1246189,5,0.008130264402504393
5,TERT,1253147,1295068,13,0.01409846403315166
5,CLPTM1L,1317752,1345099,8,0.016665915949731994
5,SLC6A3,1392794,1445440,12,0.015652448087923966
5,LPCAT1,1456480,1523962,17,0.038286563668303214
5,MRPL36,1798385,1801366,1,0.015945227692446287
5,NDUFS6,1801407,1816048,3,0.016913652538173958
5,IRX4,1877413,1887236,2,0.008332957974865995
5,IRX2,2745845,2751677,2,0.011013017431647221
5,ADAMTS16,5140330,5320304,41,0.025359218053240845
5,ICE1,5420664,5490220,9,0.02292689518490158
5,MED10,6371874,6378571,1,0.012747173550740957
5,UBE2QL1,6448859,6496723,11,0.026868159091932797
5,NSUN2,6599239,6633291,8,0.025224089004999773
5,SRD5A1,6633290,6676539,7,0.028669879735147067
5,TENT4A,6713432,6757044,7,0.016035313724607
5,ADCY2,7396138,7830081,81,0.03549389667132111
5,CFAP90,7830378,7851151,4,0.012792216566821314
5,MTRR,7851186,7906025,9,0.0393675960542318
5,FASTKD3,7859159,7869037,1,0.010720237827124904
5,SEMA5A,9035033,9546075,96,0.03905229494166929
5,TAS2R1,9627347,9712378,14,0.018332507544705192
5,ATPSCKMT,10225507,10249897,5,0.022544029548218547
5,CCT5,10249929,10266389,4,0.015674969595964143
5,CMBL,10275875,10307902,7,0.016215485788928424
5,MARCHF6,10353695,10440388,10,0.026890680599972974
5,ROPN1L,10441524,10472029,7,0.022994459709022114
5,ANKRD33B,10564070,10657816,21,0.028399621638664923
5,DAP,10679230,10761234,17,0.02560695464168281
5,CTNND2,10971836,11904446,168,0.05173190396828971
5,DNAH5,13690328,14011818,67,0.03141750371604883
5,TRIO,14143342,14532128,70,0.028422143146705103
5,OTULINL,14581792,14616180,5,0.020854916445205166
5,OTULIN,14664664,14699850,5,0.06610062609792351
5,ANKH,14704800,14871778,29,0.027251024728615823
5,FBXL7,15500180,15939795,69,0.043624161073825496
5,MARCHF11,16067139,16180762,19,0.03857934327282554
5,ZNF622,16451519,16465800,2,0.023174631773343543
5,RETREG1,16473038,16617101,29,0.03004369172559794
5,MYO10,16661907,16936288,69,0.03128237466780776
5,BASP1,17065598,17276843,45,0.030156299265798835
5,LINC02218,17444010,17487371,7,0.01432367911355344
5,TAF11L5,17525235,17525831,1,0.009188775280392775
5,TAF11L11,17604177,17605910,1,0.00927886131255349
5,TAF11L12,17610392,17612111,1,0.026823116075852443
5,CDH18,19471296,20575873,207,0.051349038331606686
5,CDH12,21750673,22853344,205,0.06749695959641458
5,PRDM9,23443586,23528093,13,0.020899959461285526
5,CDH10,24487100,24644978,34,0.031530111256249715
5,CDH9,26880597,27121150,44,0.030043691725597954
5,CDH6,31193686,31329146,24,0.0229043736768614
5,DROSHA,31400494,31532196,23,0.033714697536147024
5,C5orf22,31532287,31555053,3,0.017656862303499842
5,PDZD2,31639131,32110932,115,0.03981802621503537
5,GOLPH3,32124716,32174319,11,0.025336696545200668
5,MTMR12,32226994,32312987,16,0.03164271879645061
5,ZFR,32354350,32444740,13,0.025088959956758708
5,SUB1,32531633,32604079,13,0.024953830908517632
5,NPR3,32689070,32791724,20,0.026507814963289945
5,TARS1,33440696,33468091,6,0.025854691230124762
5,ADAMTS12,33523535,33892019,76,0.04132696725372731
5,SLC45A2,33944623,33984693,7,0.012927345615062385
5,AMACR,33986165,34008104,4,0.013985856492950767
5,C1QTNF3-AMACR,33987174,34124528,20,0.018715373181388224
5,ENSG00000289791,33997007,34008084,2,0.013557947840187379
5,C1QTNF3,34017858,34043213,3,0.016035313724607002
5,RAI14,34656328,34832612,35,0.025944777262285484
5,TTC23L,34838833,34900511,10,0.015066888878879327
5,RAD1,34905260,34918989,1,0.012589522994459708
5,BRIX1,34915677,34925996,1,0.012589522994459708
5,DNAJC21,34929559,34958964,4,0.01664339444169181
5,AGXT2,34998101,35048135,11,0.014346200621593622
5,PRLR,35048756,35230487,33,0.026124949326606906
5,SPEF2,35617844,35814611,35,0.05173190396828971
5,IL7R,35852695,35879603,4,0.0290527453718301
5,CAPSL,35904288,35938779,7,0.025674519165803343
5,UGT3A1,35951006,36001028,9,0.020967523985406064
5,UGT3A2,36035021,36071358,6,0.024953830908517636
5,LMBRD2,36098407,36151887,6,0.0338498265843881
5,SKP2,36151989,36196849,8,0.0304040358542408
5,NADK2,36192589,36242279,6,0.042565650195937124
5,RANBP3L,36246913,36302114,11,0.03576415476780326
5,SLC1A3,36596588,36688334,15,0.018670330165307867
5,NIPBL,36876769,37066413,22,0.02682311607585244
5,CPLANE1,37106228,37249376,18,0.02801675600198189
5,NUP155,37288137,37371106,17,0.027543804333138154
5,WDR70,37379285,37753435,65,0.03752083239493716
5,GDNF,37812677,37840041,3,0.014256114589432907
5,EGFLAM,38258409,38465480,42,0.02857979370298635
5,LIFR,38474668,38608354,22,0.021080131525606956
5,OSMR,38845858,38945596,17,0.022318814467816764
5,RICTOR,38937920,39074402,21,0.02177829827485248
5,FYB1,39105252,39274528,36,0.023309760821584615
5,C9,39284140,39371324,18,0.0240529705869105
5,DAB2,39371675,39462300,15,0.02119273906580784
5,TTC33,40512333,40755963,41,0.04267825773613801
5,PTGER4,40679915,40693735,1,0.02648529345524976
5,PRKAA1,40759389,40798374,6,0.02189090581505337
5,RPL37,40825262,40835222,2,0.022589072564298904
5,CARD6,40841308,40860175,3,0.023737669474348
5,C7,40909492,41020216,23,0.026913202108013144
5,MROH2B,40998017,41071342,14,0.04339894599342372
5,C6,41142116,41261438,24,0.0332192243592631
5,PLCXD3,41306952,41510601,33,0.05116886626728526
5,OXCT1,41730065,41870425,17,0.03150758974820954
5,RIMOC1,41904188,41921636,2,0.01477410927435701
5,FBXO4,41925254,41941743,2,0.014436286653754333
5,GHR,42423439,42721878,44,0.035989369848205034
5,CCDC152,42756818,42802439,6,0.027205981712535465
5,SELENOP,42799880,42887392,17,0.07164091707580739
5,ANXA2R,43039233,43043170,1,0.03364713301202649
5,ZNF131,43065176,43192021,30,0.04402954821854871
5,NIM1K,43192071,43280850,20,0.019391018422593574
5,HMGCS1,43287470,43313512,4,0.023647583442187287
5,CCL28,43376645,43412391,6,0.025111481464798885
5,TMEM267,43444252,43483893,7,0.0157200126120445
5,C5orf34,43486709,43515148,4,0.014256114589432907
5,PAIP1,43526267,43557758,5,0.012094049817575784
5,NNT,43602692,43707405,15,0.03202558443313364
5,FGF10,44300247,44389706,12,0.037498310886896986
5,MRPS30,44808947,44820428,1,0.030606729426602405
5,HCN1,45254948,45696498,56,0.03337687491554435
5,EMB,50396192,50443248,7,0.019300932390432863
5,PARP8,50665899,50846519,30,0.03481825143011576
5,ISL1,51383448,51394730,2,0.014053421017071303
5,PELO,52787916,52804044,2,0.040200891851718386
5,ITGA1,52787916,52959209,31,0.05008783388135669
5,ITGA2,52989340,53094779,18,0.05375883969190578
5,MOCS2,53095679,53110063,2,0.026260078374847975
5,FST,53480626,53487134,1,0.024886266384397098
5,NDUFS4,53560633,53683338,22,0.04256565019593711
5,ARL15,53883942,54310582,74,0.03346696094770506
5,HSPB3,54455699,54456377,1,0.01198144227737489
5,SNX18,54517759,54546586,5,0.019863970091437318
5,ESM1,54977867,55022671,11,0.024796180352236383
5,GZMK,55024256,55034570,2,0.019931534615557855
5,GZMA,55102646,55110252,1,0.04292599432457996
5,CDC20B,55112971,55173177,9,0.03168776181253097
5,GPX8,55160167,55167297,1,0.01698121706229449
5,MCIDAS,55219564,55227315,1,0.013490383316066844
5,CCNO,55231152,55233608,1,0.0198864915994775
5,DHX29,55256055,55307694,6,0.017724426827620376
5,MTREX,55307989,55425579,16,0.031102202603486326
5,PLPP1,55424854,55534969,19,0.017904598891941806
5,SLC38A9,55625845,55773194,33,0.06873564253862438
5,DDX4,55738017,55817157,16,0.04479527949191478
5,IL31RA,55851357,55922854,12,0.021327868114048916
5,IL6ST,55935095,55995022,9,0.03911985946578982
5,ANKRD55,56099680,56233330,31,0.02830953560650421
5,MAP3K1,56815549,56896152,11,0.03229584252961578
5,SETD9,56909260,56925532,3,0.026417728931129224
5,MIER3,56919602,56971675,8,0.02806179901806225
5,GPBP1,57173948,57264679,16,0.023399846853745326
5,PLK2,58453982,58460139,1,0.020697265888923917
5,RAB3C,58582221,58859394,48,0.02639520742308904
5,PDE4D,58969038,60522120,252,0.043939462186388
5,DEPDC1B,60596912,60700190,12,0.014256114589432907
5,ELOVL7,60751791,60844274,12,0.02833205711454438
5,ERCC8,60866454,60945073,12,0.026260078374847975
5,NDUFAF2,60945177,61154531,28,0.03484077293815594
5,ZSWIM6,61332258,61546172,24,0.02862483671906671
5,KIF2A,62306162,62391025,13,0.02718346020449529
5,ENSG00000288643,62306206,62537249,37,0.02718346020449529
5,DIMT1,62347284,62403943,8,0.024616008287914957
5,IPO11,62403972,62628582,34,0.022769244628620334
5,HTR1A,63957874,63962507,1,0.020787351921084628
5,RNF180,64165843,64372869,26,0.028219449574343497
