chr,gene_name,gstart,gend,n_windows,max_h12
16,POLR3K,46407,53608,1,0.004901498727495522
16,RHBDF1,58059,76355,1,0.00617400320482609
16,MPG,77007,85851,2,0.006833820341219718
16,NPRL3,84271,138677,5,0.009190310114054103
16,HBZ,142728,154503,1,0.007682156659440097
16,HBM,153892,166764,3,0.006315392591196153
16,LUC7L,188969,229463,3,0.006174003204826089
16,FAM234A,234521,272183,6,0.0062211330002827775
16,RGS11,268301,275980,1,0.006079743613912714
16,PDIA2,283164,287215,1,0.007823546045810158
16,AXIN1,287440,352723,11,0.017390894523517768
16,PGAP6,370788,387113,3,0.007964935432180222
16,NME4,396725,410367,2,0.0074936374776133465
16,DECR2,401858,412487,1,0.0074936374776133465
16,RAB11FIP3,425649,523011,11,0.011546799886888488
16,CAPN15,527712,554636,4,0.005184277500235648
16,PRR35,560394,565529,1,0.004995758318408897
16,PIGQ,566995,584109,2,0.005325666886605711
16,RAB40C,589357,629272,6,0.021726835705533038
16,WFIKKN1,629239,634117,1,0.021915354887359788
16,MCRIP2,636817,648474,1,0.01998303327363559
16,WDR90,649311,667833,2,0.023989065887454045
16,RHOT2,668100,674174,1,0.0249316617965878
16,STUB1,680224,682870,1,0.033650673956075024
16,JMJD8,681670,684528,1,0.033650673956075024
16,FBXL16,692498,705801,2,0.04137996041097181
16,METRN,715118,719655,1,0.00721085870487322
16,CCDC78,722582,726954,1,0.006503911773022905
16,HAGHL,726936,735525,1,0.005938354227542651
16,CIAO3,729760,741329,1,0.005938354227542651
16,MSLN,760734,768865,2,0.006503911773022905
16,MSLNL,769428,782054,3,0.010839852955038172
16,RPUSD1,784974,788397,1,0.010132906023187858
16,CHTF18,788046,800737,2,0.00862475256857385
16,GNG13,798041,800734,1,0.00763502686398341
16,LMF1,853634,981318,27,0.053068149684230376
16,SOX8,981444,986979,1,0.005278537091149023
16,SSTR5,1063867,1081454,3,0.006174003204826089
16,C1QTNF8,1088226,1096711,1,0.0052314072956923365
16,CACNA1H,1153103,1224169,10,0.005938354227542651
16,TPSG1,1221651,1225793,1,0.005467056272975774
16,TPSB2,1227272,1232757,1,0.005514186068432461
16,TPSAB1,1239266,1242554,1,0.00513714770477896
16,UBE2I,1291444,1327018,4,0.0074936374776133465
16,BAIAP3,1333638,1349439,2,0.0052314072956923365
16,GNPTG,1351931,1365737,1,0.0052314072956923365
16,UNKL,1363205,1414751,4,0.005514186068432461
16,PERCC1,1431078,1434441,1,0.0058440946366292755
16,CCDC154,1434383,1444556,2,0.005891224432085963
16,CLCN7,1444934,1475077,4,0.006739560750306343
16,PTX4,1485886,1488981,1,0.00886040154585729
16,TELO2,1493344,1510457,2,0.010698463568668111
16,IFT140,1510427,1612072,11,0.021962484682816474
16,TMEM204,1528688,1555580,3,0.01559996229616363
16,CRAMP1,1612337,1677908,5,0.011876708455085302
16,ENSG00000261732,1632259,1686715,5,0.011876708455085302
16,JPT2,1678256,1702280,2,0.009096050523140727
16,MAPK8IP3,1706166,1770351,9,0.008483363182203787
16,EME2,1772810,1781708,1,0.006692430954849654
16,SPSB3,1776712,1793700,1,0.009473088886794231
16,NUBP2,1782932,1789186,1,0.009473088886794231
16,IGFALS,1790413,1794971,1,0.009190310114054103
16,HAGH,1795620,1827157,10,0.027382411160335563
16,FAHD1,1826967,1840207,3,0.05005184277500235
16,MEIOB,1833986,1884294,11,0.047883872183994716
16,HS3ST6,1911475,1918415,1,0.008059195023093598
16,RPL3L,1943974,1957606,3,0.004995758318408897
16,NDUFB10,1959538,1961975,1,0.00513714770477896
16,TBL3,1972053,1982929,1,0.006126873409369402
16,GFER,1984193,1987749,1,0.007305118295786595
16,ZNF598,1997654,2009821,1,0.005514186068432461
16,NPW,2009926,2020755,2,0.0057498350457159
16,NHERF2,2025356,2039026,1,0.005325666886605711
16,TSC2,2047967,2089491,3,0.00513714770477896
16,PKD1,2088708,2135898,4,0.00513714770477896
16,RAB26,2140803,2154165,2,0.005325666886605711
16,TRAF7,2155698,2178129,3,0.005514186068432461
16,CASKIN1,2177180,2196605,1,0.005608445659345838
16,PGP,2211593,2214840,1,0.005796964841172588
16,E4F1,2223580,2235742,1,0.007163728909416532
16,ECI1,2239402,2252300,1,0.006315392591196153
16,RNPS1,2253116,2268397,1,0.0057027052502592115
16,ABCA3,2275881,2340746,6,0.006032613818456027
16,CCNF,2429394,2458854,3,0.007210858704873219
16,TEDC2,2460086,2464963,1,0.00556131586388915
16,TBC1D24,2475051,2509560,1,0.00556131586388915
16,ENSG00000260272,2496032,2520218,1,0.005325666886605711
16,ENSG00000259784,2513965,2527955,1,0.0052314072956923365
16,AMDHD2,2520357,2531422,1,0.0052314072956923365
16,PDPK1,2537979,2603188,3,0.00617400320482609
16,KCTD5,2682523,2709030,3,0.005796964841172588
16,SRRM2,2752626,2772538,1,0.00513714770477896
16,ELOB,2771414,2777289,1,0.00513714770477896
16,PRSS33,2783953,2787948,1,0.0052314072956923365
16,PRSS41,2798470,2805304,1,0.0053256668866057105
16,PRSS21,2817180,2826304,1,0.00513714770477896
16,ZG16B,2830253,2839585,1,0.005184277500235648
16,FLYWCH2,2883213,2899382,3,0.011169761523234987
16,FLYWCH1,2911931,2951208,7,0.007116599113959844
16,GREP1,2988256,3002295,1,0.004995758318408897
16,CLDN6,3014712,3020071,1,0.0052314072956923365
16,TNFRSF12A,3018445,3022383,1,0.0052314072956923365
16,BICDL2,3027682,3036944,1,0.005184277500235648
16,MMP25,3046062,3060726,2,0.004995758318408897
16,IL32,3065297,3082192,3,0.0053727966820624
16,ZSCAN10,3088890,3099295,2,0.009991516636817795
16,ZNF205,3112560,3120517,1,0.013667640682439435
16,ZNF213,3129777,3142804,1,0.009190310114054103
