chr,gene_name,gstart,gend,n_windows,max_h12
16,POLR3K,46407,53608,1,0.008504728316844045
16,SNRNP25,53828,57669,1,0.009191348584625947
16,RHBDF1,58059,76355,2,0.007911738085577854
16,MPG,77007,85851,1,0.007006647732592616
16,NPRL3,84271,138677,8,0.007818108049062139
16,HBZ,142728,154503,2,0.006585312568271903
16,HBM,153892,166764,3,0.006725757623045475
16,LUC7L,188969,229463,6,0.014294185574732374
16,FAM234A,234521,272183,5,0.012015854686183328
16,RGS11,268301,275980,2,0.010034018913267375
16,ARHGDIG,280450,283010,1,0.009441028682001185
16,PDIA2,283164,287215,1,0.00973752379763428
16,AXIN1,287440,352723,13,0.013857245404325706
16,MRPL28,366969,371289,1,0.010564589120189755
16,PGAP6,370788,387113,5,0.01257763490527761
16,NME4,396725,410367,2,0.016073156268530946
16,DECR2,401858,412487,2,0.016073156268530946
16,RAB11FIP3,425649,523011,14,0.009893573858493805
16,CAPN15,527712,554636,5,0.004931181923160951
16,PRR35,560394,565529,1,0.005414937111825474
16,PIGQ,566995,584109,3,0.008192628195124995
16,RAB40C,589357,629272,6,0.013389095221747135
16,WFIKKN1,629239,634117,1,0.009550263724602853
16,MCRIP2,636817,648474,1,0.016478886426765704
16,WDR90,649311,667833,3,0.01852314222402547
16,RHOT2,668100,674174,1,0.016432071408507852
16,FBXL16,692498,705801,1,0.013794825379981895
16,ANTKMT,720581,722590,1,0.006429262507412378
16,HAGHL,726936,735525,1,0.006522892543928093
16,CIAO3,729760,741329,1,0.006179582410037141
16,MSLN,760734,768865,1,0.008426703286414282
16,MSLNL,769428,782054,3,0.015277300958147373
16,CHTF18,788046,800737,3,0.012249929777472614
16,GNG13,798041,800734,1,0.008926063481164755
16,LMF1,853634,981318,32,0.06393370993414688
16,SOX8,981444,986979,1,0.0065541025560999985
16,SSTR5,1063867,1081454,4,0.011126369339284042
16,C1QTNF8,1088226,1096711,2,0.01043974907150214
16,CACNA1H,1153103,1224169,13,0.008738803408133329
16,TPSG1,1221651,1225793,1,0.007193907805624044
16,TPSB2,1227272,1232757,2,0.009690708779376424
16,UBE2I,1291444,1327018,7,0.008379888268156424
16,BAIAP3,1333638,1349439,3,0.0068349926656471405
16,GNPTG,1351931,1365737,2,0.007006647732592616
16,UNKL,1363205,1414751,6,0.008364283262070473
16,PERCC1,1431078,1434441,1,0.006850597671733093
16,CCDC154,1434383,1444556,2,0.006132767391779284
16,CLCN7,1444934,1475077,6,0.006850597671733093
16,PTX4,1485886,1488981,1,0.007006647732592616
16,TELO2,1493344,1510457,2,0.007084672763022378
16,IFT140,1510427,1612072,14,0.01757123685278237
16,TMEM204,1528688,1555580,3,0.01755563184669642
16,CRAMP1,1612337,1677908,7,0.024905589713179986
16,ENSG00000261732,1632259,1686715,6,0.024905589713179986
16,JPT2,1678256,1702280,2,0.012390374832246183
16,MAPK8IP3,1706166,1770351,11,0.013233045160887611
16,EME2,1772810,1781708,2,0.007724478012546426
16,SPSB3,1776712,1793700,2,0.008535938329015946
16,NUBP2,1782932,1789186,1,0.008535938329015946
16,IGFALS,1790413,1794971,1,0.009316188633313566
16,HAGH,1795620,1827157,10,0.03444024843169689
16,FAHD1,1826967,1840207,4,0.08755968914827876
16,MEIOB,1833986,1884294,12,0.08755968914827876
16,HS3ST6,1911475,1918415,1,0.007974158109921664
16,MSRB1,1938229,1943199,1,0.004416216722324522
16,RPL3L,1943974,1957606,4,0.005134047002278332
16,NDUFB10,1959538,1961975,1,0.005539777160513093
16,TBL3,1972053,1982929,2,0.02371960925064761
16,NOXO1,1978917,1984192,1,0.01632283636590618
16,ZNF598,1997654,2009821,2,0.01911613245529166
16,NPW,2009926,2020755,2,0.0066321275865297595
16,NHERF2,2025356,2039026,2,0.0052744920570519035
16,TSC2,2047967,2089491,5,0.007115882775194283
16,PKD1,2088708,2135898,6,0.006710152616959521
16,RAB26,2140803,2154165,2,0.011095159327112136
16,TRAF7,2155698,2178129,3,0.009597078742860709
16,CASKIN1,2177180,2196605,2,0.007646452982116664
16,BRICD5,2209253,2210905,1,0.01039293405324428
16,E4F1,2223580,2235742,1,0.008333073249898567
16,ECI1,2239402,2252300,2,0.01037732904715833
16,RNPS1,2253116,2268397,1,0.007459192909085236
16,ABCA3,2275881,2340746,7,0.007630847976030712
16,CCNF,2429394,2458854,4,0.009238163602883804
16,NTN3,2471297,2474145,1,0.005602197184856903
16,TBC1D24,2475051,2509560,2,0.005555382166599045
16,ENSG00000260272,2496032,2520218,2,0.005227677038794046
16,ATP6V0C,2513952,2520218,1,0.004977996941418807
16,ENSG00000259784,2513965,2527955,2,0.00532130707530976
16,AMDHD2,2520357,2531422,1,0.00532130707530976
16,PDPK1,2537979,2603188,4,0.005805062263974284
16,KCTD5,2682523,2709030,3,0.008691988389875473
16,SRRM2,2752626,2772538,2,0.005336912081395713
16,ELOB,2771414,2777289,1,0.0050716269779345225
16,PRSS33,2783953,2787948,1,0.005321307075309761
16,PRSS21,2817180,2826304,1,0.005040416965762618
16,ZG16B,2830253,2839585,1,0.005134047002278332
16,FLYWCH2,2883213,2899382,4,0.015870291189413563
16,FLYWCH1,2911931,2951208,9,0.009253768608969756
16,KREMEN2,2964216,2968380,1,0.0073031428482257105
16,PKMYT1,2968024,2980479,1,0.007381167878655472
16,GREP1,2988256,3002295,1,0.0067413626291314265
16,ENSG00000289281,3004132,3004859,1,0.006772572641303331
16,CLDN6,3014712,3020071,1,0.005508567148341189
16,THOC6,3024027,3027755,1,0.00532130707530976
16,BICDL2,3027682,3036944,2,0.005539777160513093
16,MMP25,3046062,3060726,2,0.004853156892731189
16,IL32,3065297,3082192,3,0.005539777160513093
16,ZSCAN10,3088890,3099295,1,0.007365562872569519
16,ZNF213,3129777,3142804,2,0.005024811959676666
16,OR1F1,3188204,3224779,6,0.006678942604787618
16,ZNF200,3222325,3236221,2,0.005711432227458571
16,MEFV,3242027,3256633,2,0.005430542117911427
16,ENSG00000290183,3263800,3291029,3,0.006491682531756188
16,ZNF263,3283283,3301401,1,0.004931181923160951
16,ZNF75A,3305406,3318852,2,0.005508567148341189
16,ENSG00000285329,3365099,3479550,16,0.02768328079647951
16,ZSCAN32,3382081,3401065,2,0.010845479229736898
16,ZNF174,3401215,3409364,1,0.009160138572454042
16,ZNF597,3432414,3443504,2,0.007662057988202615
16,NAA60,3443649,3486953,7,0.02768328079647951
16,CLUAP1,3500976,3539048,5,0.009846758840235947
16,NLRC3,3539033,3577403,4,0.01098592428451047
16,SLX4,3581181,3611606,4,0.02164414344121594
16,DNASE1,3611728,3680143,8,0.013779220373895947
16,TRAP1,3651639,3717553,8,0.013389095221747136
16,CREBBP,3725054,3880713,9,0.006694547610873569
16,ADCY9,3953387,4116442,26,0.014434630629505944
16,SRL,4189374,4242080,8,0.007584032957772854
16,TFAP4,4257186,4273075,2,0.008145813176867139
16,GLIS2,4314761,4339597,3,0.005773852251802379
16,PAM16,4331549,4355607,3,0.008801223432477138
16,CORO7-PAM16,4340251,4420494,9,0.010783059205393089
16,CORO7,4354542,4425705,8,0.010783059205393089
16,VASN,4371848,4383538,1,0.008770013420305233
16,DNAJA3,4425805,4456775,3,0.011329234418401423
16,NMRAL1,4461691,4495763,5,0.009846758840235946
16,HMOX2,4474690,4510347,5,0.010143253955869042
16,CDIP1,4510669,4538828,3,0.008801223432477138
16,C16orf96,4556340,4600758,6,0.0098623638463219
16,MGRN1,4616493,4690974,13,0.011079554321026183
16,ANKS3,4696510,4734378,6,0.009456633688087137
16,DNAAF8,4734344,4749396,2,0.008130208170781186
16,ZNF500,4748239,4767624,3,0.0067257576230454735
16,SEPTIN12,4777606,4788398,2,0.005586592178770951
16,SMIM22,4788397,4796491,1,0.006616522580443807
16,GLYR1,4803203,4847288,6,0.011235604381885707
16,UBN1,4846665,4882401,5,0.010923504260166663
16,PPL,4882507,4960741,12,0.01104834430885428
16,SEC14L5,4958330,5019157,10,0.00979994382197809
16,NAGPA,5024844,5034141,1,0.008036578134265471
16,ALG1,5033702,5087379,7,0.006117162385693331
16,C16orf89,5044122,5066110,3,0.006117162385693331
16,EEF2KMT,5084284,5097795,3,0.0074904029212571385
16,RBFOX1,5239802,7713340,539,0.0513092600106114
16,TMEM114,8537605,8590511,14,0.019084922443119753
16,METTL22,8621683,8649654,3,0.011937829655753565
16,ABAT,8674596,8784575,23,0.024250179457569986
16,TMEM186,8780384,8797642,3,0.014122530507786897
16,PMM2,8788823,8862534,16,0.018991292406604035
16,CARHSP1,8852942,8869012,4,0.008645173371617614
16,USP7,8892097,8975328,11,0.012842920008738802
16,HAPSTR1,9091644,9121635,4,0.014044505477357137
16,GRIN2A,9753404,10182928,59,0.03252083268312475
16,ATF7IP2,10326434,10483638,23,0.018804032333572612
16,EMP2,10528422,10580632,8,0.008676383383789519
16,TEKT5,10627501,10694930,15,0.028744421210324278
16,NUBP1,10743786,10769351,3,0.008426703286414282
16,TVP23A,10760919,10818794,8,0.006647732592615712
16,CIITA,10866222,10943021,7,0.007630847976030712
16,CLEC16A,10944539,11182186,28,0.017852126962329514
16,RMI2,11249619,11381662,23,0.018523142224025468
16,ENSG00000188897,11359845,11527247,35,0.03258325270746855
16,LITAF,11547722,11636381,14,0.013404700227833088
16,SNN,11668455,11679152,1,0.005633407197028808
16,TXNDC11,11679083,11742857,7,0.011641334540120469
16,ZC3H7A,11750586,11797258,6,0.01125120938797166
16,RSL1D1,11833850,11851580,2,0.008723198402047376
16,GSPT1,11868128,11916082,7,0.006959832714334759
16,NPIPB2,11927259,11976643,9,0.009753128803720233
16,TNFRSF17,11965210,11968068,1,0.008598358353359759
16,SNX29,11976734,12574287,106,0.04732998345869355
16,CPPED1,12659799,12803887,20,0.027168315595643082
16,SHISA9,12901598,13240416,55,0.02303298898286571
16,ERCC4,13920138,13952348,3,0.012702474953965233
16,MRTFB,14071319,14266773,17,0.02011485284479261
16,PARN,14435700,14632728,17,0.01933460254049499
16,BFAR,14632931,14669236,3,0.006085952373521427
16,PLA2G10,14672548,14694308,2,0.00421335164320714
16,NOMO1,14833721,14896157,5,0.0043537966979807115
16,NPIPA1,14922802,14952060,5,0.0029337411441590464
16,PDXDC1,14974591,15139339,21,0.01485596579382666
16,NTAN1,15037854,15056079,3,0.007771293030804283
16,RRN3,15060033,15094311,3,0.01485596579382666
16,NPIPA5,15363628,15381047,3,0.004416216722324522
16,MPV17L,15395754,15413271,3,0.008832433444649044
16,ENSG00000261130,15395754,15515348,13,0.008910458475078806
16,BMERB1,15434475,15625028,18,0.008504728316844044
16,MARF1,15594387,15643154,4,0.00934739864548547
16,NDE1,15643267,15734691,11,0.01459068069036547
16,MYH11,15703135,15858438,22,0.01459068069036547
16,CEP20,15865719,15888625,6,0.01716550669454761
16,ABCC1,15949138,16143257,30,0.011360444430573328
16,ABCC6,16149565,16223522,11,0.010049623919353328
16,NOMO3,16232506,16300806,2,0.0032926562841359506
16,ENSG00000183889,16317444,16350590,1,0.003074186198932618
16,XYLT1,17101769,17470960,48,0.014309790580818325
16,NPIPA8,18317919,18336736,1,0.0029649511563309507
16,NPIPA9,18358086,18379331,1,0.00308979120501857
16,NOMO2,18417325,18562211,4,0.004509846758840237
16,ENSG00000260342,18788063,18801519,2,0.013498330264348803
16,ARL6IP1,18791669,18801572,1,0.013498330264348803
16,SMG1,18804860,18926408,17,0.0200524328204488
16,TMC7,18983934,19063942,10,0.01295215505134047
16,COQ7,19067614,19080095,2,0.011329234418401423
16,ITPRIPL2,19113932,19121629,1,0.008098998158609282
16,SYT17,19167971,19268332,13,0.007724478012546426
16,CLEC19A,19285731,19322145,5,0.009316188633313568
16,TMC5,19410496,19499113,15,0.02465590961580475
16,GDE1,19501693,19522123,2,0.016556911457195466
16,CCP110,19523811,19553408,3,0.023313879092412844
16,VPS35L,19555240,19706793,22,0.024671514621890704
16,KNOP1,19701937,19718235,2,0.008520333322929995
16,IQCK,19716456,19858467,12,0.010611404138447612
16,GPRC5B,19856691,19886167,3,0.01039293405324428
16,GPR139,20028239,20073890,7,0.014606285696451423
16,GP2,20309574,20327808,2,0.005508567148341188
16,UMOD,20333051,20356301,4,0.006023532349177618
16,PDILT,20359175,20404737,6,0.008582753347273805
16,ACSM5,20409534,20441336,7,0.010892294247994757
16,ACSM2A,20451461,20487669,5,0.011204394369713802
16,ACSM2B,20536226,20576427,6,0.011251209387971662
16,ACSM3,20610243,20797581,19,0.014325395586904278
16,ACSM1,20623235,20698890,8,0.01072063918104928
16,THUMPD1,20702816,20742084,4,0.010408539059330235
16,ERI2,20780193,20900349,8,0.010736244187135232
16,REXO5,20806429,20849665,3,0.010736244187135232
16,DCUN1D3,20854925,20900358,3,0.00934739864548547
16,LYRM1,20899868,20925006,2,0.008379888268156423
16,DNAH3,20933111,21159441,27,0.014231765550388562
