chr,gene_name,gstart,gend,n_windows,max_h12
9,WASHC1,14475,73865,3,0.005434154237484104
9,FOXD4,116231,118417,1,0.005434154237484104
9,ZNG1A,120837,179147,9,0.010521447566192624
9,DOCK8,214854,465259,36,0.018614868770956177
9,KANK1,470291,746105,39,0.060006937218175516
9,DMRT1,841690,969090,22,0.016013411955139324
9,DMRT3,976655,991732,1,0.009827725748641462
9,DMRT2,1049858,1057552,1,0.0057810151462596845
9,SMARCA2,1980290,2193624,24,0.009076193779627702
9,VLDLR,2621182,2660056,4,0.006532547115273442
9,KCNV2,2717510,2730037,1,0.007284079084287201
9,PUM3,2720469,2844095,13,0.00803561105330096
9,RFX3,3218297,3526004,27,0.012891663776159093
9,GLIS3,3824127,4348392,66,0.03416579951439473
9,SLC1A1,4490468,4587469,9,0.00786218059891317
9,SPATA6L,4553386,4666674,19,0.01445253786564921
9,CDC37L1,4679559,4708399,3,0.008613712567926929
9,AK3,4709556,4742043,7,0.009076193779627704
9,RCL1,4792944,4885917,11,0.008729332870852122
9,JAK2,4984390,5129948,14,0.03347207769684357
9,INSL6,5123880,5185647,5,0.020406983466296685
9,INSL4,5231419,5235304,1,0.007977800901838365
9,RLN2,5299864,5304716,1,0.011041738929355994
9,RLN1,5334930,5339876,1,0.01133078968666898
9,PLGRKT,5357971,5437925,9,0.01890391952826917
9,CD274,5450503,5470566,2,0.008151231356226155
9,PDCD1LG2,5510531,5571282,5,0.007977800901838365
9,RIC1,5629025,5776557,11,0.01901953983119436
9,ERMP1,5749832,5879537,10,0.014163487108336223
9,BRD10,5881596,6008482,12,0.012082321655682737
9,MLANA,5890889,5910606,2,0.010232396808879638
9,RANBP6,6011025,6015625,1,0.010290206960342236
9,IL33,6215786,6257983,3,0.006937218175511621
9,UHRF2,6413151,6507054,9,0.012313562261533125
9,GLDC,6532467,6645729,13,0.013007284079084289
9,KDM4C,6720863,7175648,61,0.014683778471499596
9,DMAC1,7796500,7888380,9,0.009943346051566656
9,PTPRD,8314246,10613002,313,0.09486645855012141
9,TYRP1,12685439,12710285,2,0.010521447566192624
9,LURAP1L,12775020,12823060,4,0.006301306509423056
9,MPDZ,13105706,13279692,11,0.006705977569661233
9,NFIB,14081843,14398983,32,0.007630939993062783
9,ZDHHC21,14611071,14693432,9,0.01167765059544456
9,CER1,14719724,14722733,1,0.0064169268123482484
9,FREM1,14737152,14910995,21,0.01190889120129495
9,TTC39B,15163622,15307360,16,0.03439704012024511
9,SNAPC3,15422734,15465953,4,0.01294947392762169
9,PSIP1,15464066,15510995,4,0.013758816048098046
9,CCDC171,15553043,16061663,52,0.030119088912012953
9,BNC2,16409503,16870843,50,0.02347092149381431
9,CNTLN,17134982,17503923,43,0.031506532547115274
9,SH3GL2,17579066,17797124,28,0.02289281997918835
9,ADAMTSL1,17906563,18910950,111,0.0365360157243612
9,SAXO1,18858906,19049358,26,0.040987397386981164
9,HAUS6,19053141,19102904,6,0.015377500289050761
9,PLIN2,19108375,19149290,3,0.0061856862064978615
9,DENND4C,19230435,19374281,16,0.015261879986125564
9,ACER2,19409009,19452505,5,0.007341889235749798
9,SLC24A2,19507452,19789037,27,0.012949473927621689
9,MLLT3,20341669,20622499,25,0.011388599838131574
9,FOCAD,20658309,20995955,32,0.025089605734767022
9,HACD4,20999509,21031640,3,0.015839981500751533
9,KLHL9,21329665,21335404,1,0.0091340039310903
9,IFNA1,21440439,21441316,1,0.009538674991328476
9,MTAP,21802636,21937651,13,0.0329517863336802
9,CDKN2A,21967752,21995301,2,0.008324661810613945
9,CDKN2B,22002903,22009305,1,0.007573129841600186
9,DMRTA1,22446824,22455740,1,0.01237137241299573
9,ELAVL2,23690104,23826337,13,0.012891663776159095
9,CAAP1,26840685,26892803,5,0.015088449531737772
9,PLAA,26903372,26947242,4,0.013874436351023242
9,IFT74,26947039,27066134,11,0.014336917562724014
9,LRRC19,26993136,27005672,1,0.011966701352757543
9,TEK,27109141,27230174,16,0.017689906347554636
9,EQTN,27284654,27297150,1,0.009827725748641462
9,MOB3B,27325209,27529814,21,0.010868308474968204
9,IFNK,27524290,27526498,1,0.010868308474968204
9,C9orf72,27535640,27573866,4,0.01312290438200948
9,LINGO2,27937617,29213601,162,0.09440397733842064
9,ACO1,32384603,32454769,5,0.013585385593710255
9,RIGI,32455302,32526348,6,0.011272979535206383
9,ENSG00000288684,32455323,32552603,8,0.011272979535206383
9,TOPORS,32540544,32552586,1,0.009538674991328478
9,SMIM27,32551144,32568621,1,0.007052838478436814
9,NDUFB6,32553001,32573184,2,0.007284079084287201
9,APTX,32886601,33025130,15,0.036015724361197834
9,DNAJA1,33025273,33039907,2,0.00948086483986588
9,SMU1,33041765,33076674,3,0.0109261186264308
9,B4GALT1,33104082,33167356,7,0.008498092265001735
9,SPINK4,33218365,33248567,3,0.010752688172043012
9,BAG1,33247820,33264720,1,0.011446409989594172
9,CHMP5,33264879,33282070,1,0.011619840443981963
9,NFX1,33290512,33371157,5,0.012486992715920915
9,AQP7,33383179,33402682,2,0.007399699387212395
9,NOL6,33461353,33473930,1,0.008844953173777316
9,ANKRD18B,33524251,33608848,10,0.00861371256792693
9,PRSS3,33750679,33799231,5,0.021158515435310443
9,UBE2R2,33817160,33920399,12,0.015782171349288936
9,UBAP2,33921693,34049388,18,0.014336917562724014
9,DCAF12,34086387,34127399,5,0.015435310440513356
9,UBAP1,34179005,34252523,9,0.010116776505954446
9,KIF24,34252380,34329268,7,0.011215169383743784
9,NUDT2,34329506,34343711,2,0.00820904150768875
9,MYORG,34366666,34376898,1,0.006995028326974218
9,SPMIP6,34379019,34397828,2,0.008266851659151347
9,FAM219A,34398184,34458570,6,0.01185108104983235
9,DNAI1,34457414,34520988,5,0.01763209619609203
9,CNTFR,34551432,34590140,3,0.011272979535206385
9,ARID3C,34621049,34629066,1,0.01589779165221413
9,SIGMAR1,34634722,34637844,1,0.01370100589663545
9,GALT,34638133,34651035,1,0.012486992715920915
9,CCL27,34661880,34664048,1,0.010810498323505606
9,SPATA31F1,34723053,34729488,1,0.008902763325239912
9,SPATA31F3,34889066,34895764,1,0.01219794195860793
9,PHF24,34957608,34982544,2,0.008266851659151348
9,DNAJB5,34989641,34998900,1,0.007862180598913169
9,SPATA31G1,35041095,35045986,1,0.010174586657417044
9,VCP,35053928,35072668,2,0.010579257717655218
9,ENSG00000288699,35065339,35074175,1,0.008555902416464332
9,ATOSB,35104112,35116341,1,0.009769915597178866
9,UNC13B,35161992,35405338,17,0.00965429529425367
9,RUSC2,35490111,35561898,4,0.008151231356226155
9,CD72,35609982,35646810,3,0.007688750144525379
9,ARHGEF39,35658875,35675866,1,0.00820904150768875
9,CA9,35673928,35681159,1,0.008093421204763557
9,TPM2,35681992,35690056,1,0.008266851659151347
9,TLN1,35696948,35732195,2,0.009134003931090299
9,RGP1,35749287,35758585,1,0.009769915597178866
9,MSMP,35752990,35756613,1,0.009769915597178866
9,NPR2,35791003,35809732,1,0.007919990750375767
9,ENSG00000285645,35812960,35828732,1,0.007746560295987977
9,TMEM8B,35814451,35865518,4,0.008151231356226155
9,SPAAR,35909490,35937153,2,0.007919990750375767
9,RECK,36036913,36124455,7,0.010290206960342236
9,GLIPR2,36136536,36163913,2,0.006995028326974217
9,CLTA,36190856,36304781,11,0.010926118626430802
9,GNE,36214441,36277042,6,0.008902763325239912
9,RNF38,36336396,36487548,11,0.010116776505954446
9,MELK,36572862,36677683,9,0.01167765059544456
9,PAX5,36833269,37034268,21,0.0219678575557868
9,ZCCHC7,37120574,37358149,19,0.019424210891432536
9,GRHPR,37422666,37436990,1,0.008729332870852122
9,ZBTB5,37438102,37465450,1,0.008729332870852122
9,POLR1E,37485948,37503697,3,0.01202451150422014
9,FBXO10,37510892,37576380,6,0.013585385593710255
9,ENSG00000256966,37512547,37592469,7,0.013585385593710255
9,ENSG00000255872,37588413,38068687,46,0.022199098161637183
9,FRMPD1,37650954,37746904,11,0.011908891201294947
9,TRMT10B,37753803,37778972,3,0.017053994681466067
9,EXOSC3,37759234,37832117,7,0.021852237252861603
9,DCAF10,37800554,37867666,6,0.021852237252861603
9,SLC25A51,37879400,37904353,2,0.007052838478436814
9,SHB,37915898,38069227,14,0.022199098161637183
9,ALDH1B1,38392702,38398661,1,0.007688750144525379
9,IGFBPL1,38406528,38424454,2,0.010001156203029252
9,ANKRD18A,38540567,38620596,7,0.006127876055035265
9,FAM240B,38694266,38720133,2,0.006821597872586426
9,CNTNAP3,39064710,39288315,13,0.0064169268123482484
9,ZNG1F,41131306,41199261,5,0.005549774540409297
9,CNTNAP3B,41890314,42129510,16,0.005549774540409297
9,CNTNAP3C,61330717,61453030,4,0.005434154237484104
9,ZNG1E,65668805,65734041,8,0.007052838478436815
9,ZNF658,66856426,66932141,7,0.007052838478436815
9,ANKRD20A1,67832765,67920552,5,0.005434154237484104
9,ZNG1C,68232003,68300035,4,0.005549774540409297
9,PGM5,68328308,68531061,20,0.015724361197826338
9,PIP5K1B,68705240,69009176,26,0.019539831194357732
9,PRKACG,69012504,69014113,1,0.008440282113539139
9,ENSG00000285130,69035747,69255187,24,0.02069603422360967
9,FXN,69035751,69079076,4,0.018730489073881376
9,TJP2,69121264,69274615,18,0.020522603769221878
9,ENTREP1,69324567,69392558,7,0.01572436119782634
9,APBA1,69427532,69672371,19,0.012429182564458317
9,PTAR1,69709522,69760011,4,0.011966701352757542
9,CFAP95,69820817,69906227,8,0.009538674991328476
9,MAMDC2,70043848,70226972,18,0.018730489073881376
9,SMC5,70258978,70354873,8,0.017632096196092042
9,KLF9,70384604,70414657,2,0.007226268932824604
9,TRPM3,70529060,71446977,90,0.029136316337148804
9,CEMIP2,71683366,71816690,16,0.015088449531737776
9,ABHD17B,71862452,71911193,2,0.008151231356226155
9,C9orf85,71911510,71986054,4,0.007052838478436815
