gene_name,gstart,gend,midpoint,n_seg,max_h12_500kb,max_h2h1_500kb,n_windows
FAM110C,38814,46870,42842,2686,0.026308856185780428,0.9397993311036789,46
SH3YL1,217730,266398,242064,4038,0.06919718468892316,0.945288753799392,73
ACP1,264140,278283,271211,4247,0.06919718468892316,0.962121212121212,77
ALKAL2,279558,288851,284204,4335,0.06919718468892316,0.962121212121212,79
TMEM18,663877,677406,670641,6334,0.06270465580187436,0.9624624624624624,119
SNTG2,950849,1367613,1159231,7483,0.06842560879220144,0.9689922480620153,142
TPO,1374066,1543711,1458888,7375,0.06842560879220144,0.9808510638297873,140
PXDN,1631887,1744852,1688369,6548,0.03379878806127442,0.9806866952789701,123
MYT1L,1789113,2331664,2060388,5704,0.04601226993865031,0.9820717131474104,107
EIPR1,3188925,3377830,3283377,6596,0.026892242839399307,0.9735973597359735,124
TRAPPC12,3379675,3485094,3432384,6584,0.02947043546990854,0.9737704918032789,124
ADI1,3497366,3519531,3508448,6534,0.028473032481463354,0.9735099337748343,123
ENSG00000286905,3532008,3558333,3545170,6454,0.02591365877526441,0.9735099337748343,122
RNASEH1,3541430,3558333,3549881,6415,0.026892242839399307,0.9732441471571907,121
RPS7,3575260,3580920,3578090,6396,0.028397756784222208,0.9726962457337883,120
COLEC11,3594832,3644644,3619738,6338,0.028473032481463354,0.9727891156462586,119
ALLC,3658200,3702671,3680435,6281,0.02683578606646844,0.9725085910652922,118
DCDC2C,3703575,3848008,3775791,6240,0.027023975309571305,0.9719298245614034,117
SOX11,5692384,5701385,5696884,5144,0.02947043546990854,0.9735099337748343,95
CMPK2,6840570,6866635,6853602,5106,0.03744965937746998,0.9735099337748343,95
RSAD2,6865557,6898239,6881898,5026,0.02519853965147352,0.9735973597359735,93
RNF144A,6917412,7068286,6992849,4936,0.025273815348714666,0.9735973597359735,91
ID2,8678845,8684461,8681653,3964,0.010519778689450112,0.9741100323624596,72
KIDINS220,8721081,8837630,8779355,4092,0.010519778689450112,0.9741100323624596,74
MBOAT2,8852690,9003709,8928199,4030,0.03242500658662351,0.9717314487632508,73
ASAP2,9206765,9405683,9306224,4337,0.03114531973352403,0.9725085910652922,79
ITGB1BP1,9403475,9423528,9413501,4671,0.04484549663141255,0.9717314487632508,86
CPSF3,9423651,9473101,9448376,4825,0.05338928826828259,0.9726027397260276,89
IAH1,9473658,9496543,9485100,4958,0.04584289961985773,0.971326164874552,92
ADAM17,9488486,9556732,9522609,5402,0.04501486695020513,0.9717314487632508,101
YWHAQ,9583967,9630997,9607482,5444,0.045466521133652,0.9711191335740071,101
TAF1B,9843443,9934416,9888929,5763,0.05321991794949001,0.9738562091503269,108
GRHL1,9951693,10002277,9976985,5920,0.05235424743121684,0.9732441471571905,111
KLF11,10042849,10054836,10048842,6072,0.04411155858331138,0.9732441471571905,114
CYS1,10056473,10080944,10068708,6108,0.04407392073469081,0.9732441471571905,115
RRM2,10120698,10211725,10166211,6433,0.04787534344536866,0.9737704918032788,121
HPCAL1,10302889,10427617,10365253,6602,0.04930558169295044,0.9740259740259741,125
ODC1,10439968,10448327,10444147,6588,0.04956904663329445,0.9740259740259741,124
NOL10,10562347,10689987,10626167,6270,0.050171252211223615,0.9741935483870968,118
ATP6V1C2,10721100,10785110,10753105,6112,0.050171252211223615,0.9741935483870968,115
PDIA6,10783391,10837977,10810684,5973,0.05352102073845458,0.973941368078176,112
KCNF1,10911934,10914225,10913079,5760,0.059354887274643386,0.973941368078176,108
C2orf50,11133128,11151317,11142222,5289,0.04956904663329445,0.973941368078176,98
SLC66A3,11155198,11178870,11167034,5307,0.045334788663479994,0.9741935483870968,99
ROCK2,11179759,11348330,11264044,5378,0.05352102073845458,0.9740259740259741,100
E2F6,11444375,11466177,11455276,4905,0.012081749407203888,0.9718309859154932,91
GREB1,11482341,11642788,11562564,5015,0.02207459821596598,0.9712230215827338,93
NTSR2,11658178,11670195,11664186,5060,0.020305619330799055,0.9729729729729729,94
LPIN1,11677595,11827409,11752502,5265,0.031201776506454892,0.9729729729729729,98
TRIB2,12716910,12742734,12729822,4883,0.10145282095675412,0.9719298245614035,90
LRATD1,14632700,14650814,14641757,5009,0.03886107870074147,0.9751552795031055,93
NBAS,15166916,15561340,15364128,5853,0.15574541759193045,0.9641833810888252,110
DDX1,15591178,15634346,15612762,5896,0.17802702397530956,0.9693486590038315,110
MYCN,15940550,15947007,15943778,5673,0.10905566637810983,0.9738562091503269,106
CYRIA,16549459,16666331,16607895,4574,0.03473973427678875,0.97444089456869,84
RAD51AP2,17510579,17518440,17514509,4473,0.0786066468440664,0.9442724458204333,82
VSNL1,17539126,17657018,17598072,4684,0.08126011517181678,0.9449541284403671,86
SMC6,17663812,17800242,17732027,4917,0.06082276337084572,0.9479768786127167,91
GEN1,17753858,17788946,17771402,4957,0.059298430501712525,0.9501385041551247,92
MSGN1,17816460,17817798,17817129,4962,0.06981820919116263,0.9516129032258063,92
KCNS3,17877847,18361616,18119731,5398,0.044487937069517106,0.9713261648745519,100
RDH14,18554723,18560679,18557701,5181,0.04742368926192178,0.9728813559322035,96
NT5C1B-RDH14,18555545,18589564,18572554,5160,0.046877940456923485,0.9728813559322036,96
NT5C1B,18562871,18589572,18576221,5167,0.04742368926192178,0.9732441471571905,96
OSR1,19351485,19358623,19355054,5029,0.06607324325341563,0.975232198142415,93
TTC32,19896631,19901983,19899307,5274,0.06328804245549324,0.9743589743589746,98
WDR35,19910263,19990105,19950184,5388,0.06693891377168881,0.9737704918032786,100
MATN3,19992052,20012668,20002360,5435,0.061537882494636605,0.9740259740259741,101
LAPTM4A,20032650,20051628,20042139,5424,0.06607324325341563,0.9743589743589746,101
SDC1,20200797,20225433,20213115,5271,0.020060973314765335,0.974921630094044,98
PUM2,20248691,20352234,20300462,5030,0.02011743008769619,0.9741935483870968,93
RHOB,20447074,20449440,20448257,4855,0.020286800406488767,0.9729729729729729,90
HS1BP3,20560448,20651130,20605789,4796,0.01900711355338929,0.973063973063973,88
GDF7,20667144,20679243,20673193,4763,0.03065602770145659,0.9727891156462586,88
LDAH,20684014,20823130,20753572,4805,0.04031013587263352,0.9730639730639731,89
APOB,21001429,21044073,21022751,4591,0.04281305280590161,0.973063973063973,84
TDRD15,21123968,21144368,21134168,4510,0.0393691896571192,0.9729729729729729,83
KLHL29,23385179,23708611,23546895,4607,0.02602657232112613,0.9580536912751678,85
ATAD2B,23748664,23927123,23837893,4262,0.027701456584741616,0.9459459459459458,78
UBXN2A,23927285,24004909,23966097,4120,0.02947043546990854,0.9702602230483272,75
MFSD2B,24010081,24063321,24036701,4090,0.027720275509051904,0.9705882352941175,74
WDCP,24029347,24049575,24039461,4087,0.027532086265949038,0.9702602230483272,74
FKBP1B,24049701,24063681,24056691,4075,0.026101848018367277,0.9708029197080292,74
SF3B6,24067586,24076373,24071979,4073,0.025988934472505557,0.9810924369747899,74
FAM228B,24076526,24169640,24123083,4047,0.025988934472505557,0.9810924369747899,73
TP53I3,24077433,24085861,24081647,4073,0.026064210169746704,0.9708029197080292,74
PFN4,24114809,24123464,24119136,4046,0.027720275509051904,0.9705882352941175,73
ENSG00000276087,24124366,24190436,24157401,4003,0.028585946027325084,0.9701492537313432,73
FAM228A,24175053,24200849,24187951,3967,0.02947043546990854,0.9702602230483272,72
ITSN2,24202864,24360536,24281700,3947,0.028585946027325084,0.9701492537313432,71
NCOA1,24491254,24770702,24630978,4186,0.025236177500094093,0.9705882352941175,76
PTRHD1,24789728,24793391,24791559,4250,0.02160412510820882,0.9810924369747899,78
CENPO,24793136,24822376,24807756,4267,0.02388121494975347,0.9702602230483272,78
ADCY3,24819169,24920237,24869703,4348,0.02160412510820882,0.9810924369747899,79
DNAJC27,24943636,24972094,24957865,4272,0.02160412510820882,0.9709090909090908,78
EFR3B,25042076,25159135,25100605,4132,0.02388121494975347,0.9710144927536233,75
POMC,25160853,25168903,25164878,4158,0.02474688546802665,0.9712230215827338,76
DNMT3A,25227855,25342590,25285222,4244,0.021039557378900224,0.9709090909090908,77
DTNB,25377198,25673647,25525422,3874,0.01262749821220219,0.9710144927536233,70
ASXL2,25733753,25878487,25806120,3805,0.01652301554443148,0.9703703703703702,69
KIF3C,25926598,25982749,25954673,3870,0.015864353193571455,0.9728813559322036,70
RAB10,26034084,26137454,26085769,4074,0.014810493432195418,0.9728813559322036,74
GAREM2,26173088,26189663,26181375,4138,0.01674884263615492,0.9731543624161074,75
HADHA,26190635,26244672,26217653,4112,0.015977266739433175,0.9728813559322036,75
HADHB,26243170,26290465,26266817,4080,0.014942225902367424,0.9738562091503269,74
ADGRF3,26308173,26346817,26327495,4125,0.016711204787534344,0.9731543624161074,75
SELENOI,26308547,26395885,26352216,4180,0.019327035266664162,0.9703703703703702,76
DRC1,26401920,26456711,26429315,4068,0.021905227897173397,0.9738562091503269,74
OTOF,26457203,26558756,26507979,4069,0.019835146223041895,0.9728813559322036,74
CIMIP2C,26562585,26579532,26571058,3995,0.02100191953027965,0.9576271186440677,72
CIB4,26581205,26641366,26611285,3942,0.025349091045955813,0.9567474048442905,71
KCNK3,26692722,26733420,26713071,3915,0.02102073845458994,0.9555160142348753,71
SLC35F6,26764284,26781231,26772757,3870,0.02192404682148369,0.9627976190476191,70
CENPA,26764289,26801067,26782678,3880,0.025311453197335236,0.9600638977635783,70
DPYSL5,26847747,26950351,26899049,3766,0.022620347020964285,0.9629080118694361,68
MAPRE3,26970637,27027219,26998928,3606,0.02102073845458994,0.959807073954984,65
TMEM214,27032910,27041694,27037302,3560,0.021754676502691108,0.9604430379746834,64
AGBL5,27042364,27070622,27056493,3566,0.025424366743196956,0.9599358974358974,64
OST4,27070472,27071654,27071063,3571,0.021754676502691108,0.9601910828025477,64
EMILIN1,27078615,27086403,27082509,3552,0.02100191953027965,0.9601910828025477,64
KHK,27086772,27100762,27093767,3541,0.02100191953027965,0.962121212121212,63
