chr,gene_name,gstart,gend,n_windows,max_h12
4,ZNF595,53286,88208,6,0.00617400320482609
4,ZNF718,124501,202303,8,0.016966726364407575
4,ZNF732,270675,305474,6,0.015741351682533693
4,ZNF141,337814,384868,7,0.0502874917522858
4,ZNF721,425815,499156,10,0.028089358092185872
4,PIGG,499210,540200,6,0.008813271750400602
4,PDE6B,625573,670782,7,0.02125553775096616
4,ATP5ME,672436,674330,1,0.005561315863889149
4,SLC49A3,681829,689271,1,0.005184277500235648
4,PCGF3,705748,770089,14,0.012206617023282115
4,CPLX1,784957,826129,7,0.009001790932227353
4,GAK,849276,932373,15,0.010981242341408237
4,TMEM175,932387,958656,4,0.010698463568668111
4,DGKQ,958887,986895,4,0.009567348477707606
4,SLC26A1,979073,993440,1,0.008389103591290411
4,IDUA,986997,1004564,3,0.008483363182203787
4,FGFRL1,1009936,1026898,3,0.00763502686398341
4,RNF212,1056250,1113564,11,0.018239230841738143
4,SPON2,1166932,1208962,6,0.010462814591384671
4,CTBP1,1211445,1250333,6,0.00886040154585729
4,MAEA,1289887,1340147,9,0.014421717409746439
4,UVSSA,1345691,1395989,8,0.008153454614006973
4,FAM53A,1617915,1684313,10,0.010745593364124797
4,SLBP,1692731,1712344,2,0.01050994438684136
4,TACC3,1712858,1745171,6,0.03190687152417758
4,FGFR3,1793293,1808872,3,0.007022339523046469
4,LETM1,1811479,1856156,4,0.009331699500424166
4,NSD2,1871393,1982207,9,0.00862475256857385
4,NELFA,1982717,2041903,7,0.009425959091337543
4,NAT8L,2059327,2069089,1,0.006739560750306343
4,POLN,2071918,2242121,17,0.03440475068338202
4,ENSG00000290263,2078998,2242276,16,0.03440475068338202
4,HAUS3,2227464,2242133,1,0.010227165614101232
4,MXD4,2247432,2262109,1,0.013196342727872557
4,ZFYVE28,2269582,2418651,23,0.021396927137336225
4,CFAP99,2418955,2463002,6,0.010274295409557922
4,RNF4,2462220,2515857,5,0.009425959091337541
4,ENSG00000290180,2512477,2625320,13,0.01173531906871524
4,FAM193A,2536647,2732573,20,0.012677914977848995
4,TNIP2,2741648,2756342,2,0.010462814591384671
4,SH3BP2,2793023,2841291,7,0.012489395796022243
4,ADD1,2843844,2930076,10,0.0114996700914318
4,NOP14,2937933,2963406,3,0.009378829295880853
4,GRK4,2963571,3040760,10,0.02271656141012348
4,HTT,3041363,3243957,20,0.016118390046187203
4,MSANTD1,3244369,3271738,4,0.014515977000659815
4,RGS12,3293021,3439913,14,0.011452540295975113
4,HGFAC,3441968,3449486,2,0.008907531341313977
4,DOK7,3463306,3501473,10,0.016636817796210762
4,LRPAP1,3503612,3532446,5,0.017815062682627954
4,OTOP1,4188726,4226929,7,0.027523800546705623
4,TMEM128,4235542,4248223,3,0.018899047978131776
4,LYAR,4267701,4290154,3,0.016118390046187196
4,ZBTB49,4290251,4321786,4,0.02436610425110755
4,NSG1,4348140,4419058,11,0.016118390046187196
4,STX18,4415742,4542346,11,0.01894617777358846
4,MSX1,4859665,4863936,1,0.011358280705061738
4,STK32B,5051480,5500994,76,0.14841172589310964
4,EVC2,5542772,5709548,19,0.01559996229616363
4,EVC,5711201,5814305,20,0.023423508341973792
