chr,gene_name,gstart,gend,n_windows,max_h12
4,ZNF595,53286,88208,6,0.005244449624147778
4,ZNF718,124501,202303,9,0.015325447235009615
4,ZNF732,270675,305474,6,0.012994580735388377
4,ZNF141,337814,384868,8,0.03499213332556378
4,ZNF721,425815,499156,12,0.026105704795757828
4,PIGG,499210,540200,8,0.051395606316648204
4,TMEM271,573880,576295,1,0.0078375386049764
4,PDE6B,625573,670782,9,0.01899656197191306
4,MYL5,673580,682028,2,0.006905192005127906
4,PCGF3,705748,770089,15,0.009002971854787017
4,CPLX1,784957,826129,8,0.011625196666860906
4,GAK,849276,932373,17,0.009469145154711263
4,TMEM175,932387,958656,4,0.006001981236524678
4,DGKQ,958887,986895,4,0.008361983567391177
4,SLC26A1,979073,993440,2,0.006351611211467864
4,IDUA,986997,1004564,4,0.006351611211467864
4,FGFRL1,1009936,1026898,3,0.006730377017656313
4,RNF212,1056250,1113564,11,0.022580269215080703
4,SPON2,1166932,1208962,7,0.008507662723617504
4,CTBP1,1211445,1250333,7,0.011362974185653515
4,MAEA,1289887,1340147,11,0.035778800769185944
4,UVSSA,1345691,1395989,11,0.018122487034555095
4,FAM53A,1617915,1684313,13,0.013693840685274752
4,SLBP,1692731,1712344,2,0.00929433016723967
4,TACC3,1712858,1745171,6,0.024037060777343976
4,TMEM129,1715952,1721358,1,0.018239030359536158
4,FGFR3,1793293,1808872,2,0.006264203717732068
4,LETM1,1811479,1856156,5,0.009032107686032282
4,NSD2,1871393,1982207,12,0.007167414486335294
4,NELFA,1982717,2041903,8,0.006905192005127906
4,NAT8L,2059327,2069089,1,0.004982227142940389
4,POLN,2071918,2242121,21,0.03732299982518501
4,ENSG00000290263,2078998,2242276,20,0.03732299982518501
4,HAUS3,2227464,2242133,1,0.00655556203018472
4,MXD4,2247432,2262109,2,0.011945690810558823
4,ZFYVE28,2269582,2418651,26,0.017685449565876116
4,CFAP99,2418955,2463002,6,0.008944700192296486
4,RNF4,2462220,2515857,7,0.007283957811316357
4,ENSG00000290180,2512477,2625320,15,0.01584989219742439
4,FAM193A,2536647,2732573,26,0.018705203659460403
4,TNIP2,2741648,2756342,2,0.009906182623390245
4,SH3BP2,2793023,2841291,7,0.008624206048598565
4,ADD1,2843844,2930076,12,0.015704213041198067
4,MFSD10,2930561,2934834,1,0.007487908630033214
4,NOP14,2937933,2963406,3,0.007342229473806887
4,GRK4,2963571,3040760,10,0.01191655497931356
4,HTT,3041363,3243957,23,0.016286929666103372
4,MSANTD1,3244369,3271738,5,0.011392110016898781
4,RGS12,3293021,3439913,18,0.011042480041955596
4,HGFAC,3441968,3449486,1,0.007604451955014276
4,DOK7,3463306,3501473,11,0.017073597109725537
4,LRPAP1,3503612,3532446,6,0.021210885146553227
4,OTOP1,4188726,4226929,8,0.018064215372064568
4,TMEM128,4235542,4248223,3,0.019695821921799427
4,LYAR,4267701,4290154,4,0.01043062758580502
4,ZBTB49,4290251,4321786,5,0.02126915680904376
4,NSG1,4348140,4419058,11,0.009643960142182856
4,STX18,4415742,4542346,14,0.012470135772973602
4,MSX1,4859665,4863936,1,0.007779266942485869
4,CYTL1,5014586,5019458,1,0.005914573742788882
4,STK32B,5051480,5500994,85,0.16744362216654038
4,EVC2,5542772,5709548,25,0.014305693141425324
4,EVC,5711201,5814305,21,0.009090379348522814
4,CRMP1,5748084,5893086,27,0.009090379348522814
4,C4orf50,5897373,6200555,54,0.022842491696288093
4,JAKMIP1,6026199,6200591,29,0.012703222422935725
4,ENSG00000284684,6064977,6070162,1,0.005419264611619371
4,WFS1,6269849,6303265,7,0.021443971796515356
4,PPP2R2C,6320578,6563600,39,0.01401433482897267
4,MAN2B2,6575189,6623362,7,0.0063224753802225975
4,MRFAP1L2,6663396,6676755,3,0.007983217761202727
4,S100P,6693878,6697170,1,0.006439018705203659
4,MRFAP1L1,6707701,6709865,1,0.005681487092826758
4,BLOC1S4,6716174,6717664,1,0.00617679622399627
4,KIAA0232,6781375,6884170,13,0.008070625254938523
4,TBC1D14,6909242,7033118,19,0.02590175397704097
4,TADA2B,7041899,7057952,2,0.009061243517277547
4,GRPEL1,7058671,7068085,1,0.0067012411864110465
4,SORCS2,7192538,7742827,109,0.019346191946856245
4,PSAPL1,7430285,7434930,1,0.005768894586562555
4,AFAP1,7758714,7939926,38,0.02068644018413845
4,ABLIM2,7965310,8158832,34,0.008478526892372239
4,SH3TC1,8182072,8241803,9,0.008128896917429053
4,HTRA3,8269754,8307098,5,0.009061243517277547
4,ACOX3,8366282,8440723,13,0.02549385233960725
4,TRMT44,8436140,8493531,10,0.029660276207680202
4,GPR78,8558725,8619761,15,0.00949828098595653
4,CPZ,8592660,8619759,8,0.00949828098595653
4,HMX1,8846076,8871839,4,0.007633587786259541
4,DEFB131A,9444414,9450666,1,0.005623215430336228
4,SLC2A9,9771153,10054936,47,0.025872618145795702
4,DRD5,9781634,9784009,1,0.007691859448750072
4,WDR1,10068089,10116972,7,0.02004545189674261
4,ZNF518B,10439880,10457426,2,0.008740749373579628
4,CLNK,10486395,10684768,29,0.025027679039683004
4,HS3ST1,11393150,11429564,4,0.006817784511392111
4,RAB28,13361354,13484365,10,0.016520016316065495
4,NKX3-2,13540830,13544508,1,0.005186177961657247
4,BOD1L1,13568738,13627725,6,0.012411864110483072
4,CPEB2,15002481,15070153,6,0.018880018646931996
4,C1QTNF7,15339818,15446167,11,0.011566925004370376
4,CC2D2A,15469865,15601552,12,0.01357729736029369
4,FBXL5,15604381,15681679,9,0.016869646291008678
4,FAM200B,15681662,15690447,1,0.011566925004370374
4,BST1,15703065,15738313,6,0.016257793834858106
4,CD38,15778275,15853232,9,0.008769885204824895
4,FGFBP2,15960245,15969309,1,0.006730377017656313
4,PROM1,15963076,16084378,18,0.00917778684225861
4,TAPT1,16160505,16227410,8,0.024182739933570306
4,LDB2,16501541,16898678,52,0.01590816385991492
4,QDPR,17460261,17512206,9,0.013111124060369444
4,CLRN2,17515165,17527104,1,0.010080997610861836
4,LAP3,17577198,17607972,4,0.024124468271079773
4,MED28,17614641,17634105,4,0.015441990559990675
4,FAM184B,17629306,17781621,22,0.040790163743371605
4,DCAF16,17800655,17810758,1,0.010430627585805022
4,NCAPG,17810979,17844865,3,0.01261581492919993
4,LCORL,17841187,18021876,19,0.020919526834100578
4,SLIT2,20251905,20620561,49,0.04081929957461687
4,PACRGL,20696282,20752907,11,0.030242992832585514
4,KCNIP4,20728606,21948772,197,0.07246081230697511
4,ADGRA3,22345071,22516066,26,0.04734572577355631
4,GBA3,22692914,22819575,18,0.02922323873900123
4,PPARGC1A,23755041,23904089,21,0.009381737660975468
4,DHX15,24517441,24584554,9,0.01165433249810617
4,SOD3,24789912,24800842,1,0.0068177845113921096
4,CCDC149,24803514,24980204,24,0.011683468329351434
4,LGI2,24998847,25030946,6,0.007575316123769011
4,SEPSECS,25120014,25160550,4,0.02179360177145854
4,PI4K2B,25160663,25279204,19,0.021822737602703805
4,ZCCHC4,25312774,25370383,7,0.014684458947613777
4,ANAPC4,25377263,25418498,5,0.016549152147310765
4,SLC34A2,25648011,25678748,3,0.005943709574034148
4,SEL1L3,25747433,25863760,12,0.008099761086183788
4,SMIM20,25861830,25929813,7,0.00801235359244799
4,RBPJ,26163455,26435131,29,0.008187168579919584
4,CCKAR,26481396,26490484,1,0.00617679622399627
4,TBC1D19,26576437,26756223,16,0.014830138103840103
4,STIM2,26857601,27025381,14,0.012207913291766213
4,PCDH7,30720369,31146805,51,0.01631606549734864
4,ARAP2,35948221,36244514,31,0.02703805139560632
4,DTHD1,36281616,36347511,8,0.0179476720470835
4,NWD2,37244743,37449463,25,0.02834916380164326
4,C4orf19,37453925,37623495,31,0.01611211467863178
4,RELL1,37590800,37686376,16,0.011013344210710332
4,PGM2,37826660,37862937,7,0.015587669716217
4,TBC1D1,37891084,38139175,31,0.023600023308664994
4,KLF3,38664197,38701517,5,0.009177786842258609
4,TLR10,38772238,38782990,2,0.019346191946856245
4,TLR1,38790677,38856817,13,0.04073189208088107
4,TLR6,38822897,38856817,8,0.04073189208088107
4,FAM114A1,38867677,38945739,14,0.011013344210710332
4,TMEM156,38966744,39032922,10,0.011421245848144048
4,KLHL5,39045039,39126857,9,0.01477186644134957
4,WDR19,39182504,39285810,10,0.007517044461278478
4,RFC1,39287456,39366375,6,0.01063457840452188
4,KLB,39406930,39451533,6,0.013897791503991607
4,LIAS,39459004,39485109,5,0.015238039741273818
4,UGDH,39498755,39528311,5,0.00999359011712604
4,SMIM14,39546336,39638902,12,0.011275566691917718
4,UBE2K,39698109,39782792,13,0.007837538604976399
4,PDS5A,39822863,39977956,21,0.011392110016898781
4,N4BP2,40056797,40158252,12,0.009818775129654447
4,RHOH,40191011,40246967,9,0.007400501136297418
4,CHRNA9,40335333,40355217,4,0.010226676767088164
