gene_id,gene_name,chr,start,end,min_rank,min_pop,max_rank,rank_range,is_sd
ENSG00000177994.16,C2orf73,2,54330034,54383742,5.2999788000848e-05,KHV,0.5957480648923762,0.5956950651043753,False
ENSG00000105989.10,WNT2,7,117275451,117323152,0.0001058369053288,CEU,0.6430157555250079,0.642909918619679,False
ENSG00000250361.10,GYPB,4,143996104,144019380,0.0001058929422354,PEL,0.8361713379164464,0.836065444974211,False
ENSG00000138448.13,ITGAV,2,186590010,186680901,0.0001583364120969,YRI,0.1970138190289617,0.1968554826168648,False
ENSG00000164659.15,ELAPOR2,7,86876906,87059654,0.0001584032947885,PUR,0.2797036252976978,0.2795452220029092,False
ENSG00000214558.5,ZC3H11C,6,65301476,65306574,0.00015888147442,TSI,0.533097176694512,0.5329382952200918,False
ENSG00000136531.19,SCN2A,2,165194993,165392310,0.0002111820917586,MSL,0.2171695707607309,0.2169583886689723,False
ENSG00000134765.10,DSC1,18,31129236,31162856,0.0002112936453436,CLM,0.7796106720415849,0.7793993783962412,False
ENSG00000184349.14,EFNA5,5,107376894,107670937,0.0002116962159301,MXL,0.9641966795735428,0.9639849833576126,False
ENSG00000285713.1,ENSG00000285713,4,144210701,145098174,0.0002117858844708,PEL,0.8119942884340791,0.8117825025496083,False
ENSG00000164327.14,RICTOR,5,38937920,39074402,0.0002118083134763,CHS,0.8054468535166579,0.8052350452031816,False
ENSG00000034239.11,CLXN,8,48710789,48735311,0.0002118868524208,GIH,0.5078794288736118,0.507667542021191,False
ENSG00000170634.13,ACYP2,2,53970838,54305300,0.0002119991520033,KHV,0.6166896405471318,0.6164776413951284,False
ENSG00000168938.6,PPIC,5,123023250,123036725,0.0002122241086587,FIN,0.4644753610875106,0.4642631369788519,False
ENSG00000173163.11,COMMD1,2,61888724,62147247,0.0002639776146982,MSL,0.3233321007870688,0.3230681231723705,False
ENSG00000134760.6,DSG1,18,31318160,31359246,0.0002641170566795,CLM,0.6731236144832682,0.6728594974265887,False
ENSG00000054219.11,LY75,2,159803355,159904756,0.0002644383329807,BEB,0.3631659538518401,0.3629015155188594,False
ENSG00000288635.1,ENSG00000288635,7,116954391,117119719,0.0002645922633222,CEU,0.5132705932113778,0.5130060009480556,False
ENSG00000164161.10,HHIP,4,144646156,144745271,0.0002647323555885,PEL,0.7331958326722725,0.732931100316684,False
ENSG00000104738.19,MCM4,8,47960185,47978160,0.000264858565526,GIH,0.681294279369779,0.681029420804253,False
ENSG00000068878.15,PSME4,2,53864069,53970993,0.0002649989400042,KHV,0.6756771025817011,0.6754121036416969,False
ENSG00000112996.11,MRPS30,5,44808947,44820428,0.0002650832361361,GBR,0.7171299973523961,0.71686491411626,False
ENSG00000064692.20,SNCAIP,5,122311354,122464219,0.0002652801358234,FIN,0.6415745856353591,0.6413093054995357,False
ENSG00000163541.12,SUCLG1,2,84423528,84460045,0.0002655055225148,JPT,0.4842478063220213,0.4839823007995065,False
ENSG00000170734.12,POLH,6,43576185,43620523,0.0003165391717225,ACB,0.923393696214561,0.9230771570428384,False
ENSG00000013016.16,EHD3,2,31234152,31269451,0.0003166728241938,YRI,0.4581082512445715,0.4577915784203777,False
ENSG00000249242.8,TMEM150C,4,82483170,82562357,0.0003166895386889,ESN,0.7745300503044744,0.7742133607657855,False
ENSG00000166123.14,GPT2,16,46884362,46931289,0.0003172253357301,STU,0.208986746924336,0.2086695215886058,False
ENSG00000196151.11,WDSUB1,2,159235798,159286703,0.0003173259995768,BEB,0.4645935797768258,0.4642762537772489,False
ENSG00000077063.11,CTTNBP2,7,117710651,117874139,0.0003175107159866,CEU,0.6783535776799449,0.6780360669639582,False
ENSG00000113594.10,LIFR,5,38474668,38608354,0.0003177124702144,CHS,0.8447399088886535,0.844422196418439,False
ENSG00000169139.12,UBE2V2,8,48008415,48064708,0.0003178302786312,GIH,0.6517923231468753,0.6514744928682441,False
ENSG00000155100.11,OTUD6B,8,91070196,91087095,0.0003180998833633,GBR,0.2763485917360632,0.2760304918526998,False
ENSG00000119866.22,BCL11A,2,60450520,60554467,0.000318251737124,CHB,0.3204897180411278,0.3201714663040038,False
ENSG00000064652.11,SNX24,5,122843439,123029354,0.0003183361629881,FIN,0.4519435004248088,0.4516251642618207,False
ENSG00000008277.15,ADAM22,7,87934143,88202889,0.0003187420314492,CDX,0.7230149047896887,0.7226961627582394,False
ENSG00000124571.18,XPO5,6,43522334,43576038,0.0003692957003429,ACB,0.9381236471147246,0.9377543514143816,False
ENSG00000158125.10,XDH,2,31334321,31414742,0.0003694516282261,YRI,0.503654273911662,0.5032848222834359,False
ENSG00000115232.14,ITGA4,2,181457202,181538940,0.0003694711284703,LWK,0.4072642558373484,0.406894784708878,False
ENSG00000197826.13,CFAP299,4,80335730,80963750,0.0003694711284703,ESN,0.5178712845150731,0.5175018133866027,False
ENSG00000082438.18,COBLL1,2,164653624,164843679,0.0003695686605775,MSL,0.2786867828304292,0.2783172141698516,False
ENSG00000196376.11,SLC35F1,6,117907264,118317676,0.0003696076878399,ASW,0.5128503437334744,0.5124807360456345,False
ENSG00000069345.12,DNAJA2,16,46955362,46973674,0.0003700962250185,STU,0.1918791910871746,0.1915090948621561,False
ENSG00000176623.12,RMDN1,8,86468257,86514357,0.0003701745108408,ITU,0.6915107305211967,0.6911405560103558,False
ENSG00000153246.13,PLA2R1,2,159932006,160062615,0.000370213666173,BEB,0.3893965150871228,0.3890263014209497,False
ENSG00000164209.17,SLC25A46,5,110738136,110765161,0.0003704683778777,MXL,0.4384558198810535,0.4380853515031758,False
ENSG00000164318.18,EGFLAM,5,38258409,38465480,0.0003706645485835,CHS,0.9277824978759558,0.9274118333273724,False
ENSG00000066382.17,MPPED2,11,30384493,30586872,0.0003707234403135,TSI,0.6674423524434102,0.6670716290030967,False
ENSG00000253729.9,PRKDC,8,47773111,47960178,0.0003708019917364,GIH,0.7668922491276303,0.7665214471358939,False
ENSG00000155099.8,PIP4P2,8,90993802,91040872,0.0003711165305906,GBR,0.2705139765554553,0.2701428600248647,False
