chr,gene_name,gstart,gend,n_windows,max_h12
18,TUBB8B,47221,73545,6,0.014449240007506095
18,USP14,158383,214629,7,0.011610996434603114
18,THOC1,214520,268050,6,0.015927003190091948
18,COLEC12,316737,500722,30,0.02582567085757178
18,CLUL1,596988,650334,8,0.00595796584725089
18,TYMS,657653,673578,3,0.008936948770876335
18,ENOSF1,670318,712662,8,0.01909363858134734
18,YES1,721588,812546,12,0.017944267217113903
18,ADCYAP1,904871,912172,1,0.006309814224057045
18,METTL4,2537525,2571509,5,0.022729405141677612
18,NDC80,2571557,2616635,5,0.011540626759241883
18,SMCHD1,2655726,2805017,22,0.017709701632576468
18,EMILIN2,2847006,2916003,10,0.007083880653030586
18,LPIN2,2885296,3013144,16,0.012760367798836554
18,MYOM1,3066807,3219968,27,0.019726965659598424
18,MYL12A,3247481,3256236,2,0.015504785137924564
18,MYL12B,3261479,3278461,3,0.0445909176205667
18,TGIF1,3411608,3459978,7,0.0075530118221054585
18,DLGAP1,3496032,4455307,145,0.019703509101144677
18,AKAIN1,5142911,5197503,8,0.013464064552448866
18,ZBTB14,5289019,5297053,1,0.01010977669356352
18,EPB41L3,5392381,5630700,31,0.014191217864514917
18,TMEM200C,5882072,5895955,2,0.00825670857571777
18,L3MBTL4,5954706,6415237,57,0.014073935072246198
18,ARHGAP28,6729716,6915716,21,0.01864796397072621
18,LAMA1,6941742,7117797,26,0.019633139425783444
18,PTPRM,7566782,8406861,105,0.023667667479827355
18,RAB12,8609437,8639383,3,0.0096171889660349
18,MTCL1,8705556,8832778,18,0.010414711953462188
18,NDUFV2,9102630,9134345,3,0.011681366109964345
18,ANKRD12,9136228,9285985,19,0.015340589228748357
18,TWSG1,9334767,9402420,8,0.018741790204541187
18,RALBP1,9475009,9538114,7,0.016677613060611746
18,PPP4R1,9546791,9615240,9,0.01421467442296866
18,RAB31,9708275,9862551,24,0.010578907862638393
18,TXNDC2,9885766,9889275,1,0.007201163445299303
18,VAPA,9914016,9960021,5,0.01018014636892475
18,APCDD1,10454635,10489949,5,0.014003565396884968
18,NAPG,10525905,10552764,3,0.019938074685682115
18,PIEZO2,10666483,11149569,69,0.016771439294426718
18,SLC35G4,11609596,11610612,1,0.005676487145805967
18,GNAL,11689264,11885685,27,0.02247138299868643
18,MPPE1,11882622,11908366,5,0.006966597860761866
18,IMPA2,11981025,12030877,9,0.03225276787389753
18,ANKRD62,12093843,12129764,4,0.02043066241321073
18,CIDEA,12254361,12277595,3,0.009007318446237568
18,TUBB6,12307669,12344320,6,0.018436854944642523
18,AFG3L2,12328944,12377227,6,0.011282604616250703
18,PRELID3A,12407896,12432238,4,0.009617188966034902
18,SPIRE1,12446512,12658107,29,0.021368924751360478
18,PSMG2,12658043,12728945,10,0.021533120660536684
18,CEP76,12661833,12702777,5,0.020759054231563143
18,PTPN2,12785478,12929643,18,0.012713454681929064
18,SEH1L,12947133,12987536,8,0.02434790767498592
18,CEP192,12991362,13125052,15,0.03255770313379621
18,LDLRAD4,13217498,13652755,57,0.02779602176768625
18,FAM210A,13663347,13726663,9,0.015176393319572152
18,RNMT,13726660,13764556,4,0.022096078063426533
18,MC5R,13824149,13827323,1,0.013581347344717585
18,MC2R,13882044,13915707,6,0.017334396697316568
18,ZNF519,14057457,14132490,7,0.015457872021017074
18,POTEC,14507339,14543600,5,0.010320885719647212
18,ANKRD30B,14728272,14854667,16,0.013417151435541376
18,ROCK1,20944612,21111813,12,0.009898667667479827
18,GREB1L,21242232,21526112,22,0.009382623381497465
18,ESCO1,21529284,21600884,6,0.007857947082004126
18,SNRPD1,21612314,21633524,2,0.009570275849127414
18,ABHD3,21650901,21704780,4,0.011493713642334393
18,MIB1,21704957,21870953,14,0.010719647213360856
18,GATA6,22169589,22202528,3,0.0061221617564270955
18,RBBP8,22798261,23026488,25,0.019914618127228372
18,CABLES1,23134564,23260470,14,0.008749296303246386
18,TMEM241,23197144,23437961,27,0.011141865265528243
18,RIOK3,23453287,23486603,4,0.007740664289735409
18,RMC1,23503496,23531822,3,0.008162882341902794
18,NPC1,23506184,23586506,8,0.00959373240758116
18,ANKRD29,23598926,23662911,6,0.006872771626946893
18,LAMA3,23689453,23956222,26,0.01792081065866016
18,TTC39C,23992773,24135610,21,0.01139988740851942
18,CABYR,24138987,24161600,3,0.009148057796960029
18,OSBPL1A,24162045,24397880,28,0.009757928316757362
18,IMPACT,24426634,24453531,3,0.013651717020078814
18,HRH4,24460637,24479961,2,0.009851754550572338
18,ZNF521,25061924,25352190,33,0.01529367611184087
18,SS18,26016253,26091217,9,0.030000938262338142
18,PSMA8,26133852,26193355,5,0.023292362544567458
18,TAF4B,26226445,26391685,19,0.0203602927378495
18,KCTD1,26454910,26657401,26,0.009194970913867517
18,AQP4,26852043,26865771,1,0.0071777068868455595
18,CHST9,26906481,27185308,35,0.034528054043910676
18,CDH2,27932879,28177946,25,0.018202289360105085
18,DSC3,30989365,31042815,6,0.008678926627885155
18,DSC2,31058545,31102600,3,0.00992212422593357
18,DSC1,31129236,31162856,5,0.010907299680990806
