chr,gene_name,gstart,gend,n_windows,max_h12
19,PLPP2,281040,291403,2,0.0077533968158380075
19,MIER2,305573,344815,5,0.007903948210320299
19,SPMAP2,361747,376026,4,0.004798825699123037
19,SHC2,416589,461033,9,0.015826715344950882
19,CIMAP1D,463346,474983,3,0.010162219127554668
19,MADCAM1,489176,505343,3,0.009465918928074074
19,TPGS1,507497,519654,2,0.005043471715156761
19,CDC34,531760,542092,2,0.005250479882569912
19,GZMM,544034,549924,1,0.005382212352741918
19,BSG,571277,583494,3,0.0072264669351499895
19,HCN2,589881,617159,8,0.0062855207196356655
19,POLRMT,617221,633537,3,0.00547630697429335
19,FGF22,639879,644373,1,0.005815047611878506
19,RNF126,647526,663233,3,0.0050622906394670476
19,FSTL3,676392,683392,1,0.005815047611878506
19,PRSS57,685546,695498,2,0.008110956377733451
19,PALM,708935,748329,7,0.007565207572735143
19,MISP,751112,764318,1,0.005833866536188791
19,PTBP1,797075,812327,2,0.008336783469456887
19,PLPPR3,812488,821955,1,0.0052128420339493395
19,AZU1,825097,832018,1,0.004761187850502464
19,PRTN3,840999,848175,2,0.0057585908389476475
19,ELANE,851014,856247,1,0.005495125898603636
19,CFD,859453,867884,2,0.005438669125672777
19,MED16,867630,893218,6,0.005758590838947647
19,R3HDM4,896503,913245,3,0.005231660958259627
19,KISS1R,917287,921005,1,0.005702134066016788
19,ARID3A,925781,975939,9,0.007922767134630587
19,WDR18,984332,998438,3,0.011103165343068992
19,GRIN3B,1000419,1009732,3,0.013003876698407921
19,TMEM259,1009648,1021179,2,0.011423087056343862
19,CNN2,1026586,1039068,3,0.014471752794610264
19,ABCA7,1039997,1065572,5,0.007245285859460274
19,ARHGAP45,1065923,1086628,3,0.0068689073732545475
19,POLR2E,1086574,1095380,2,0.00675599382739283
19,GPX4,1103982,1106791,1,0.006492528887048817
19,SBNO2,1107637,1174268,8,0.007640483269976291
19,STK11,1177558,1228431,8,0.007828672513079154
19,CBARP,1228287,1238027,1,0.0050622906394670476
19,MIDN,1248553,1259143,2,0.005043471715156762
19,CIRBP,1259384,1274880,1,0.005156385261018481
19,FAM174C,1275530,1279244,1,0.00494937709360533
19,EFNA2,1285873,1301431,2,0.005325755579811058
19,PWWP3A,1354711,1378431,3,0.006812450600323687
19,NDUFS7,1383527,1395589,1,0.006360796416876813
19,DAZAP1,1407569,1435687,3,0.0056644962173962145
19,APC2,1446302,1473244,4,0.006153788249463662
19,C19orf25,1461143,1479219,2,0.006548985659979677
19,PCSK4,1481428,1490752,1,0.0056080394444653564
19,ADAMTSL5,1505022,1513604,1,0.005137566336708194
19,PLK5,1508023,1536046,6,0.005683315141706501
19,MEX3D,1554672,1568325,1,0.005833866536188793
19,MBD3,1573596,1592865,2,0.006567804584289964
19,ENSG00000267059,1578339,1605445,2,0.006755993827392828
19,UQCR11,1597169,1605473,1,0.006755993827392828
19,TCF3,1609291,1652615,5,0.006925364146185406
19,ONECUT3,1753506,1780988,5,0.0052692988068801985
19,ATP8B3,1782075,1812276,4,0.00653016673566939
19,REXO1,1815248,1848483,5,0.009672927095487224
19,KLF16,1852399,1863579,2,0.008280326696526029
19,ABHD17A,1876810,1885496,1,0.006398434265497386
19,SCAMP4,1905214,1926013,3,0.005626858368775642
19,ADAT3,1905399,1913447,2,0.005626858368775642
19,CSNK1G2,1941172,1981338,8,0.007885129286010014
19,BTBD2,1985438,2034881,11,0.008148594226354023
19,MKNK2,2037465,2051244,2,0.007414656178252853
19,MOB3A,2071036,2096673,2,0.005344574504121345
19,IZUMO4,2096429,2099593,1,0.005081109563777336
19,AP3D1,2100988,2164468,10,0.019214121720802443
19,DOT1L,2163933,2232578,9,0.015826715344950885
19,PLEKHJ1,2230084,2237704,1,0.006229063946704808
19,SF3A2,2236824,2248655,2,0.006680718130151682
19,JSRP1,2252252,2269759,2,0.0066242613572208234
19,OAZ1,2269509,2273490,1,0.006530166735669391
19,ENSG00000273734,2269525,2341172,12,0.007452294026873425
19,PEAK3,2274631,2282175,2,0.006793631676013401
19,LINGO3,2287164,2308154,3,0.006492528887048817
19,LSM7,2321520,2328611,1,0.005927961157740224
19,SPPL2B,2328615,2355095,6,0.007452294026873425
19,TMPRSS9,2360238,2426261,14,0.01217584402875532
19,TIMM13,2425625,2427586,1,0.011103165343068992
19,LMNB2,2427638,2456959,4,0.01411419323271482
19,GNG7,2511219,2702694,33,0.0076404832699762905
19,ENSG00000267001,2717769,2740048,3,0.006247882871015093
19,SLC39A3,2732204,2740028,1,0.00579622868756822
19,SGTA,2754715,2783362,3,0.008355602393767175
19,THOP1,2785503,2815807,4,0.008186232074974598
19,ZNF554,2819868,2836735,2,0.005890323309119651
19,ZNF555,2841437,2860471,1,0.005043471715156762
19,ZNF556,2867335,2883445,2,0.00494937709360533
19,ZNF57,2900928,2918473,3,0.006793631676013401
19,ZNF77,2933218,2944971,1,0.005081109563777336
19,TLE6,2977538,2995179,3,0.00547630697429335
19,TLE2,2997639,3047635,8,0.00585268546049908
19,TLE5,3052910,3063107,2,0.0058715043848093645
19,GNA11,3094362,3123999,6,0.011159622115999853
19,GNA15,3136033,3163749,6,0.0068689073732545475
19,S1PR4,3172346,3180332,2,0.005363393428431631
19,NCLN,3185563,3209575,3,0.006285520719635666
19,CELF5,3224661,3297076,11,0.006022055779291657
19,NFIC,3314403,3469217,24,0.008261507772215742
19,SMIM24,3473986,3480525,1,0.006567804584289963
19,FZR1,3506311,3538334,4,0.0073017426323911325
19,MFSD12,3538261,3574290,5,0.0057209529903270735
19,TEKTIP1,3539171,3544030,1,0.0057209529903270735
19,HMG20B,3572777,3579088,1,0.004874101396364184
19,GIPC3,3585478,3593541,1,0.00521284203394934
19,TBXA2R,3594507,3606875,2,0.005495125898603638
19,CACTIN,3610645,3626815,2,0.007471112951183712
19,PIP5K1C,3630183,3700468,9,0.008280326696526029
19,TJP3,3708362,3750813,6,0.006097331476532804
19,APBA3,3750772,3761692,2,0.007188829086529416
19,MRPL54,3762682,3768575,1,0.00669953705446197
19,MATK,3777970,3802129,3,0.005890323309119653
19,ZFR2,3804024,3869038,10,0.011724189845308444
