chr,gene_name,gstart,gend,n_windows,max_h12
20,DEFB125,87250,97094,2,0.009178061831153387
20,DEFB127,157454,159163,1,0.014231569560047562
20,DEFB129,227258,229886,1,0.007728894173602853
20,DEFB132,257724,261096,1,0.008732164090368607
20,C20orf96,270863,290778,7,0.010107015457788346
20,ZCCHC3,297570,300321,1,0.00735731272294887
20,SOX12,325552,330224,1,0.0088807966706302
20,NRSN2,346782,359660,3,0.007728894173602852
20,TRIB3,362835,397559,11,0.007691736028537454
20,RBCK1,407498,432139,6,0.01051575505350773
20,TBC1D20,423596,462566,8,0.009884066587395957
20,CSNK2A1,472498,543835,13,0.011184601664684896
20,TCF15,604257,610309,1,0.009623959571938168
20,SRXN1,646615,653200,1,0.008434898929845419
20,ENSG00000270299,646626,675800,6,0.008434898929845419
20,SCRT2,661596,675802,3,0.008211950059453032
20,SLC52A3,760080,776015,4,0.007914684898929844
20,FAM110A,833715,857463,7,0.009289536266349582
20,ANGPT4,869900,916334,12,0.013674197384066585
20,RSPO4,958452,1002311,10,0.012633769322235432
20,PSMF1,1113240,1189415,14,0.01939655172413793
20,TMEM74B,1180561,1185415,1,0.00687425683709869
20,C20orf202,1203454,1209076,1,0.00687425683709869
20,RAD21L1,1226044,1296421,13,0.01452883472057075
20,SNPH,1266280,1309328,8,0.008174791914387632
20,SDCBP2,1309909,1329139,4,0.008620689655172414
20,ENSG00000274322,1317571,1393096,13,0.011444708680142687
20,FKBP1A,1368977,1393164,4,0.011444708680142687
20,NSFL1C,1442162,1473842,4,0.017352853745541023
20,SIRPB2,1470741,1491587,6,0.01828180737217598
20,SIRPD,1534251,1557705,4,0.029280618311533897
20,ENSG00000260861,1540144,1620009,9,0.027274078478002374
20,SIRPB1,1561385,1620061,5,0.02467300832342449
20,SIRPG,1629152,1657779,6,0.012002080856123662
20,SIRPA,1894167,1940592,10,0.008249108204518428
20,PDYN,1978757,1994285,2,0.008509215219976217
20,STK35,2101827,2177038,16,0.039796373365041625
20,ENSG00000286022,2207328,2341059,28,0.013674197384066588
20,TGM3,2296001,2341079,9,0.013228299643281805
20,TGM6,2380901,2432753,11,0.021365933412604045
20,SNRPB,2461634,2470853,2,0.011481866825208083
20,ENSG00000256566,2467212,2508907,8,0.016015160523186682
20,ZNF343,2481817,2524702,8,0.016015160523186682
20,TMC2,2536573,2643580,27,0.02069708680142688
20,NOP56,2652593,2658393,1,0.007543103448275861
20,IDH3B,2658395,2664219,1,0.008174791914387632
20,EBF4,2692780,2760108,14,0.015160523186682519
20,CPXM1,2794074,2800627,1,0.011333234244946491
20,ENSG00000241690,2814968,2818066,1,0.007505945303210462
20,TMEM239,2816302,2820284,1,0.007505945303210462
20,PCED1A,2835314,2841190,1,0.008397740784780023
20,VPS16,2840703,2866732,5,0.019099286563614745
20,PTPRA,2873420,3039076,27,0.01872770511296076
20,GNRH2,3043622,3045747,1,0.008397740784780021
20,AVP,3082556,3084724,1,0.007171521997621877
20,UBOX5,3107573,3160196,12,0.017129904875148632
20,FASTKD5,3146519,3159865,2,0.007914684898929844
20,LZTS3,3162617,3173549,2,0.006688466111771698
20,DDRGK1,3190350,3204685,4,0.010552913198573127
20,ITPA,3208868,3223870,5,0.013748513674197384
20,SLC4A11,3227417,3239559,3,0.011816290130796669
20,DNAAF9,3249306,3407669,34,0.02641944114149822
20,ATRN,3471018,3651118,29,0.021551724137931036
20,GFRA4,3659248,3663399,1,0.013562722948870391
20,ADAM33,3667965,3682246,3,0.011481866825208083
20,SIGLEC1,3686970,3712600,6,0.011593341260404278
20,HSPA12B,3732685,3753111,4,0.01605231866825208
20,ADISSP,3753508,3767781,3,0.007060047562425682
20,CDC25B,3786772,3806121,4,0.008100475624256837
20,AP5S1,3820524,3828838,1,0.008286266349583828
20,MAVS,3846799,3876123,7,0.01575505350772889
20,PANK2,3888839,3929887,10,0.01694411414982164
20,RNF24,3927309,4015558,18,0.025862068965517238
20,SMOX,4120980,4187747,15,0.01092449464922711
20,ADRA1D,4220630,4249287,6,0.010292806183115337
20,PRNP,4686350,4701590,2,0.011667657550535076
20,PRND,4721909,4728460,2,0.007580261593341259
20,RASSF2,4780023,4823608,11,0.010775862068965514
20,SLC23A2,4852356,5010293,34,0.016535374554102256
20,TMEM230,5068232,5113087,11,0.02207193816884661
20,PCNA,5114953,5126626,2,0.007617419738406656
20,CDS2,5126879,5197887,15,0.028351664684898935
20,PROKR2,5299218,5316954,6,0.030246730083234242
20,GPCPD1,5544439,5611006,12,0.013525564803804992
