chr,gene_name,gstart,gend,n_windows,max_h12
16,POLR3K,46407,53608,1,0.004946375739644972
16,RHBDF1,58059,76355,2,0.005917159763313611
16,MPG,77007,85851,1,0.005593565088757399
16,NPRL3,84271,138677,5,0.006194526627218936
16,HBZ,142728,154503,1,0.0052237426035502965
16,HBM,153892,166764,3,0.006148298816568049
16,LUC7L,188969,229463,3,0.006749260355029587
16,FAM234A,234521,272183,5,0.00822855029585799
16,RGS11,268301,275980,1,0.006240754437869824
16,AXIN1,287440,352723,11,0.028476331360946745
16,PGAP6,370788,387113,4,0.011002218934911247
16,NME4,396725,410367,2,0.006841715976331363
16,DECR2,401858,412487,2,0.008136094674556215
16,RAB11FIP3,425649,523011,13,0.011880547337278108
16,CAPN15,527712,554636,5,0.005085059171597635
16,PRR35,560394,565529,1,0.005085059171597635
16,PIGQ,566995,584109,2,0.005316198224852074
16,RAB40C,589357,629272,6,0.01886094674556213
16,MCRIP2,636817,648474,1,0.01678069526627219
16,WDR90,649311,667833,2,0.018213757396449707
16,RHOT2,668100,674174,1,0.019877958579881658
16,WDR24,684622,690444,1,0.01391457100591716
16,FBXL16,692498,705801,1,0.01567122781065089
16,METRN,715118,719655,1,0.005593565088757399
16,CCDC78,722582,726954,1,0.005963387573964499
16,HAGHL,726936,735525,1,0.005870931952662725
16,CIAO3,729760,741329,1,0.005870931952662725
16,MSLN,760734,768865,2,0.006887943786982251
16,MSLNL,769428,782054,3,0.018028846153846152
16,CHTF18,788046,800737,3,0.010955991124260357
16,GNG13,798041,800734,1,0.006148298816568048
16,LMF1,853634,981318,25,0.041974852071005916
16,SOX8,981444,986979,1,0.0058247041420118354
16,SSTR5,1063867,1081454,3,0.0058247041420118354
16,C1QTNF8,1088226,1096711,2,0.006102071005917162
16,CACNA1H,1153103,1224169,10,0.007165310650887576
16,TPSG1,1221651,1225793,1,0.0057322485207100616
16,TPSB2,1227272,1232757,1,0.0052237426035502965
16,TPSAB1,1239266,1242554,1,0.005085059171597635
16,TPSD1,1256059,1259008,1,0.005131286982248523
16,UBE2I,1291444,1327018,3,0.008690828402366865
16,BAIAP3,1333638,1349439,2,0.00651812130177515
16,GNPTG,1351931,1365737,1,0.005686020710059174
16,UNKL,1363205,1414751,3,0.005963387573964499
16,PERCC1,1431078,1434441,1,0.005269970414201185
16,CCDC154,1434383,1444556,2,0.005316198224852072
16,CLCN7,1444934,1475077,5,0.006148298816568049
16,TELO2,1493344,1510457,2,0.006656804733727813
16,IFT140,1510427,1612072,11,0.011788091715976334
16,TMEM204,1528688,1555580,3,0.011002218934911245
16,CRAMP1,1612337,1677908,6,0.011603180473372783
16,ENSG00000261732,1632259,1686715,5,0.011603180473372783
16,JPT2,1678256,1702280,2,0.008136094674556215
16,MAPK8IP3,1706166,1770351,9,0.007211538461538462
16,EME2,1772810,1781708,1,0.007211538461538464
16,SPSB3,1776712,1793700,1,0.008505917159763315
16,NUBP2,1782932,1789186,1,0.008505917159763315
16,IGFALS,1790413,1794971,1,0.007720044378698226
16,HAGH,1795620,1827157,10,0.037352071005917156
16,FAHD1,1826967,1840207,3,0.06934171597633136
16,MEIOB,1833986,1884294,11,0.06934171597633136
16,HS3ST6,1911475,1918415,1,0.007026627218934912
16,MSRB1,1938229,1943199,1,0.005131286982248523
16,RPL3L,1943974,1957606,2,0.005269970414201184
16,RPS2,1962058,1964841,1,0.006009615384615385
16,TBL3,1972053,1982929,1,0.008644600591715977
16,NOXO1,1978917,1984192,1,0.008644600591715977
16,ZNF598,1997654,2009821,2,0.006841715976331363
16,NPW,2009926,2020755,1,0.005593565088757399
16,NHERF2,2025356,2039026,1,0.00536242603550296
16,NTHL1,2039815,2047866,1,0.005316198224852074
16,TSC2,2047967,2089491,3,0.005316198224852074
16,PKD1,2088708,2135898,3,0.005639792899408286
16,TRAF7,2155698,2178129,3,0.00651812130177515
16,CASKIN1,2177180,2196605,1,0.005269970414201185
16,MLST8,2204248,2209453,1,0.005778476331360948
16,E4F1,2223580,2235742,1,0.0069803994082840255
16,ECI1,2239402,2252300,1,0.006980399408284026
16,RNPS1,2253116,2268397,1,0.006887943786982251
16,ABCA3,2275881,2340746,6,0.0067030325443786995
16,CCNF,2429394,2458854,3,0.006656804733727813
16,TBC1D24,2475051,2509560,2,0.005778476331360948
16,ENSG00000260272,2496032,2520218,1,0.005778476331360948
16,ENSG00000259784,2513965,2527955,1,0.005778476331360948
16,AMDHD2,2520357,2531422,1,0.005778476331360948
16,PDPK1,2537979,2603188,2,0.005778476331360948
16,KCTD5,2682523,2709030,2,0.0063794378698224866
16,SRRM2,2752626,2772538,1,0.005686020710059174
16,ELOB,2771414,2777289,1,0.005593565088757398
16,PRSS21,2817180,2826304,1,0.005870931952662723
16,ZG16B,2830253,2839585,1,0.005316198224852074
16,PRSS22,2852730,2858170,1,0.0054548816568047356
16,FLYWCH2,2883213,2899382,3,0.008413461538461542
16,FLYWCH1,2911931,2951208,7,0.0070728550295858
16,PKMYT1,2968024,2980479,1,0.006286982248520713
16,CLDN6,3014712,3020071,1,0.005593565088757399
16,TNFRSF12A,3018445,3022383,1,0.005593565088757399
16,BICDL2,3027682,3036944,1,0.0060558431952662745
16,MMP25,3046062,3060726,2,0.005131286982248523
16,IL32,3065297,3082192,3,0.0051775147928994104
16,ZSCAN10,3088890,3099295,1,0.00785872781065089
16,ZNF205,3112560,3120517,1,0.010539940828402369
16,ZNF213,3129777,3142804,1,0.006980399408284026
16,OR1F1,3188204,3224779,5,0.005639792899408286
16,ZNF200,3222325,3236221,1,0.0060558431952662745
16,MEFV,3242027,3256633,2,0.007211538461538464
16,ENSG00000290183,3263800,3291029,2,0.007904955621301777
16,ZNF263,3283283,3301401,1,0.005316198224852072
16,ZNF75A,3305406,3318852,1,0.005269970414201185
16,ENSG00000285329,3365099,3479550,15,0.018259985207100593
16,ZSCAN32,3382081,3401065,1,0.015347633136094677
16,ZNF174,3401215,3409364,1,0.015532544378698226
16,ZNF597,3432414,3443504,1,0.008921967455621306
16,NAA60,3443649,3486953,7,0.01821375739644971
16,CLUAP1,3500976,3539048,4,0.008321005917159764
16,NLRC3,3539033,3577403,4,0.008737056213017753
16,SLX4,3581181,3611606,3,0.00841346153846154
16,DNASE1,3611728,3680143,7,0.008921967455621304
16,TRAP1,3651639,3717553,7,0.007673816568047338
16,CREBBP,3725054,3880713,12,0.007904955621301777
16,ADCY9,3953387,4116442,20,0.015440088757396449
16,SRL,4189374,4242080,6,0.005686020710059174
16,TFAP4,4257186,4273075,1,0.005316198224852074
16,GLIS2,4314761,4339597,2,0.005732248520710061
16,PAM16,4331549,4355607,2,0.005963387573964499
16,CORO7-PAM16,4340251,4420494,7,0.007812500000000002
16,CORO7,4354542,4425705,5,0.007812500000000002
16,VASN,4371848,4383538,1,0.0066568047337278126
16,DNAJA3,4425805,4456775,3,0.011926775147928996
16,NMRAL1,4461691,4495763,5,0.017335428994082844
16,HMOX2,4474690,4510347,3,0.017335428994082844
16,CDIP1,4510669,4538828,3,0.009522928994082844
16,C16orf96,4556340,4600758,4,0.0063332100591716
16,MGRN1,4616493,4690974,9,0.0070728550295858
16,ANKS3,4696510,4734378,4,0.0060558431952662745
16,DNAAF8,4734344,4749396,2,0.0060558431952662745
16,ZNF500,4748239,4767624,2,0.006425665680473374
16,SEPTIN12,4777606,4788398,1,0.006240754437869824
16,SMIM22,4788397,4796491,1,0.006286982248520712
16,GLYR1,4803203,4847288,4,0.007627588757396451
16,UBN1,4846665,4882401,4,0.00822855029585799
16,PPL,4882507,4960741,9,0.00767381656804734
16,SEC14L5,4958330,5019157,9,0.012065458579881658
16,NAGPA,5024844,5034141,1,0.013452292899408285
16,ALG1,5033702,5087379,6,0.007442677514792901
16,C16orf89,5044122,5066110,2,0.007119082840236688
16,EEF2KMT,5084284,5097795,3,0.008043639053254439
16,RBFOX1,5239802,7713340,431,0.043130547337278106
16,TMEM114,8537605,8590511,10,0.011880547337278108
16,METTL22,8621683,8649654,2,0.006379437869822487
16,ABAT,8674596,8784575,17,0.007997411242603551
16,TMEM186,8780384,8797642,2,0.007581360946745564
16,PMM2,8788823,8862534,12,0.007720044378698226
16,CARHSP1,8852942,8869012,3,0.007720044378698226
16,USP7,8892097,8975328,8,0.009476701183431954
16,HAPSTR1,9091644,9121635,3,0.010586168639053256
16,GRIN2A,9753404,10182928,42,0.0234375
16,ATF7IP2,10326434,10483638,20,0.010447485207100593
16,EMP2,10528422,10580632,7,0.007119082840236688
16,TEKT5,10627501,10694930,11,0.016734467455621304
16,NUBP1,10743786,10769351,2,0.006102071005917162
16,TVP23A,10760919,10818794,6,0.005778476331360948
16,CIITA,10866222,10943021,6,0.005547337278106511
16,CLEC16A,10944539,11182186,22,0.02796782544378698
16,RMI2,11249619,11381662,16,0.015486316568047338
16,TNP2,11267748,11269533,1,0.009060650887573966
16,ENSG00000188897,11359845,11527247,30,0.015486316568047338
16,LITAF,11547722,11636381,10,0.010586168639053255
16,SNN,11668455,11679152,1,0.006240754437869824
