chr,gene_name,gstart,gend,n_windows,max_h12
4,ZNF595,53286,88208,6,0.005308769513314969
4,ZNF718,124501,202303,10,0.03285697887970615
4,ZNF732,270675,305474,6,0.013802800734618918
4,ZNF141,337814,384868,7,0.06106519742883379
4,ZNF721,425815,499156,12,0.07561409550045912
4,PIGG,499210,540200,7,0.03245523415977961
4,PDE6B,625573,670782,9,0.056301652892561976
4,ATP5ME,672436,674330,1,0.03104912764003673
4,MYL5,673580,682028,1,0.012884527089072546
4,SLC49A3,681829,689271,1,0.009699265381083563
4,PCGF3,705748,770089,16,0.015955004591368227
4,CPLX1,784957,826129,8,0.022755968778696054
4,GAK,849276,932373,17,0.02295684113865932
4,TMEM175,932387,958656,4,0.012023645546372818
4,DGKQ,958887,986895,5,0.01457759412304867
4,SLC26A1,979073,993440,2,0.015151515151515152
4,IDUA,986997,1004564,4,0.01730371900826446
4,FGFRL1,1009936,1026898,4,0.011908861340679523
4,RNF212,1056250,1113564,12,0.04152318640955005
4,SPON2,1166932,1208962,8,0.020804637281910007
4,CTBP1,1211445,1250333,9,0.03566919191919192
4,MAEA,1289887,1340147,13,0.042470156106519746
4,UVSSA,1345691,1395989,11,0.029470844811753903
4,NKX1-1,1402932,1406442,1,0.008465335169880624
4,FAM53A,1617915,1684313,14,0.02774908172635445
4,SLBP,1692731,1712344,4,0.01721763085399449
4,TACC3,1712858,1745171,6,0.0463441230486685
4,TMEM129,1715952,1721358,1,0.019714187327823693
4,FGFR3,1793293,1808872,2,0.00774793388429752
4,LETM1,1811479,1856156,5,0.013630624426078972
4,NSD2,1871393,1982207,10,0.013573232323232324
4,NELFA,1982717,2041903,7,0.00878099173553719
4,NAT8L,2059327,2069089,1,0.006686179981634529
4,POLN,2071918,2242121,19,0.027031680440771356
4,ENSG00000290263,2078998,2242276,19,0.027031680440771356
4,HAUS3,2227464,2242133,1,0.010244490358126721
4,MXD4,2247432,2262109,2,0.014175849403122134
4,ZFYVE28,2269582,2418651,30,0.04961547291092745
4,CFAP99,2418955,2463002,9,0.045368457300275486
4,RNF4,2462220,2515857,7,0.012913223140495868
4,ENSG00000290180,2512477,2625320,20,0.04482323232323232
4,FAM193A,2536647,2732573,33,0.048525022956841135
4,TNIP2,2741648,2756342,2,0.018221992653810838
4,SH3BP2,2793023,2841291,7,0.015294995408631775
4,ADD1,2843844,2930076,11,0.02410468319559229
4,MFSD10,2930561,2934834,1,0.01773415977961433
4,NOP14,2937933,2963406,5,0.016615013774104688
4,GRK4,2963571,3040760,12,0.052714646464646464
4,HTT,3041363,3243957,28,0.02407598714416897
4,MSANTD1,3244369,3271738,5,0.020603764921946738
4,RGS12,3293021,3439913,21,0.02737603305785124
4,HGFAC,3441968,3449486,2,0.020374196510560143
4,DOK7,3463306,3501473,12,0.020316804407713496
4,LRPAP1,3503612,3532446,5,0.03773530762167126
4,ADRA2C,3766348,3768526,1,0.01423324150596878
4,OTOP1,4188726,4226929,9,0.04622933884297521
4,TMEM128,4235542,4248223,3,0.020144628099173556
4,LYAR,4267701,4290154,5,0.023875114784205703
4,ZBTB49,4290251,4321786,5,0.03205348943985308
4,NSG1,4348140,4419058,15,0.0278064738292011
4,STX18,4415742,4542346,17,0.03323002754820937
4,MSX1,4859665,4863936,1,0.024219467401285583
4,CYTL1,5014586,5019458,1,0.01661501377410468
4,STK32B,5051480,5500994,101,0.225120523415978
4,EVC2,5542772,5709548,33,0.03555440771349863
4,EVC,5711201,5814305,25,0.0314795684113866
4,CRMP1,5748084,5893086,33,0.026027318640955
4,C4orf50,5897373,6200555,65,0.03954315886134069
4,JAKMIP1,6026199,6200591,34,0.036702249770431586
