chr,gene_name,gstart,gend,n_windows,max_h12
20,DEFB127,157454,159163,1,0.07423743224572218
20,DEFB128,187853,189711,1,0.01992772877032628
20,DEFB132,257724,261096,1,0.009990434690190245
20,C20orf96,270863,290778,5,0.017164417047507704
20,NRSN2,346782,359660,1,0.008927622489106175
20,TRIB3,362835,397559,8,0.024497821234987775
20,RBCK1,407498,432139,4,0.028483366989053033
20,TBC1D20,423596,462566,5,0.02205335317249442
20,CSNK2A1,472498,543835,9,0.034381974705069616
20,TCF15,604257,610309,1,0.019821447550217874
20,SRXN1,646615,653200,2,0.012966308853225635
20,ENSG00000270299,646626,675800,4,0.012966308853225635
20,SCRT2,661596,675802,2,0.01227548092252099
20,SLC52A3,760080,776015,3,0.020724837921139334
20,FAM110A,833715,857463,4,0.012753746413008821
20,ANGPT4,869900,916334,8,0.06908279307046444
20,RSPO4,958452,1002311,8,0.031937506642576254
20,PSMF1,1113240,1189415,9,0.026889148687426923
20,TMEM74B,1180561,1185415,1,0.009565309809756617
20,RAD21L1,1226044,1296421,8,0.014879370815176957
20,SNPH,1266280,1309328,6,0.01211605909235838
20,SDCBP2,1309909,1329139,3,0.013975980444255501
20,ENSG00000274322,1317571,1393096,9,0.016739292167074076
20,FKBP1A,1368977,1393164,3,0.016739292167074076
20,NSFL1C,1442162,1473842,3,0.026623445637155907
20,SIRPB2,1470741,1491587,2,0.02736741417791476
20,SIRPD,1534251,1557705,3,0.02125624402168137
20,ENSG00000260861,1540144,1620009,5,0.02125624402168137
20,SIRPB1,1561385,1620061,3,0.018918057179296417
20,SIRPG,1629152,1657779,4,0.01461366776490594
20,SIRPA,1894167,1940592,8,0.0186523541290254
20,PDYN,1978757,1994285,2,0.019236900839621634
20,STK35,2101827,2177038,10,0.03932405144011053
20,ENSG00000286022,2207328,2341059,21,0.02423211818471676
20,TGM3,2296001,2341079,7,0.013763418004038687
20,TGM6,2380901,2432753,6,0.03183122542246786
20,SNRPB,2461634,2470853,1,0.022956743543415876
20,ENSG00000256566,2467212,2508907,4,0.022956743543415876
20,ZNF343,2481817,2524702,4,0.016845573387182483
20,TMC2,2536573,2643580,18,0.037517270698267616
20,NOP56,2652593,2658393,1,0.022744181103199063
20,EBF4,2692780,2760108,9,0.024125836964608356
20,CPXM1,2794074,2800627,1,0.016686151557019874
20,PCED1A,2835314,2841190,1,0.012966308853225635
20,VPS16,2840703,2866732,4,0.01588904240620682
20,PTPRA,2873420,3039076,19,0.021149962801572962
20,UBOX5,3107573,3160196,6,0.012488043362737802
20,FASTKD5,3146519,3159865,1,0.011584652991816345
20,LZTS3,3162617,3173549,1,0.012753746413008821
20,DDRGK1,3190350,3204685,3,0.02242533744287384
20,ITPA,3208868,3223870,3,0.015517058135827396
20,SLC4A11,3227417,3239559,1,0.01471994898501435
20,DNAAF9,3249306,3407669,24,0.04766712721862047
20,ATRN,3471018,3651118,24,0.034700818365394834
20,GFRA4,3659248,3663399,1,0.011425231161653737
20,ADAM33,3667965,3682246,2,0.012009777872249975
20,SIGLEC1,3686970,3712600,4,0.034700818365394834
20,HSPA12B,3732685,3753111,2,0.015038792645339565
20,ADISSP,3753508,3767781,2,0.01317887129344245
20,SPEF1,3777504,3781448,1,0.013497714953767665
20,CDC25B,3786772,3806121,3,0.014082261664363908
20,AP5S1,3820524,3828838,2,0.017376979487724514
20,MAVS,3846799,3876123,5,0.013391433733659263
20,PANK2,3888839,3929887,6,0.01211605909235838
20,RNF24,3927309,4015558,10,0.028908491869486665
20,SMOX,4120980,4187747,11,0.012860027633117228
20,ADRA1D,4220630,4249287,3,0.02683600807737273
20,PRNP,4686350,4701590,2,0.020884259751301943
20,PRND,4721909,4728460,1,0.01009671591029865
20,RASSF2,4780023,4823608,9,0.022744181103199066
20,SLC23A2,4852356,5010293,22,0.031087256881709005
20,TMEM230,5068232,5113087,7,0.017004995217345095
20,PCNA,5114953,5126626,1,0.011744074821978954
20,CDS2,5126879,5197887,8,0.030821553831437976
20,PROKR2,5299218,5316954,4,0.027579976618131573
20,GPCPD1,5544439,5611006,7,0.03183122542246784
20,SHLD1,5750393,5864395,19,0.035444786906153686
20,CHGB,5911510,5925353,2,0.02045913487086832
20,TRMT6,5937228,5950558,2,0.033744287384419175
20,MCM8,5950652,5998977,7,0.04028058242108619
20,ENSG00000286235,5950949,6039856,13,0.04028058242108619
20,CRLS1,6006093,6040053,5,0.025720055266234453
20,LRRN4,6040546,6054060,2,0.02890849186948665
20,FERMT1,6074845,6123214,7,0.030130725900733343
20,BMP2,6767686,6780246,1,0.010840684451057497
20,HAO1,7882985,7940458,6,0.013816558614092887
20,TMX4,7977346,8019805,6,0.037889254968647035
20,PLCB1,8077251,8968360,102,0.08343075778509937
20,PLCB4,9067825,9504593,38,0.03448825592517802
20,LAMP5,9514358,9530524,3,0.01131894994154533
20,PAK5,9537370,9839076,36,0.04006801998086937
20,ANKEF1,9986126,10058303,10,0.013975980444255496
20,SNAP25,10172395,10308258,14,0.015410776915718991
20,MKKS,10401009,10434222,4,0.03236263152300988
20,ENSG00000285508,10413520,10434222,2,0.03230949091295568
20,ENSG00000285723,10413708,10434222,2,0.03230949091295568
20,SLX4IP,10435305,10636829,24,0.025560633436071845
20,JAG1,10637684,10673999,4,0.012806887023063025
20,BTBD3,11890723,11926609,4,0.03177808481241364
20,SPTLC3,13008972,13169103,23,0.03523222446593687
20,ISM1,13221274,13300651,13,0.018546072908916994
20,TASP1,13389392,13638932,27,0.057285577638431284
20,ESF1,13714322,13784919,8,0.027207992347752154
20,NDUFAF5,13785007,13821580,3,0.017961526198320754
20,SEL1L2,13849247,13996443,16,0.016207886066532045
20,MACROD2,13995369,16053197,253,0.03528536507599107
20,FLRT3,14322985,14337614,1,0.013763418004038682
20,KIF16B,16272104,16573448,39,0.0295461791901371
20,SNRPB2,16729961,16742564,2,0.009087044319268786
20,OTOR,16748358,16770062,3,0.010256137740461257
20,PCSK2,17226107,17484578,35,0.03326602189393134
20,BFSP1,17493905,17569220,11,0.015942183016261022
20,DSTN,17570075,17609919,3,0.013975980444255501
20,RRBP1,17613678,17682295,7,0.011372090551599533
20,BANF2,17693672,17735871,5,0.0264640238069933
20,SNX5,17941597,17968980,4,0.022956743543415876
20,OVOL2,17956979,18059188,18,0.03937719205016474
20,MGME1,17969018,17991122,3,0.03119353810181741
20,KAT14,18137228,18188387,6,0.01790838558826655
20,ZNF133,18288283,18316996,2,0.017802104368158145
20,DZANK1,18383367,18467281,12,0.046444893187373784
20,POLR3F,18466878,18484648,2,0.022000212562440214
20,RBBP9,18486540,18497225,2,0.02146880646189818
20,SEC23B,18507520,18561415,8,0.04426612817515145
20,SMIM26,18567347,18569563,1,0.030130725900733336
20,ENSG00000284776,18567453,18744216,24,0.03932405144011053
20,DTD1,18587942,18766644,24,0.03932405144011053
20,SLC24A3,19212642,19722926,60,0.044000425124880435
20,RIN2,19757606,20002457,37,0.05229036029333617
20,NAA20,20017310,20033655,2,0.014985652035285364
20,CRNKL1,20034368,20056046,3,0.04123711340206185
20,CFAP61,20052514,20360703,40,0.056329046657455625
20,RALGAPA2,20389530,20712644,25,0.024497821234987775
20,KIZ,21125983,21246622,10,0.020246572430651505
20,XRN2,21303331,21389825,7,0.01987458816027208
20,PAX1,21705659,21718481,1,0.011903496652141562
20,SSTR4,23035312,23039237,1,0.021149962801572962
20,CD93,23079360,23086324,1,0.013710277393984484
20,GZF1,23362182,23373062,1,0.02269104049314486
20,NAPB,23374519,23421519,6,0.04612604952704857
20,CSTL1,23426104,23444930,2,0.03698586459772557
20,CST9L,23564732,23568484,1,0.04166223828249548
20,CST3,23626706,23638473,1,0.01748326070783292
20,CST4,23685640,23689038,1,0.014879370815176958
20,CST1,23747562,23751268,1,0.027154851737697938
20,CST2,23823769,23826729,1,0.026623445637155914
20,CST5,23875934,23879748,1,0.021362525241789776
20,GGTLC1,23985050,23988779,1,0.019555744499946858
20,SYNDIG1,24469629,24666616,22,0.03826123923902647
