chr,gene_name,gstart,gend,n_windows,max_h12
18,TUBB8B,47221,73545,11,0.020278373942684003
18,USP14,158383,214629,9,0.02820035349072087
18,THOC1,214520,268050,8,0.03141964398434541
18,COLEC12,316737,500722,41,0.017264234313849262
18,CETN1,580380,582114,1,0.008000883726802173
18,CLUL1,596988,650334,13,0.007259184446408279
18,TYMS,657653,673578,4,0.009594748137861382
18,ENOSF1,670318,712662,11,0.01803749526574927
18,YES1,721588,812546,18,0.022740184320161595
18,ADCYAP1,904871,912172,1,0.005333922484534779
18,METTL4,2537525,2571509,7,0.05239237470016412
18,NDC80,2571557,2616635,8,0.019457770483524806
18,SMCHD1,2655726,2805017,32,0.03301350839540462
18,EMILIN2,2847006,2916003,20,0.016143794975381896
18,LPIN2,2885296,3013144,28,0.034717838656735264
18,MYOM1,3066807,3219968,39,0.017264234313849262
18,MYL12A,3247481,3256236,1,0.013066532003534909
18,MYL12B,3261479,3278461,4,0.024018432016159573
18,TGIF1,3411608,3459978,12,0.01152001009973488
18,DLGAP1,3496032,4455307,210,0.024097336194924872
18,AKAIN1,5142911,5197503,11,0.01952089382653705
18,ZBTB14,5289019,5297053,1,0.008805706350208308
18,EPB41L3,5392381,5630700,44,0.019773387198586033
18,TMEM200C,5882072,5895955,2,0.01148844842822876
18,L3MBTL4,5954706,6415237,94,0.024223582880949376
18,ARHGAP28,6729716,6915716,34,0.02267706097714935
18,LAMA1,6941742,7117797,46,0.016033329125110463
18,PTPRM,7566782,8406861,167,0.0411722004797374
18,RAB12,8609437,8639383,6,0.0183531119808105
18,MTCL1,8705556,8832778,28,0.020925388208559527
18,NDUFV2,9102630,9134345,5,0.027269284181290234
18,ANKRD12,9136228,9285985,27,0.03356583764676177
18,TWSG1,9334767,9402420,13,0.03706918318394142
18,RALBP1,9475009,9538114,11,0.026196187350082056
18,PPP4R1,9546791,9615240,13,0.01898434541093296
18,RAB31,9708275,9862551,34,0.05035664688801919
18,TXNDC2,9885766,9889275,1,0.01330324453983083
18,VAPA,9914016,9960021,8,0.016080671632369647
18,APCDD1,10454635,10489949,8,0.011882969322055296
18,NAPG,10525905,10552764,5,0.025249337204898366
18,PIEZO2,10666483,11149569,116,0.02589635147077389
18,SLC35G4,11609596,11610612,1,0.0063754576442368385
18,GNAL,11689264,11885685,46,0.02605415982830451
18,CHMP1B,11851413,11854444,1,0.009642090645120567
18,MPPE1,11882622,11908366,8,0.00777995202625931
18,IMPA2,11981025,12030877,14,0.01396603964145941
18,ANKRD62,12093843,12129764,6,0.028010983461684128
18,CIDEA,12254361,12277595,5,0.010494255775785884
18,TUBB6,12307669,12344320,7,0.02337141775028405
18,AFG3L2,12328944,12377227,9,0.01830576947355132
18,PRELID3A,12407896,12432238,6,0.016964398434541093
18,SPIRE1,12446512,12658107,38,0.030520136346420895
18,PSMG2,12658043,12728945,15,0.021051634894584018
18,CEP76,12661833,12702777,8,0.020515086478979927
18,PTPN2,12785478,12929643,28,0.020814922358288093
18,SEH1L,12947133,12987536,10,0.01647519252619619
18,CEP192,12991362,13125052,23,0.023923747001641203
18,LDLRAD4,13217498,13652755,88,0.03091465724024745
18,FAM210A,13663347,13726663,12,0.020231031435424818
18,RNMT,13726660,13764556,6,0.01308231283928797
18,MC5R,13824149,13827323,1,0.027300845852796362
18,MC2R,13882044,13915707,8,0.024397172074233052
18,ZNF519,14057457,14132490,16,0.036122333038757726
18,POTEC,14507339,14543600,9,0.030567478853680087
18,ANKRD30B,14728272,14854667,28,0.022613937634137105
18,ROCK1,20944612,21111813,20,0.01589130160333291
18,GREB1L,21242232,21526112,34,0.016222699154147206
18,ESCO1,21529284,21600884,9,0.013997601312965534
18,SNRPD1,21612314,21633524,3,0.013697765433657366
18,ABHD3,21650901,21704780,8,0.012119681858351218
18,MIB1,21704957,21870953,19,0.014786643100618608
18,GATA6,22169589,22202528,5,0.015733493245802296
18,CTAGE1,22413599,22417915,1,0.008663678828430752
18,RBBP8,22798261,23026488,40,0.020373058957202365
18,CABLES1,23134564,23260470,23,0.01234061355889408
18,TMEM241,23197144,23437961,42,0.01759563186466355
18,RIOK3,23453287,23486603,6,0.014186971342002272
18,RMC1,23503496,23531822,4,0.019962757227622772
18,NPC1,23506184,23586506,13,0.02387640449438202
18,ANKRD29,23598926,23662911,9,0.014171190506249213
18,LAMA3,23689453,23956222,34,0.02726928418129023
18,TTC39C,23992773,24135610,27,0.014360560535285949
18,CABYR,24138987,24161600,4,0.016980179270294153
18,OSBPL1A,24162045,24397880,47,0.016995960106047217
18,IMPACT,24426634,24453531,5,0.022677060977149346
18,HRH4,24460637,24479961,4,0.02035727812144931
18,ZNF521,25061924,25352190,49,0.026259310693094305
18,SS18,26016253,26091217,15,0.03659575811134957
18,PSMA8,26133852,26193355,10,0.028847367756596392
18,TAF4B,26226445,26391685,30,0.03845789673021083
18,KCTD1,26454910,26657401,35,0.017611412700416613
18,AQP4,26852043,26865771,2,0.014613053907334934
18,CHST9,26906481,27185308,52,0.036848251483398556
18,CDH2,27932879,28177946,38,0.024870597146824894
18,DSC3,30989365,31042815,12,0.029020956949880057
18,DSC2,31058545,31102600,7,0.014928670622396159
18,DSC1,31129236,31162856,9,0.03309241257416992
18,DSG1,31318160,31359246,10,0.035617346294659756
18,DSG4,31376777,31414912,6,0.026922105794722886
18,DSG3,31447741,31478702,7,0.027048352480747374
18,DSG2,31497624,31551351,10,0.015417876530741066
18,TTR,31557009,31598833,10,0.012672011109708371
18,B4GALT6,31622246,31685836,10,0.012940285317510417
18,TRAPPC8,31829197,31953136,26,0.01664878171947986
18,RNF125,32018825,32073219,13,0.01137798257795733
