chr,gene_name,gstart,gend,n_windows,max_h12
21,TPTE,10521553,10606140,13,0.008468523620038772
21,LIPI,14108813,14210955,13,0.045454545454545456
21,RBM11,14216130,14228372,2,0.02290582593612897
21,HSPA13,14371115,14383484,1,0.02428323640444853
21,SAMSN1,14485228,14658821,19,0.024691358024691364
21,NRIP1,14961235,15065936,10,0.01770227527803286
21,USP25,15729982,15880064,11,0.013008876645240284
21,CXADR,17513043,17593579,10,0.012855831037649222
21,BTG3,17593653,17612945,1,0.011376390164268953
21,C21orf91,17788974,17819386,2,0.01902867054382206
21,CHODL,17901263,18267373,40,0.020508111417202338
21,TMPRSS15,18269116,18485879,24,0.01673298642995613
21,NCAM2,20998409,21543329,61,0.03560861136618713
21,MRPL39,25585656,25607517,3,0.018314457708397108
21,JAM2,25639258,25717562,8,0.01923273135394348
21,ATP5PF,25716503,25735673,1,0.01260075502499745
21,GABPA,25734570,25772460,2,0.014590347923681263
21,APP,25880535,26171128,30,0.018824609733700648
21,CYYR1,26466209,26573286,10,0.01499846954392409
21,ADAMTS1,26835755,26845409,1,0.011733496581981431
21,ADAMTS5,26917922,26967088,4,0.023569023569023576
21,N6AMT1,28872191,28885371,2,0.017600244872972154
21,LTN1,28928144,28992956,5,0.030405060708091014
21,RWDD2B,29004384,29019360,1,0.012039587797163555
21,USP16,29024629,29054488,1,0.013519028670543824
21,CCT8,29055805,29073797,2,0.01346801346801347
21,MAP3K7CL,29077221,29175889,9,0.019895928986838084
21,BACH1,29194071,29630751,32,0.02652790531578411
21,GRIK1,29536933,29940033,42,0.02928272625242323
21,KRTAP24-1,30281309,30282950,1,0.03800632588511377
21,KRTAP8-1,30812697,30813274,1,0.012651770227527805
21,TIAM1,31118416,31559977,48,0.024844403632282425
21,SCAF4,31671000,31732118,5,0.013621059075604531
21,HUNK,31873020,32044633,21,0.022497704315886137
21,MIS18A,32268228,32279049,1,0.012345679012345682
21,MRAP,32291813,32314784,2,0.013008876645240284
21,URB1,32311018,32393012,6,0.019997959391898794
21,CFAP298-TCP10L,32402511,32612865,24,0.03137434955616775
21,EVA1C,32412006,32515397,11,0.013365983062952764
21,TCP10L,32497967,32587373,10,0.026017753290480568
21,CFAP298,32592079,32612603,3,0.03137434955616775
21,SYNJ1,32628759,32728040,5,0.024028160391796758
21,PAXBP1,32733899,32771792,2,0.02015100499948985
21,C21orf62,32790673,32813743,2,0.01158045097439037
21,OLIG2,33025935,33029196,1,0.011325374961738601
21,IFNAR2,33205282,33265675,8,0.010560146923783289
21,IFNAR2-IL10RB,33229892,33297160,7,0.009743903683297623
21,IL10RB,33266367,33311420,5,0.014284256708499133
21,IFNAR1,33324387,33359864,3,0.015661667176818692
21,IFNGR2,33403413,33479348,8,0.01499846954392409
21,TMEM50B,33432485,33479974,6,0.01499846954392409
21,GART,33503931,33543491,2,0.009029690847872668
21,SON,33543038,33577481,2,0.008570554025099483
21,DONSON,33559542,33588706,2,0.008927660442811958
21,ENSG00000249209,33584687,33931607,26,0.015100499948984799
21,CRYZL1,33589341,33643926,4,0.011784511784511786
21,ITSN1,33642400,33899861,19,0.015100499948984799
21,ATP5PO,33903453,33915814,2,0.01499846954392409
21,MRPS6,34073224,34143034,4,0.014437302316090202
21,SLC5A3,34073578,34106260,2,0.012396694214876033
21,KCNE2,34364006,34371381,1,0.009029690847872668
21,KCNE1,34446688,34512214,1,0.008978675645342315
21,ENSG00000288711,34511122,34614913,15,0.02678298132843588
21,RCAN1,34513142,34615113,15,0.02678298132843588
21,CLIC6,34668994,34718227,4,0.014692378328741967
21,RUNX1,34787801,36004667,124,0.036169778594021026
21,SETD4,36034541,36079389,5,0.01703907764513826
21,CBR3,36135079,36146562,2,0.01428425670849914
21,DOP1B,36156782,36294274,19,0.019895928986838087
21,MORC3,36320189,36386148,8,0.030915212733394554
21,CHAF1B,36385392,36419015,4,0.019997959391898787
21,CLDN14,36460621,36576569,15,0.03009896949290889
21,SIM2,36699115,36749917,5,0.011019283746556478
21,HLCS,36748626,36990236,26,0.019895928986838084
21,RIPPLY3,37006150,37019662,2,0.012702785430058157
21,PIGP,37062846,37073170,1,0.012345679012345678
21,TTC3,37073226,37203112,14,0.028058361391694736
21,VPS26C,37223420,37267919,4,0.011988572594633201
21,DYRK1A,37365573,37526358,15,0.015814712784409754
21,KCNJ6,37607373,38121345,51,0.033772064075094387
