gene_name,gstart,gend,midpoint,n_seg,max_h12_500kb,max_h2h1_500kb,n_windows
TPTE,10521553,10606140,10563846,25142,0.24842861982009107,0.3541323448654585,495
POTED,13609777,13645823,13627800,26862,0.3763220294327977,0.19377147766323025,530
LIPI,14108813,14210955,14159884,28954,0.4993036998005193,0.11998916576381359,572
RBM11,14216130,14228372,14222251,30786,0.4993036998005193,0.11998916576381359,608
HSPA13,14371115,14383484,14377299,31056,0.49924724302758844,0.11983023297814692,614
SAMSN1,14485228,14658821,14572024,27681,0.4990590537844858,0.11089655991919672,546
NRIP1,14961235,15065936,15013585,26597,0.43151793443486774,0.3367312834224602,524
USP25,15729982,15880064,15805023,26216,0.6721743385148106,0.024856873686499036,517
CXADR,17513043,17593579,17553311,29938,0.5637773344875606,0.027190075622397808,591
BTG3,17593653,17612945,17603299,29699,0.6051789679701908,0.04235915793062302,586
C21orf91,17788974,17819386,17804180,28206,0.5401972223267717,0.006945748075840057,557
CHODL,17901263,18267373,18084318,25993,0.5446949452369302,0.006867671691792298,512
TMPRSS15,18269116,18485879,18377497,26677,0.5718694719409838,0.006034330207043006,526
NCAM2,20998409,21543329,21270869,27829,0.47931800218299525,0.11712519319938172,549
MRPL39,25585656,25607517,25596586,24971,0.4553615115360005,0.14626836176799946,492
JAM2,25639258,25717562,25678410,25019,0.4517294591441153,0.13540514155548322,493
ATP5PF,25716503,25735673,25726088,24948,0.4557755278708268,0.13389579442261865,491
GABPA,25734570,25772460,25753515,25025,0.4553615115360005,0.14626836176799946,493
APP,25880535,26171128,26025831,25885,0.29652979035718324,0.5371189479976094,510
CYYR1,26466209,26573286,26519747,24851,0.3311189732394896,0.07041120141627102,490
ADAMTS1,26835755,26845409,26840582,25385,0.38465881290225457,0.401877761413844,500
ADAMTS5,26917922,26967088,26942505,25436,0.4092175091271782,0.21228220954762092,501
N6AMT1,28872191,28885371,28878781,24097,0.5010162219127554,0.12915084674260224,474
LTN1,28928144,28992956,28960550,24171,0.5722646693514999,0.022341082081876146,476
RWDD2B,29004384,29019360,29011872,24328,0.5722646693514999,0.022341082081876146,479
USP16,29024629,29054488,29039558,24485,0.5630622153637698,0.02146627322222682,482
CCT8,29055805,29073797,29064801,24421,0.4783017802702398,0.024746906636670393,481
MAP3K7CL,29077221,29175889,29126555,24338,0.4783017802702398,0.024746906636670393,479
BACH1,29194071,29630751,29412411,24191,0.47115058903233087,0.038364270901825884,476
GRIK1,29536933,29940033,29738483,25591,0.5722646693514999,0.022341082081876146,504
CLDN17,30165565,30166805,30166185,26117,0.54533478866348,0.008122978549388454,515
CLDN8,30214006,30216097,30215051,26126,0.5477247920508864,0.3189478266276973,515
KRTAP24-1,30281309,30282950,30282129,25965,0.5681245060032368,0.02226062626013248,512
KRTAP25-1,30289145,30289514,30289329,25937,0.5681245060032368,0.02226062626013248,511
KRTAP26-1,30319124,30320315,30319719,25869,0.5477247920508864,0.3189478266276973,510
KRTAP27-1,30337013,30337694,30337353,25902,0.6096202341074184,0.019055777650866162,511
KRTAP23-1,30348399,30348606,30348502,25906,0.6096202341074184,0.019055777650866162,511
KRTAP13-2,30371390,30372271,30371830,25855,0.5477247920508864,0.3189478266276973,510
KRTAP13-1,30396031,30396822,30396426,25717,0.5477247920508864,0.3189478266276973,507
KRTAP13-3,30425380,30425926,30425653,25647,0.5389175354736724,0.32497308252580903,505
KRTAP13-4,30430220,30431026,30430623,25698,0.5477247920508864,0.3189478266276973,506
KRTAP15-1,30440275,30440869,30440572,25729,0.6096202341074184,0.019055777650866162,507
KRTAP19-1,30479706,30480367,30480036,25564,0.5499830629681207,0.02341450931888939,504
KRTAP19-2,30487043,30487436,30487239,25561,0.5477247920508864,0.3189478266276973,504
KRTAP19-3,30491462,30492013,30491737,25548,0.5681245060032368,0.02226062626013248,503
KRTAP19-4,30496824,30497165,30496994,25596,0.6096202341074184,0.019055777650866162,504
KRTAP19-5,30501657,30502141,30501899,25581,0.5477247920508864,0.3189478266276973,504
KRTAP19-6,30541535,30541864,30541699,25464,0.5681245060032368,0.02226062626013248,502
KRTAP19-7,30560875,30561314,30561094,25423,0.5681245060032368,0.02226062626013248,501
KRTAP22-2,30590105,30590397,30590251,25519,0.6096202341074184,0.019055777650866162,503
KRTAP6-3,30592440,30593075,30592757,25506,0.5681245060032368,0.02226062626013248,503
KRTAP6-2,30598590,30598902,30598746,25510,0.5681245060032368,0.02226062626013248,503
KRTAP22-1,30601087,30601382,30601234,25496,0.5681245060032368,0.02226062626013248,502
KRTAP6-1,30613431,30613930,30613680,25481,0.5477247920508864,0.3189478266276973,502
KRTAP20-1,30616425,30616699,30616562,25502,0.5681245060032368,0.02226062626013248,503
KRTAP20-4,30620627,30620850,30620738,25486,0.5477247920508864,0.3189478266276973,502
KRTAP20-2,30635206,30635619,30635412,25472,0.5477247920508864,0.3189478266276973,502
KRTAP20-3,30642864,30643136,30643000,25431,0.5391433625653959,0.3254857287513448,501
KRTAP21-3,30718525,30718777,30718651,25442,0.5477247920508864,0.3189478266276973,501
KRTAP21-2,30746794,30747259,30747026,25418,0.5477247920508864,0.3189478266276973,501
KRTAP21-1,30755015,30755428,30755221,25331,0.552166058188114,0.31600838006038573,499
KRTAP8-1,30812697,30813274,30812985,25326,0.5477247920508864,0.3189478266276973,499
KRTAP7-1,30829039,30829759,30829399,25312,0.5521284203394935,0.31592407715535836,499
KRTAP11-1,30880644,30881580,30881112,25322,0.5389175354736724,0.32497308252580903,499
KRTAP19-8,31038159,31038476,31038317,25848,0.5389175354736724,0.32497308252580903,509
TIAM1,31118416,31559977,31339196,26567,0.41830704956904674,0.4333451673027428,524
SOD1,31659666,31668931,31664298,26892,0.44619669539689105,0.4390528597632151,530
SCAF4,31671000,31732118,31701559,26806,0.4627573487899433,0.43137648570510795,529
HUNK,31873020,32044633,31958826,25987,0.44619669539689105,0.4390528597632151,512
MIS18A,32268228,32279049,32273638,25188,0.4293349392148745,0.1851195414435478,496
MRAP,32291813,32314784,32303298,25048,0.413602318491475,0.19384215091066775,493
URB1,32311018,32393012,32352015,24755,0.4745191764838721,0.03588816945239168,488
CFAP298-TCP10L,32402511,32612865,32507688,24200,0.47384169520870195,0.1471672040534316,477
EVA1C,32412006,32515397,32463701,24260,0.47384169520870195,0.1471672040534316,478
TCP10L,32497967,32587373,32542670,24195,0.4745191764838721,0.03588816945239168,476
CFAP298,32592079,32612603,32602341,24064,0.47384169520870195,0.1471672040534316,474
SYNJ1,32628759,32728040,32678399,24180,0.47052956453009154,0.15136246104886295,476
PAXBP1,32733899,32771792,32752845,24424,0.4745191764838721,0.03588816945239168,481
C21orf62,32790673,32813743,32802208,24337,0.47056720237871213,0.1514749751408684,479
OLIG2,33025935,33029196,33027565,24310,0.47436862508939,0.14873563218390806,479
OLIG1,33070141,33072413,33071277,24129,0.47056720237871213,0.1514749751408684,475
IFNAR2,33205282,33265675,33235478,24370,0.4745191764838721,0.03588816945239168,480
IFNAR2-IL10RB,33229892,33297160,33263526,24510,0.47056720237871213,0.1514749751408684,483
IL10RB,33266367,33311420,33288893,24504,0.47436862508939,0.14873563218390806,483
IFNAR1,33324387,33359864,33342125,24518,0.39753095713049036,0.04163352707249922,483
IFNGR2,33403413,33479348,33441380,24894,0.39753095713049036,0.04163352707249922,490
TMEM50B,33432485,33479974,33456229,24970,0.3715984794309158,0.05123033481242434,492
DNAJC28,33488055,33491716,33489885,25163,0.4013888366140991,0.04121527567632993,496
GART,33503931,33543491,33523711,25154,0.3715796605066054,0.04651930056087098,496
SON,33543038,33577481,33560259,25285,0.39753095713049036,0.04163352707249922,498
DONSON,33559542,33588706,33574124,25267,0.3975685949791109,0.04175077995962558,498
ENSG00000249209,33584687,33931607,33758147,24835,0.3375362264292972,0.5379377431906617,489
CRYZL1,33589341,33643926,33616633,25167,0.3715796605066054,0.04651930056087098,496
ITSN1,33642400,33899861,33771130,24760,0.3375362264292972,0.5379377431906617,488
ATP5PO,33903453,33915814,33909633,23853,0.3968911137039406,0.3287028684827711,470
MRPS6,34073224,34143034,34108129,21790,0.36305468779404565,0.4106709781729994,428
SLC5A3,34073578,34106260,34089919,21786,0.38554330234483797,0.3140381601990967,428
KCNE2,34364006,34371381,34367693,22331,0.4049644322330536,0.44794233050460835,439
SMIM11,34375480,34416961,34396220,22240,0.4203959501674885,0.48494215313962763,437
C21orf140,34400112,34401072,34400592,22272,0.4033271858180586,0.11875176503812479,438
SMIM34,34418715,34423951,34421333,22234,0.4049644322330536,0.44794233050460835,437
KCNE1,34446688,34512214,34479451,22254,0.5130038766984079,0.24799465240641708,438
ENSG00000288711,34511122,34614913,34563017,22065,0.5130038766984079,0.24799465240641708,434
RCAN1,34513142,34615113,34564127,22084,0.5526741691444916,0.2842600839801502,434
CLIC6,34668994,34718227,34693610,22386,0.5526741691444916,0.2842600839801502,440
RUNX1,34787801,36004667,35396234,25168,0.5932101321088487,0.05093335585775824,496
SETD4,36034541,36079389,36056965,27172,0.579434679513719,0.052760549941449436,536
CBR1,36069941,36073166,36071553,27094,0.48492604162746056,0.07050445440617373,534
CBR3,36135079,36146562,36140820,27179,0.5139071850653016,0.28452324236030785,536
DOP1B,36156782,36294274,36225528,27623,0.4889909292784824,0.06330234617087206,545
MORC3,36320189,36386148,36353168,27886,0.464846249388385,0.32552024641274124,550
CHAF1B,36385392,36419015,36402203,28029,0.4633595543678723,0.2488061127029608,553
CLDN14,36460621,36576569,36518595,28076,0.4633595543678723,0.2488061127029608,554
SIM2,36699115,36749917,36724516,27523,0.47160224321577787,0.29299079299079306,543
HLCS,36748626,36990236,36869431,26863,0.48133162708419597,0.2978433760836855,530
RIPPLY3,37006150,37019662,37012906,26254,0.49666905039707926,0.2747621712367096,518
PIGP,37062846,37073170,37068008,26152,0.4633595543678723,0.2488061127029608,516
TTC3,37073226,37203112,37138169,26103,0.44687417667206136,0.07594592963611123,515
VPS26C,37223420,37267919,37245669,25474,0.39451992924084456,0.460599334073252,502
DYRK1A,37365573,37526358,37445965,25185,0.39260039896119536,0.45546218487394974,496
KCNJ6,37607373,38121345,37864359,24194,0.45387481651548806,0.09004568405866789,476
KCNJ15,38155549,38307357,38231453,24007,0.45387481651548806,0.09004568405866789,473
ERG,38380027,38661780,38520903,24890,0.5686890737325454,0.3992854822994478,490
ETS2,38805183,38824955,38815069,25680,0.519308216342354,0.41598346046909523,506
PSMG1,39174769,39183488,39179128,26304,0.5686890737325454,0.3992854822994478,519
BRWD1,39184176,39321559,39252867,26497,0.6553125823327939,0.3425371479263696,522
HMGN1,39342315,39349647,39345981,26800,0.6553125823327939,0.3425371479263696,529
GET1,39377698,39428528,39403113,27061,0.6553125823327939,0.3425371479263696,534
GET1-SH3BGR,39380332,39515506,39447919,26912,0.6553125823327939,0.3425371479263696,531
LCA5L,39405728,39445805,39425766,26900,0.5424931310926266,0.34522616422796815,531
SH3BGR,39445855,39515506,39480680,27188,0.6553125823327939,0.3425371479263696,536
B3GALT5,39556442,39673137,39614789,27376,0.6553125823327939,0.3425371479263696,540
IGSF5,39745183,39802081,39773632,28188,0.536922729496782,0.41410037555479673,556
PCP4,39867438,39929397,39898417,27964,0.6553125823327939,0.3425371479263696,552
DSCAM,40010999,40847158,40429078,28712,0.3578418457600963,0.10580987176731853,567
BACE2,41167801,41282530,41225165,27586,0.47636343106628015,0.029483845153546056,544
FAM3B,41304212,41357727,41330969,28174,0.4929240844593323,0.1534739694213276,556
MX2,41361999,41409393,41385696,28293,0.4726937408257745,0.01841228719467061,558
MX1,41420020,41470071,41445045,28367,0.4810869810681621,0.017977120029053925,560
TMPRSS2,41464300,41531116,41497708,28304,0.4929240844593323,0.1534739694213276,559
RIPK4,41739369,41767089,41753229,29112,0.359723738191125,0.06712177121771218,575
PRDM15,41798225,41879482,41838853,29812,0.5408558846776318,0.08053744215397556,589
C2CD2,41885112,41954018,41919565,30238,0.549870149422259,0.08221241236042585,597
ZBTB21,41986831,42010387,41998609,30274,0.5319357145545561,0.08224284028746107,598
UMODL1,42062959,42143453,42103206,30311,0.5408558846776318,0.08053744215397556,599
ABCG1,42199689,42297244,42248466,30028,0.5408558846776318,0.08053744215397556,593
TFF3,42311667,42315409,42313538,30109,0.5497007791034664,0.02024359512809743,595
TFF2,42346357,42350997,42348677,30087,0.5497007791034664,0.02024359512809743,594
TFF1,42362282,42366535,42364408,30217,0.5408558846776318,0.08053744215397556,597
TMPRSS3,42371887,42396091,42383989,30227,0.549870149422259,0.08221241236042585,597
UBASH3A,42403447,42447684,42425565,30286,0.5408558846776318,0.08053744215397556,598
