gene_name,gstart,gend,midpoint,n_seg,max_h12_500kb,max_h2h1_500kb,n_windows
OR4F21,166086,167024,166555,20393,0.5946930280957335,0.01543316121629375,400
ZNF596,232137,264703,248420,23816,0.5946930280957335,0.01543316121629375,469
FBXO25,406428,477967,442197,31007,0.5946930280957335,0.01543316121629375,613
TDRP,489803,545781,517792,33944,0.5946930280957335,0.01543316121629375,671
ERICH1,614746,738106,676426,40652,0.5946930280957335,0.01543316121629375,806
DLGAP2,737628,1708476,1223052,44619,0.48485374031679973,0.27083796399199817,885
CLN8,1755778,1801711,1778744,44057,0.5242224534628281,0.02544667027612346,874
KBTBD11-OT1,1763888,1958627,1861257,40994,0.5242224534628281,0.02544667027612346,812
ARHGEF10,1823926,1958641,1891283,40924,0.5245693143716037,0.026237489856640532,811
KBTBD11,1973677,2006936,1990306,37683,0.5245693143716037,0.026237489856640532,746
MYOM2,2045046,2165552,2105299,37016,0.5245693143716037,0.026237489856640532,733
CSMD1,2935353,4994972,3965162,66767,0.48762862758700437,0.29125138427464003,1328
MCPH1,6406592,6648508,6527550,44702,0.6382818822985316,0.30424325717230716,887
ANGPT2,6499632,6563409,6531520,44699,0.5368250664816743,0.22650878533231475,886
AGPAT5,6708642,6761503,6735072,42680,0.45987975488495775,0.12358658996230913,846
XKR5,6808517,6835524,6822020,39368,0.48560527228581346,0.16218130311614729,780
DEFB1,6870592,6877936,6874264,38354,0.6183373800439357,0.005681818181818184,760
DEFA6,6924697,6926076,6925386,38116,0.6183373800439357,0.005681818181818184,755
DEFA4,6935820,6938306,6937063,37888,0.5696034223609665,0.05237890513040988,750
DEFA1,6977649,6980092,6978870,37377,0.6352179442710139,0.0053275453827940035,740
DEFA1B,6996766,6999198,6997982,37184,0.5696034223609665,0.05237890513040988,736
DEFA3,7015869,7018297,7017083,36747,0.5696034223609665,0.05237890513040988,727
DEFA5,7055304,7056739,7056021,36048,0.5776968435657301,0.05145918511208235,713
FAM90A15,7256904,7259914,7258409,30258,0.6183373800439357,0.005681818181818184,598
FAM90A3,7264526,7267536,7266031,29981,0.6352179442710139,0.0053275453827940035,592
FAM90A13,7279770,7282780,7281275,29487,0.5776968435657301,0.05145918511208235,582
FAM90A5,7287392,7290402,7288897,29344,0.5776968435657301,0.05145918511208235,579
FAM90A20,7295014,7298024,7296519,29116,0.5696034223609665,0.05237890513040988,575
DEFB109B,7312722,7320096,7316409,28893,0.6183373800439357,0.005681818181818184,570
USP17L1,7332387,7333979,7333183,28605,0.5696034223609665,0.05237890513040988,565
USP17L4,7337115,7338707,7337911,28553,0.6183373800439357,0.005681818181818184,564
ZNF705G,7355517,7385558,7370537,27304,0.5776968435657301,0.05145918511208235,539
DEFB108C,7373114,7377500,7375307,27165,0.6352179442710139,0.0053275453827940035,536
DEFB4B,7414855,7416863,7415859,26123,0.5696034223609665,0.05237890513040988,515
DEFB103B,7428888,7430348,7429618,25681,0.5696034223609665,0.05237890513040988,506
SPAG11B,7442684,7463674,7453179,25098,0.5776968435657301,0.05145918511208235,494
DEFB104B,7470308,7475082,7472695,24339,0.6183373800439357,0.005681818181818184,479
DEFB106B,7482504,7486400,7484452,23940,0.6183373800439357,0.005681818181818184,471
DEFB105B,7487679,7489593,7488636,23952,0.6183373800439357,0.005681818181818184,472
