chr,gene_name,gstart,gend,n_windows,max_h12
7,FAM20C,192571,260772,24,0.014233241505968781
7,FOXL3,290170,294422,1,0.007754310784613817
7,PDGFA,497258,520296,6,0.00969288848076727
7,PRKAR1B,549197,727650,49,0.021375369860218346
7,DNAAF5,726699,786475,16,0.01719212325272932
7,SUN1,816615,896435,21,0.019130700948882775
7,GET4,876554,896436,7,0.011427405366799311
7,ADAP1,897900,955407,19,0.010509131721252937
7,COX19,898778,975549,24,0.01408019589837772
7,CYP2W1,983181,989640,1,0.012447709417406388
7,C7orf50,996986,1138260,47,0.017039077645138255
7,GPR146,1044546,1059261,4,0.006836037139067446
7,GPER1,1082208,1093815,2,0.017039077645138255
7,ZFAND2A,1152071,1160759,3,0.011223344556677891
7,MICALL2,1428465,1459470,8,0.016579940822365063
7,INTS1,1470277,1504389,8,0.019130700948882775
7,MAFK,1530702,1543043,2,0.012141618202224265
7,TMEM184A,1542235,1560821,4,0.010917253341495766
7,PSMG3,1567332,1571005,1,0.008978675645342313
7,ELFN1,1665745,1747946,15,0.011886542189572493
7,MAD1L1,1815793,2233243,99,0.025150494847464542
7,ENSG00000286192,1815804,2242215,101,0.025150494847464542
7,MRM2,2234195,2242205,2,0.016426895214774
7,NUDT1,2242226,2251146,2,0.01249872461993674
7,SNX8,2251770,2354318,27,0.024997449239873487
7,EIF3B,2354086,2380745,8,0.026731966125905518
7,CHST12,2403588,2448484,9,0.01295786144270993
7,GRIFIN,2474728,2476894,1,0.013927150290786654
7,LFNG,2512529,2529177,2,0.0070400979491888616
7,BRAT1,2537810,2555694,4,0.012396694214876037
7,IQCE,2558972,2614733,17,0.02050811141720233
7,TTYH3,2631961,2664802,7,0.012294663809815327
7,AMZ1,2679522,2775500,29,0.0233139475563718
7,GNA12,2721822,2870786,39,0.024232221201918175
7,CARD11,2906142,3044228,38,0.018875624936230996
7,SDK1,3301252,4269000,265,0.04412815018875626
7,FOXK1,4682295,4771442,25,0.01800836649321498
7,AP5Z1,4775615,4794397,7,0.02816039179675544
7,RADIL,4797055,4883716,25,0.01841648811345781
