chr,gene_name,gstart,gend,n_windows,max_h12
3,CHL1,196763,409417,56,0.01846750331598817
3,CNTN6,1092658,1404217,84,0.031017243138455268
3,CNTN4,2098813,3057959,231,0.04780124477094175
3,IL5RA,3066324,3126613,15,0.014692378328741967
3,TRNT1,3126933,3153435,7,0.026323844505662695
3,CRBN,3144628,3179727,8,0.026833996530966235
3,SUMF1,3700814,4467273,184,0.039077645138251196
3,LRRN1,3799431,3849834,9,0.012243648607284972
3,SETMAR,4303332,4317265,2,0.01657994082236507
3,ITPR1,4493345,4847506,72,0.031170288746046323
3,BHLHE40,4979437,4985323,1,0.012396694214876035
3,ARL8B,5122249,5180911,10,0.020253035404550562
3,EDEM1,5187646,5219958,5,0.012753800632588512
3,GRM7,6770001,7741533,207,0.03402714008774615
3,LMCD1,8501807,8574668,13,0.021171309050096933
3,SSUH2,8619386,8745040,32,0.013927150290786654
3,CAV3,8733802,8841808,25,0.029894908682787474
3,OXTR,8750381,8769628,4,0.008876645240281604
3,RAD18,8775402,8963773,41,0.03101724313845527
3,SRGAP3,8980591,9363053,65,0.018314457708397104
3,THUMPD3,9362971,9386791,3,0.013519028670543828
3,SETD5,9397615,9479240,11,0.01020304050607081
3,LHFPL4,9498361,9553822,11,0.015049484746454444
3,MTMR14,9649433,9702393,8,0.012039587797163555
3,CPNE9,9703826,9729908,4,0.008417508417508419
3,BRPF1,9731729,9748019,1,0.008366493214978066
3,OGG1,9749944,9788219,6,0.017396184062850734
3,CAMK1,9757347,9769992,2,0.012294663809815327
3,TADA3,9779967,9793011,2,0.017396184062850734
3,ARPC4,9792495,9807101,3,0.013825119885725951
3,ARPC4-TTLL3,9793082,9835401,8,0.013825119885725951
3,TTLL3,9808086,9855138,10,0.013672074278134888
3,RPUSD3,9837849,9844602,1,0.011223344556677891
3,CIDEC,9866711,9880255,2,0.011988572594633203
3,JAGN1,9890574,9894349,1,0.012702785430058157
3,IL17RE,9902612,9916402,3,0.014029180695847366
3,IL17RC,9917074,9933630,4,0.009488827670645853
3,ENSG00000288550,9917116,9945385,6,0.009488827670645853
3,CRELD1,9933793,9945413,2,0.00918273645546373
3,PRRT3,9939450,9952408,2,0.00918273645546373
3,EMC3,9962682,10011202,9,0.01596775839200082
3,FANCD2,10026370,10101932,15,0.013927150290786654
3,FANCD2OS,10081317,10108255,4,0.014947454341393735
3,BRK1,10115675,10127190,3,0.021936537088052238
3,VHL,10141778,10153667,4,0.015712682379349054
3,IRAK2,10164919,10243745,18,0.014692378328741967
3,TATDN2,10248023,10281218,7,0.018059381695745336
3,ENSG00000272410,10249372,10285796,8,0.018059381695745336
3,GHRL,10285666,10292947,1,0.011784511784511786
3,SEC13,10293131,10321112,5,0.011376390164268953
3,ATP2B2,10324023,10708007,71,0.03448627691051934
3,SLC6A11,10816201,10940714,18,0.02652790531578411
3,SLC6A1,10992186,11039247,8,0.01479440873380268
3,HRH1,11137093,11263557,24,0.013468013468013471
3,ATG7,11272309,11557665,50,0.02106927864503623
3,VGLL4,11556069,11771350,48,0.023824099581675345
3,TAMM41,11790442,11846919,12,0.027395163758800127
3,SYN2,12004388,12192032,27,0.047444138353229276
3,TIMP4,12153068,12158912,1,0.03474135292317111
3,PPARG,12287368,12434356,21,0.033363942454851546
3,TSEN2,12484421,12541549,9,0.035098459340883584
3,MKRN2OS,12514934,12561059,7,0.018671564126109583
3,MKRN2,12557057,12586208,5,0.011325374961738598
3,RAF1,12582101,12664201,16,0.02224262830323437
3,TMEM40,12733528,12769457,8,0.014743393531272322
3,CAND2,12796472,12834804,9,0.02203856749311295
3,ENSG00000289809,12825768,12871919,10,0.026578920518314463
3,RPL32,12834485,12841582,1,0.015406591164166922
3,IQSEC1,12897043,13283281,71,0.03341495765738191
3,NUP210,13316235,13420322,16,0.029792878277726767
3,HDAC11,13479724,13506424,4,0.008876645240281606
3,FBLN2,13549125,13638422,19,0.01601877359453117
3,WNT7A,13816258,13880071,14,0.022497704315886137
3,CHCHD4,14112077,14124870,2,0.0137741046831956
3,TMEM43,14125015,14143680,3,0.0182124273033364
3,ENSG00000268279,14135217,14148252,2,0.0182124273033364
3,XPC,14145147,14178621,5,0.03647586980920314
3,LSM3,14178817,14201122,3,0.0214263850627487
3,SLC6A6,14402576,14489349,15,0.01168248137945108
3,GRIP2,14489107,14556075,12,0.014233241505968778
3,CCDC174,14651762,14672659,4,0.029894908682787477
3,C3orf20,14675141,14773036,16,0.014182226303438426
3,FGD5,14810853,14934571,23,0.05453525150494848
3,NR2C2,14947583,15053600,16,0.03489439853076217
3,MRPS25,15009611,15065339,8,0.04667891031527396
3,RBSN,15070073,15099163,3,0.03305785123966942
3,CAPN7,15206152,15252916,8,0.02285481073359862
3,SH3BP5,15254353,15341368,18,0.016222834404652588
3,METTL6,15381275,15440566,11,0.03321089684726048
3,EAF1,15427598,15450635,4,0.02591572288541986
