chr,gene_name,gstart,gend,n_windows,max_h12
21,TPTE,10521553,10606140,16,0.013538027411986025
21,LIPI,14108813,14210955,16,0.06984009674818598
21,RBM11,14216130,14228372,2,0.08687180865358776
21,HSPA13,14371115,14383484,2,0.09271701155603332
21,SAMSN1,14485228,14658821,22,0.10675893576995432
21,NRIP1,14961235,15065936,12,0.049986562751948405
21,USP25,15729982,15880064,15,0.0709150765923139
21,CXADR,17513043,17593579,13,0.04444369793066379
21,BTG3,17593653,17612945,2,0.04897876914807847
21,C21orf91,17788974,17819386,2,0.011388067723730178
21,CHODL,17901263,18267373,45,0.03624697661918838
21,TMPRSS15,18269116,18485879,25,0.036918839021768346
21,NCAM2,20998409,21543329,73,0.06144181671593658
21,MRPL39,25585656,25607517,4,0.03315640956732062
21,JAM2,25639258,25717562,8,0.06349099704380542
21,ATP5PF,25716503,25735673,1,0.0376242945444773
21,GABPA,25734570,25772460,3,0.053547433485622145
21,APP,25880535,26171128,33,0.05935904326793871
21,CYYR1,26466209,26573286,11,0.025161246976619193
21,ADAMTS1,26835755,26845409,1,0.013067723730180059
21,ADAMTS5,26917922,26967088,5,0.08452029024455791
21,N6AMT1,28872191,28885371,2,0.1221109916689062
21,LTN1,28928144,28992956,5,0.09348965331900026
21,RWDD2B,29004384,29019360,1,0.04914673474872346
21,USP16,29024629,29054488,2,0.05532786885245901
21,CCT8,29055805,29073797,1,0.05344665412523516
21,MAP3K7CL,29077221,29175889,12,0.06994087610857297
21,BACH1,29194071,29630751,40,0.06335662456328944
21,GRIK1,29536933,29940033,47,0.06335662456328944
21,KRTAP25-1,30289145,30289514,1,0.06651437785541521
21,KRTAP15-1,30440275,30440869,1,0.04948266595001344
21,TIAM1,31118416,31559977,59,0.05112872883633432
21,SOD1,31659666,31668931,1,0.054891158290782054
21,SCAF4,31671000,31732118,8,0.0528419779629132
21,HUNK,31873020,32044633,25,0.05929185702768073
21,MIS18A,32268228,32279049,1,0.022238645525396398
21,MRAP,32291813,32314784,2,0.028117441547970974
21,URB1,32311018,32393012,6,0.030099435635581828
21,CFAP298-TCP10L,32402511,32612865,30,0.06171056167696856
21,EVA1C,32412006,32515397,16,0.06171056167696856
21,TCP10L,32497967,32587373,11,0.054118516527815116
21,CFAP298,32592079,32612603,3,0.04881080354743349
21,SYNJ1,32628759,32728040,5,0.026471378661650096
21,PAXBP1,32733899,32771792,1,0.016393442622950817
21,C21orf62,32790673,32813743,2,0.010951357162053211
21,OLIG1,33070141,33072413,1,0.019887127116366567
21,IFNAR2,33205282,33265675,9,0.05307712980381618
21,IFNAR2-IL10RB,33229892,33297160,9,0.026135447460360117
21,IL10RB,33266367,33311420,6,0.07138538027411985
21,IFNAR1,33324387,33359864,5,0.06204649287825853
21,IFNGR2,33403413,33479348,10,0.06459957000806235
21,TMEM50B,33432485,33479974,7,0.06459957000806235
21,DNAJC28,33488055,33491716,1,0.031947057242676706
21,GART,33503931,33543491,4,0.025463585057780163
21,SON,33543038,33577481,2,0.022473797366299383
21,DONSON,33559542,33588706,3,0.022473797366299383
21,ENSG00000249209,33584687,33931607,33,0.03601182477828541
21,CRYZL1,33589341,33643926,4,0.027277613544746032
21,ITSN1,33642400,33899861,25,0.03601182477828541
21,ATP5PO,33903453,33915814,2,0.026504971781779088
21,MRPS6,34073224,34143034,5,0.040009406073636115
21,SLC5A3,34073578,34106260,2,0.02207067992475141
21,KCNE2,34364006,34371381,1,0.008868583714055361
21,KCNE1,34446688,34512214,2,0.011488847084117172
21,ENSG00000288711,34511122,34614913,17,0.05297635044342919
21,RCAN1,34513142,34615113,17,0.05297635044342919
21,CLIC6,34668994,34718227,7,0.08529293200752487
21,RUNX1,34787801,36004667,146,0.14354340231120666
21,SETD4,36034541,36079389,5,0.05411851652781511
21,CBR3,36135079,36146562,2,0.03564230045686644
21,DOP1B,36156782,36294274,23,0.056839559258263915
21,MORC3,36320189,36386148,9,0.030704111797903787
21,CHAF1B,36385392,36419015,5,0.03863208814834722
21,CLDN14,36460621,36576569,17,0.05942622950819672
21,SIM2,36699115,36749917,6,0.012597420048374091
21,HLCS,36748626,36990236,30,0.07067992475141091
21,RIPPLY3,37006150,37019662,2,0.048273313625369525
21,PIGP,37062846,37073170,1,0.03409701693093255
21,TTC3,37073226,37203112,14,0.057444235420585875
21,VPS26C,37223420,37267919,4,0.023515184090298305
21,DYRK1A,37365573,37526358,17,0.062113679118516535
21,KCNJ6,37607373,38121345,53,0.05116232195646331
21,KCNJ15,38155549,38307357,16,0.08300859983875303
21,ERG,38380027,38661780,32,0.08008599838753024
21,ETS2,38805183,38824955,2,0.037288363343187324
21,PSMG1,39174769,39183488,1,0.03947191615157216
21,BRWD1,39184176,39321559,20,0.0736361193227627
21,HMGN1,39342315,39349647,2,0.032081429723192695
21,GET1,39377698,39428528,6,0.03379467884977157
21,GET1-SH3BGR,39380332,39515506,16,0.07041117979037892
21,LCA5L,39405728,39445805,4,0.04118516527815104
21,SH3BGR,39445855,39515506,9,0.07041117979037892
21,B3GALT5,39556442,39673137,14,0.04629131953775866
21,IGSF5,39745183,39802081,11,0.13050927170115562
21,PCP4,39867438,39929397,10,0.018845740392367645
21,DSCAM,40010999,40847158,114,0.07746573501746844
21,BACE2,41167801,41282530,11,0.03638134909970439
21,FAM3B,41304212,41357727,5,0.02952835259338887
21,MX2,41361999,41409393,5,0.04242811072292395
21,MX1,41420020,41470071,8,0.07430798172534264
21,TMPRSS2,41464300,41531116,9,0.04753426498253158
21,RIPK4,41739369,41767089,3,0.04000940607363612
21,PRDM15,41798225,41879482,14,0.09385917764041925
21,C2CD2,41885112,41954018,10,0.0720908357968288
21,ZBTB21,41986831,42010387,3,0.08431873152378391
21,UMODL1,42062959,42143453,12,0.04498118785272777
21,ABCG1,42199689,42297244,12,0.042562483203439944
21,TFF1,42362282,42366535,1,0.04783660306369256
21,TMPRSS3,42371887,42396091,4,0.02956194571351787
21,UBASH3A,42403447,42447684,5,0.08206799247514107
21,RSPH1,42472486,42496246,2,0.05589895189465199
21,SLC37A1,42496008,42581440,11,0.1360857296425692
