gene_id,gene_name,chr,start,end,min_rank,min_pop,max_rank,rank_range,is_sd
ENSG00000181903.7,OR4C6,11,55662201,55666195,0.0005278158978148,LWK,0.0018533227429176,0.0013255068451028,False
ENSG00000104177.20,MYEF2,15,48134632,48178353,0.0007422330611812,GBR,0.1622023020208985,0.1614600689597173,False
ENSG00000233932.6,CTXN2,15,48178122,48203758,0.0007952497084084,GBR,0.2981300467488312,0.2973347970404228,False
ENSG00000188467.11,SLC24A5,15,48120990,48142672,0.0009012830028628,GBR,0.2943298148835729,0.29342853188071,False
ENSG00000203760.9,CENPW,6,126340115,126348875,0.0009547552113721,CHB,0.0890088373815949,0.0880540821702227,False
ENSG00000171241.9,SHCBP1,16,46578591,46621379,0.0014868309260832,JPT,0.008552874716224,0.0070660437901408,False
ENSG00000168283.14,BMI1,10,22321099,22331484,0.0017480665324716,GIH,0.0208487279636862,0.0191006614312146,False
ENSG00000269897.5,COMMD3-BMI1,10,22316388,22329542,0.0018010382455768,GIH,0.0362081705900981,0.0344071323445213,False
ENSG00000077327.16,SPAG6,10,22345445,22454224,0.0019566367001586,ITU,0.3411646692360487,0.3392080325358901,False
ENSG00000121988.18,ZRANB3,2,135136916,135531218,0.0019579827485844,CEU,0.4043597593159506,0.4024017765673661,False
ENSG00000121270.16,ABCC11,16,48165773,48247568,0.0019625523789317,CHB,0.259173222110765,0.2572106697318332,False
ENSG00000148444.16,COMMD3,10,22316386,22320306,0.002016129032258,FIN,0.0946901720679826,0.0926740430357246,False
ENSG00000159763.4,PIP,7,143132077,143139739,0.0020186995325116,CDX,0.415857775902089,0.4138390763695773,False
ENSG00000115866.11,DARS1,2,135905881,135986100,0.0020638196539133,CEU,0.5906274821286736,0.5885636624747602,False
ENSG00000225697.13,SLC26A6,3,48625723,48635493,0.0022248119504184,GIH,0.0812836482634856,0.0790588363130672,False
ENSG00000038358.15,EDC4,16,67873052,67884499,0.0022277621598684,CHB,0.0553678876807769,0.0531401255209084,False
ENSG00000173020.11,GRK2,11,67266473,67286556,0.0022777836635236,GIH,0.1335310001588394,0.1312532164953157,False
ENSG00000008300.17,CELSR3,3,48636463,48662886,0.0023791900179761,STU,0.022312910748357,0.0199337207303809,False
ENSG00000102910.14,LONP2,16,48244300,48363122,0.0023868880284304,CHB,0.0950319412913784,0.092645053262948,False
ENSG00000149476.16,TKFC,11,61333220,61353295,0.0024874305371791,MXL,0.1881726102553281,0.185685179718149,False
ENSG00000102893.18,PHKB,16,47461123,47701523,0.0024884841425319,PEL,0.0207959463739047,0.0183074622313728,False
ENSG00000141084.12,RANBP10,16,67723070,67806560,0.0024929719408051,CHB,0.2763116225060699,0.2738186505652647,False
ENSG00000168701.19,TMEM208,16,67227103,67229278,0.0025416997617156,CHS,0.1050102951269732,0.1024685953652575,False
ENSG00000140798.17,ABCC12,16,48080882,48156018,0.0025488530161427,JPT,0.1263924819175333,0.1238436289013906,False
ENSG00000171208.10,NETO2,16,47077703,47143945,0.002647323555885,PEL,0.0461311094690172,0.0434837859131322,False
ENSG00000159761.15,C16orf86,16,67666814,67668757,0.0026520978093672,CHB,0.045521835677276,0.0428697378679088,False
ENSG00000128000.17,ZNF780B,19,40028260,40056231,0.0026528013582342,FIN,0.1233303415870334,0.1206775402287991,False
ENSG00000198075.10,SULT1C4,2,108377911,108388989,0.0027051397655545,CHB,0.6558952426210465,0.653190102855492,False
ENSG00000183396.4,TMEM89,3,48620759,48621769,0.0027545290814704,GIH,0.1002322389950385,0.097477709913568,False
ENSG00000124074.12,ENKD1,16,67662945,67667265,0.0027581817217418,CHB,0.054945634962525,0.0521874532407831,False
ENSG00000115839.20,RAB3GAP1,2,135052289,135176667,0.0028046779912155,CEU,0.4102185157816953,0.4074138377904798,False
ENSG00000109133.14,TMEM33,4,41935129,41960803,0.0028143585386576,JPT,0.2463316795101868,0.2435173209715292,False
ENSG00000162144.10,CYB561A3,11,61348754,61362283,0.002865025466893,FIN,0.2639269888162059,0.2610619633493129,False
ENSG00000159713.11,TPPP3,16,67389809,67393518,0.0028674596431605,JPT,0.1093923235309645,0.106524863887804,False
ENSG00000177352.10,CCDC71,3,49162535,49166331,0.0028686782830429,CDX,0.1538868603482034,0.1510181820651605,False
ENSG00000048991.18,R3HDM1,2,135531455,135725270,0.0029105148965444,CEU,0.500185312648912,0.4972747977523675,False
ENSG00000197782.15,ZNF780A,19,40069152,40090943,0.0029120559114735,PEL,0.4211498864896257,0.4182378305781522,False
ENSG00000165832.6,TRUB1,10,114938195,114977676,0.0029149883400466,KHV,0.5648871069845959,0.5619721186445492,False
ENSG00000171552.14,BCL2L1,20,31664452,31723989,0.0029205607476635,JPT,0.2232067062818336,0.22028614553417,False
ENSG00000185909.15,KLHDC8B,3,49171598,49176486,0.0029218019549511,CDX,0.1834153569349632,0.1804935549800121,False
