chr,gene_name,gstart,gend,n_windows,max_h12
7,FAM20C,192571,260772,17,0.01353830028823478
7,FOXL3,290170,294422,1,0.005764695606603198
7,PDGFA,497258,520296,5,0.007642588872390601
7,PRKAR1B,549197,727650,32,0.015285177744781202
7,DNAAF5,726699,786475,10,0.01829854135732378
7,SUN1,816615,896435,14,0.017730806183946193
7,GET4,876554,896436,4,0.01214079832299764
7,ADAP1,897900,955407,13,0.010219233120796575
7,COX19,898778,975549,17,0.010219233120796575
7,CYP2W1,983181,989640,1,0.011616735086033714
7,C7orf50,996986,1138260,28,0.023801205345445015
7,GPR146,1044546,1059261,2,0.00969516988383265
7,GPER1,1082208,1093815,2,0.009957201502314612
7,ZFAND2A,1152071,1160759,1,0.010524936675692199
7,UNCX,1232872,1237326,1,0.007031181762599354
7,MICALL2,1428465,1459470,6,0.009520482138178006
7,INTS1,1470277,1504389,6,0.015110489999126557
7,MAFK,1530702,1543043,2,0.010437592802864878
7,TMEM184A,1542235,1560821,3,0.009083762774041399
7,ELFN1,1665745,1747946,10,0.013581972224648438
7,MAD1L1,1815793,2233243,73,0.040003493754913085
7,ENSG00000286192,1815804,2242215,75,0.040003493754913085
7,MRM2,2234195,2242205,2,0.010175561184382913
7,NUDT1,2242226,2251146,2,0.012009782513756659
7,SNX8,2251770,2354318,18,0.011048999912656125
7,EIF3B,2354086,2380745,5,0.007817276618045245
7,CHST12,2403588,2448484,6,0.008865403091973098
7,GRIFIN,2474728,2476894,1,0.009913529565900952
7,LFNG,2512529,2529177,2,0.006201414970739803
7,BRAT1,2537810,2555694,3,0.007555244999563281
7,IQCE,2558972,2614733,11,0.01056860861210586
7,TTYH3,2631961,2664802,4,0.006026727225085161
7,AMZ1,2679522,2775500,18,0.019259323958424314
7,GNA12,2721822,2870786,24,0.022054327888898592
7,CARD11,2906142,3044228,24,0.010961656039828804
7,SDK1,3301252,4269000,161,0.057166564765481695
7,FOXK1,4682295,4771442,12,0.006507118525635428
7,AP5Z1,4775615,4794397,3,0.010830640230587824
7,RADIL,4797055,4883716,16,0.017599790374705215
7,PAPOLB,4857738,4862030,1,0.010088217311555592
7,MMD2,4905989,4959213,8,0.008778059219145776
7,RBAK-RBAKDN,4983718,5073221,15,0.00986985762948729
7,RBAK,5045821,5069487,3,0.009476810201764345
7,WIPI2,5190196,5233840,7,0.014368067080094329
7,SLC29A4,5274369,5306912,7,0.009258450519696041
7,TNRC18,5306790,5425414,20,0.007380557253908638
7,FBXL18,5431335,5513809,17,0.009302122456109703
7,ACTB,5526409,5563902,7,0.007293213381081317
7,FSCN1,5592816,5606655,2,0.0068564940169447116
7,RNF216,5620047,5781696,20,0.009607826011005325
7,OCM,5879827,5886363,1,0.008821731155559438
7,CCZ1,5898725,5926550,8,0.006157743034326142
7,RSPH10B,5925550,5970689,5,0.004803913005502664
7,PMS2,5970925,6009130,6,0.01214079832299764
7,AIMP2,6009255,6023834,3,0.025329723119923132
7,EIF2AK1,6022247,6059175,5,0.01768713424753253
7,USP42,6104949,6161564,8,0.019608699449733598
7,CYTH3,6161779,6272644,14,0.010000873438728273
7,SAGSIN1,6329411,6348967,5,0.005721023670189537
7,FAM220A,6329411,6348981,5,0.005721023670189537
7,RAC1,6374527,6403967,7,0.014280723207267008
7,DAGLB,6409126,6484190,14,0.012359158005065943
7,KDELR2,6445953,6484190,7,0.007729932745217923
7,GRID2IP,6496778,6551461,8,0.00904009083762774
7,ZDHHC4,6577434,6589374,1,0.013538300288234776
7,INTS15,6590021,6608726,3,0.011180015721897106
7,ZNF853,6615610,6624290,1,0.009040090837627739
7,ZNF316,6637318,6658279,3,0.006332430779980785
7,ZNF12,6688433,6706947,2,0.013319940606166475
7,RSPH10B2,6754103,6799365,3,0.004716569132675343
7,CCZ1B,6794134,6826770,5,0.005677351733775877
7,C1GALT1,7156934,7248616,13,0.05314874661542492
7,COL28A1,7356203,7535873,26,0.0540658572801118
7,MIOS,7566875,7608932,6,0.0231461262992401
7,RPA3,7636518,7718607,11,0.01751244650187789
7,UMAD1,7640711,7968020,50,0.019565027513319934
7,GLCCI1,7968796,8094272,16,0.016507991964363696
7,ICA1,8113184,8262687,22,0.014761114507817275
7,NXPH1,8433609,8752961,49,0.05555070311817625
7,NDUFA4,10931943,10940153,1,0.011092671849069785
7,PHF14,10973336,11169623,21,0.021704952397589305
7,THSD7A,11370365,11832198,62,0.049480303956677435
7,TMEM106B,12211270,12243367,6,0.02930386933356625
7,VWDE,12330885,12403941,12,0.024019565027513318
7,ENSG00000226690,12469621,12542222,15,0.026072146038955364
7,SCIN,12570577,12660182,13,0.013276268669752816
7,ETV1,13891229,13991425,15,0.012839549305616208
7,DGKB,14145049,14974777,113,0.0336710629749323
7,AGMO,15200317,15562015,47,0.015721897108917807
7,MEOX2,15611212,15686683,9,0.018997292339942348
7,CRPPA,16087525,16502504,51,0.018604244912219407
7,SOSTDC1,16461481,16530580,10,0.011398375403965409
7,LRRC72,16526825,16581568,7,0.008821731155559434
7,ANKMY2,16599779,16645817,6,0.007817276618045245
7,BZW2,16646131,16706523,8,0.01209712638658398
7,TSPAN13,16753755,16784536,4,0.007336885317494978
7,AGR2,16791811,16833433,7,0.02449995632806358
7,AGR3,16859412,16881987,4,0.010306576993623896
7,AHR,16916359,17346152,45,0.015678225172504147
7,ENSG00000283321,17299295,17467234,15,0.019608699449733598
7,SNX13,17790761,17940501,14,0.016857367455672984
7,PRPS1L1,18026770,18027846,1,0.013145252860511835
7,HDAC9,18086949,19002416,92,0.013057908987684512
7,TWIST1,19020991,19117636,10,0.00834133985500917
7,FERD3L,19144782,19145421,1,0.005721023670189537
7,POLR1F,19695461,19709037,1,0.009695169883832646
7,TMEM196,19719315,19773617,6,0.02471831601013188
7,MACC1,20134655,20217404,10,0.01930299589483797
7,ITGB8,20330702,20415754,11,0.020613153987247786
7,ABCB5,20615667,20777038,26,0.01677002358284566
7,SP8,20782279,20786886,1,0.0051096165603982885
7,SP4,21428043,21514822,12,0.016245960345881733
7,DNAH11,21543039,21901839,58,0.016376976155122715
7,CDCA7L,21900899,21945903,6,0.016857367455672984
7,RAPGEF5,22118236,22357154,28,0.010088217311555594
7,STEAP1B,22419444,22727613,37,0.01834221329373744
7,TOMM7,22812628,22822849,2,0.014237051270853347
7,HYCC1,22889371,23014130,14,0.011398375403965409
