chr,gene_name,gstart,gend,n_windows,max_h12
11,BET1L,167784,207399,3,0.006641709938413235
11,RIC8A,207708,215113,1,0.006702089119671538
11,SIRT3,215030,236931,4,0.01672503320854969
11,PSMD13,236966,252984,3,0.01461176186450912
11,NLRP6,278407,285388,1,0.006400193213380027
11,PGGHG,289126,296107,1,0.006037918125830214
11,IFITM5,298200,299526,1,0.005856780582055308
11,IFITM2,303655,309397,1,0.00591715976331361
11,IFITM3,319676,329475,1,0.00591715976331361
11,B4GALNT4,369499,382117,1,0.005977538944571913
11,PKP3,392614,404908,2,0.006702089119671538
11,SIGIRR,405715,417455,2,0.006641709938413235
11,ANO9,417933,442011,3,0.0075473976572877684
11,PTDSS2,448268,491399,6,0.008090810288612488
11,RNH1,494512,507300,2,0.007970051926095883
11,HRAS,532242,537321,1,0.01612124139596667
11,LRRC56,537527,554912,3,0.02409129332206255
11,LMNTD2,554850,560738,1,0.021313850984180656
11,PHRF1,576470,612222,5,0.012015457070402125
11,CDHR5,616577,626078,2,0.006279434850863422
11,DRD4,637269,640706,1,0.006158676488346819
11,DEAF1,644233,707118,9,0.010083323270136457
11,EPS8L2,694438,727727,5,0.008392706194903999
11,TMEM80,695591,705028,2,0.008392706194903999
11,TALDO1,747415,765012,2,0.013947590870667796
11,GATD1,767220,777488,1,0.00929839391377853
11,SLC25A22,790475,798281,1,0.008332327013645696
11,PIDD1,799179,809753,1,0.007366260113512862
11,PNPLA2,818914,825573,1,0.008332327013645696
11,CRACR2B,826144,831991,1,0.007366260113512862
11,CD151,832887,839831,1,0.007305880932254559
11,TSPAN4,842812,867116,2,0.009539910638811738
11,CHID1,867859,915058,5,0.010264460813911365
11,AP2A2,924881,1012245,11,0.013404178239343072
11,MUC6,1012823,1036718,3,0.007366260113512862
11,MUC2,1074875,1110511,8,0.009600289820070041
11,MUC5AC,1157953,1201138,10,0.010264460813911363
11,MUC5B,1223066,1262172,9,0.04413718149981886
11,TOLLIP,1274371,1309654,3,0.014732520227025722
11,BRSK2,1389899,1462689,12,0.011472044439077407
11,MOB2,1469457,1501247,3,0.011411665257819104
11,DUSP8,1554051,1572271,2,0.010264460813911363
11,KRTAP5-5,1629775,1630930,1,0.015275932858350442
11,IFITM10,1732406,1750595,2,0.018717546190073667
11,ENSG00000250644,1734821,1763954,3,0.018717546190073667
11,CTSD,1752752,1764573,2,0.016604274846033086
11,SYT8,1828307,1837521,1,0.006279434850863422
11,LSP1,1850904,1892267,8,0.009117256370003624
11,PRR33,1888078,1891895,1,0.008392706194903999
11,TNNT3,1919703,1938706,2,0.008573843738678904
11,IGF2,2129112,2158391,3,0.007487018476029466
11,ENSG00000284779,2131395,2149603,2,0.007487018476029466
11,INS-IGF2,2132538,2161209,3,0.007487018476029466
11,TH,2163929,2171815,1,0.006943605844704746
11,ASCL2,2268498,2270588,1,0.007970051926095883
11,C11orf21,2295628,2303049,1,0.007607776838546069
11,TSPAN32,2301997,2318204,2,0.014068349233184396
11,CD81,2376177,2397802,2,0.006158676488346819
11,TRPM5,2404515,2444514,5,0.00591715976331361
11,KCNQ1,2444654,2849105,42,0.012800386426760053
11,SLC22A18,2899721,2925246,4,0.006883226663446445
11,NAP1L4,2944431,2992377,6,0.01497403695205893
11,CARS1,3000922,3057613,6,0.01642313730225818
11,OSBPL5,3087107,3166739,15,0.01575896630841686
11,MRGPRE,3225030,3232417,1,0.0070039850259630484
11,ZNF195,3339261,3379222,5,0.01551744958338365
11,ART1,3645128,3664416,5,0.015577828764641952
11,NUP98,3671083,3797792,16,0.011773940345368918
11,PGAP2,3797724,3826371,4,0.0069436058447047465
11,RHOG,3826978,3840959,2,0.00676246830092984
11,STIM1,3854527,4093210,24,0.017570341746165924
11,RRM1,4094707,4138932,4,0.013524936601859678
11,SSU72L5,4233217,4234287,1,0.013887211689409491
11,SSU72L4,4287084,4288185,1,0.006702089119671538
11,SSU72L3,4329790,4330864,1,0.0076077768385460695
11,SSU72L1,4338245,4339345,1,0.007909672744837582
11,TRIM21,4384897,4393702,1,0.008332327013645696
11,OR52K1,4482646,4493497,1,0.020589300809081026
11,OR52M1,4545191,4546144,1,0.06140562733969327
11,OR52I2,4581743,4593340,1,0.019562854727689892
11,OR52I1,4594039,4595013,1,0.0170269291148412
11,TRIM68,4598672,4608231,1,0.017268445839874406
11,OR51D1,4637477,4643060,1,0.014491003501992509
11,OR51E1,4643420,4655488,2,0.014007970051926093
11,OR51E2,4680171,4697854,2,0.008936118826228717
11,OR51C1P,4690423,4697853,1,0.008211568651129092
11,MMP26,4704784,4992431,35,0.03169907016060862
