gene_id	gene_name	start	end	strand
ENSG00000186092.7	OR4F5	65419	71585	+
ENSG00000284733.2	OR4F29	450740	451678	-
ENSG00000284662.2	OR4F16	685716	686654	-
ENSG00000187634.13	SAMD11	923923	944575	+
ENSG00000188976.11	NOC2L	944203	959309	-
ENSG00000187961.15	KLHL17	960584	965719	+
ENSG00000187583.11	PLEKHN1	966482	975865	+
ENSG00000187642.10	PERM1	975198	982117	-
ENSG00000188290.11	HES4	998962	1000172	-
ENSG00000187608.10	ISG15	1001138	1014540	+
ENSG00000188157.15	AGRN	1020120	1056118	+
ENSG00000237330.3	RNF223	1070967	1074306	-
ENSG00000131591.18	C1orf159	1081818	1116361	-
ENSG00000162571.14	TTLL10	1173880	1197936	+
ENSG00000186891.14	TNFRSF18	1203508	1206592	-
ENSG00000186827.12	TNFRSF4	1211326	1214153	-
ENSG00000078808.20	SDF4	1216931	1232031	-
ENSG00000176022.7	B3GALT6	1232237	1235041	+
ENSG00000184163.3	C1QTNF12	1242446	1246722	-
ENSG00000160087.21	UBE2J2	1253909	1273864	-
ENSG00000162572.21	SCNN1D	1280436	1292029	+
ENSG00000131584.19	ACAP3	1292390	1309609	-
ENSG00000169972.13	PUSL1	1308597	1311677	+
ENSG00000127054.22	INTS11	1311585	1324687	-
ENSG00000224051.7	CPTP	1324756	1328896	+
ENSG00000169962.5	TAS1R3	1331280	1335314	+
ENSG00000107404.21	DVL1	1335276	1349418	-
ENSG00000162576.17	MXRA8	1352689	1361777	-
ENSG00000175756.14	AURKAIP1	1373730	1375207	-
ENSG00000221978.13	CCNL2	1385711	1399335	-
ENSG00000242485.6	MRPL20	1401909	1407293	-
ENSG00000235098.9	ANKRD65	1418420	1421769	-
ENSG00000205116.4	TMEM88B	1425871	1430255	+
ENSG00000179403.12	VWA1	1434861	1442882	+
ENSG00000215915.10	ATAD3C	1449689	1470163	+
ENSG00000160072.20	ATAD3B	1471765	1497848	+
ENSG00000197785.14	ATAD3A	1512162	1534685	+
ENSG00000205090.10	TMEM240	1534778	1540624	-
ENSG00000160075.12	SSU72	1541673	1574863	-
ENSG00000228594.4	FNDC10	1598012	1600135	-
ENSG00000197530.13	MIB2	1615454	1630605	+
ENSG00000189409.14	MMP23B	1632163	1635263	+
ENSG00000248333.9	CDK11B	1635225	1659012	-
ENSG00000189339.12	SLC35E2B	1659529	1692795	-
ENSG00000008128.23	CDK11A	1702379	1724357	-
ENSG00000008130.15	NADK	1751232	1780457	-
ENSG00000078369.19	GNB1	1785285	1892292	-
ENSG00000169885.10	CALML6	1915108	1917296	+
ENSG00000178821.13	TMEM52	1917590	1919279	-
ENSG00000142609.20	CFAP74	1921951	2003837	-
ENSG00000187730.9	GABRD	2019329	2030758	+
ENSG00000067606.17	PRKCZ	2050411	2185395	+
ENSG00000162585.17	FAAP20	2184461	2212720	-
ENSG00000157933.11	SKI	2227388	2310213	+
ENSG00000116151.14	MORN1	2321253	2391707	-
ENSG00000157916.20	RER1	2391775	2405442	+
ENSG00000157911.11	PEX10	2403964	2413797	-
ENSG00000149527.18	PLCH2	2425980	2505532	+
ENSG00000157881.16	PANK4	2508537	2526597	-
ENSG00000197921.6	HES5	2528745	2530263	-
ENSG00000157873.18	TNFRSF14	2555639	2565382	+
ENSG00000157870.17	PRXL2B	2586491	2591469	+
ENSG00000142606.16	MMEL1	2590639	2633016	-
ENSG00000215912.13	TTC34	2636986	2801693	-
ENSG00000169717.7	ACTRT2	3021467	3022903	+
ENSG00000142611.17	PRDM16	3069168	3438621	+
ENSG00000130762.15	ARHGEF16	3454665	3481113	+
ENSG00000162591.17	MEGF6	3487951	3611508	-
ENSG00000158109.15	TPRG1L	3625015	3630127	+
ENSG00000116213.16	WRAP73	3630767	3652761	-
ENSG00000078900.16	TP73	3652516	3736201	+
ENSG00000162592.10	CCDC27	3746460	3771645	+
ENSG00000235169.11	SMIM1	3772749	3775982	+
ENSG00000130764.10	LRRC47	3778559	3796498	-
ENSG00000116198.14	CEP104	3812086	3857396	-
ENSG00000169598.17	DFFB	3857267	3885429	+
ENSG00000198912.12	C1orf174	3889125	3900293	-
ENSG00000196581.11	AJAP1	4654609	4792534	+
ENSG00000131697.18	NPHP4	5862811	5992473	-
ENSG00000069424.16	KCNAB2	5990927	6101193	+
ENSG00000116254.18	CHD5	6101787	6180321	-
ENSG00000285629.1	ENSG00000285629	6159430	6197757	-
ENSG00000116251.11	RPL22	6185020	6209389	-
ENSG00000158286.13	RNF207	6205475	6221299	+
ENSG00000116237.16	ICMT	6221193	6235972	-
ENSG00000173673.9	HES3	6244179	6245578	+
ENSG00000158292.7	GPR153	6247353	6261098	-
ENSG00000097021.21	ACOT7	6264269	6393767	-
ENSG00000069812.11	HES2	6412418	6424670	-
ENSG00000187017.18	ESPN	6424776	6461367	+
ENSG00000215788.11	TNFRSF25	6460786	6466175	-
ENSG00000171680.23	PLEKHG5	6467122	6520074	-
ENSG00000162408.11	NOL9	6521347	6554513	-
ENSG00000173662.21	TAS1R1	6555307	6579755	+
ENSG00000204859.13	ZBTB48	6579994	6589280	+
ENSG00000162413.17	KLHL21	6590724	6614607	-
ENSG00000116273.6	PHF13	6613731	6624030	+
ENSG00000041988.16	THAP3	6624868	6635586	+
ENSG00000007923.17	DNAJC11	6634168	6701924	-
ENSG00000171735.21	CAMTA1	6785454	7769706	+
ENSG00000049245.13	VAMP3	7771296	7781432	+
ENSG00000049246.15	PER3	7784291	7845177	+
ENSG00000049247.14	UTS2	7843083	7853512	-
ENSG00000049249.10	TNFRSF9	7915871	7943165	-
ENSG00000116288.13	PARK7	7954291	7985505	+
ENSG00000116285.13	ERRFI1	8004404	8026309	-
ENSG00000162426.16	SLC45A1	8318114	8344167	+
ENSG00000142599.20	RERE	8352397	8848921	-
ENSG00000074800.16	ENO1	8861000	8879190	-
ENSG00000131686.15	CA6	8945867	8975092	+
ENSG00000197241.4	SLC2A7	9002973	9026423	-
ENSG00000142583.18	SLC2A5	9035106	9088478	-
ENSG00000180758.12	GPR157	9100305	9129102	-
ENSG00000049239.13	H6PD	9234774	9271337	+
ENSG00000171621.14	SPSB1	9292894	9369532	+
ENSG00000171612.7	SLC25A33	9539465	9585173	+
ENSG00000188807.13	TMEM201	9588911	9614877	+
ENSG00000171608.18	PIK3CD	9629889	9729114	+
ENSG00000171603.18	CLSTN1	9728926	9823984	-
ENSG00000178585.15	CTNNBIP1	9848276	9910336	-
ENSG00000162441.12	LZIC	9922113	9943407	-
ENSG00000173614.14	NMNAT1	9943428	9985501	+
ENSG00000162444.12	RBP7	9997206	10016021	+
ENSG00000130939.20	UBE4B	10032832	10181239	+
ENSG00000054523.20	KIF1B	10210570	10381603	+
ENSG00000142657.21	PGD	10398592	10420511	+
ENSG00000251503.8	CENPS-CORT	10430102	10452153	+
ENSG00000175279.22	CENPS	10430433	10442808	+
ENSG00000241563.4	CORT	10450031	10451998	+
ENSG00000160049.12	DFFA	10456522	10472529	-
ENSG00000142655.13	PEX14	10472288	10630758	+
ENSG00000130940.15	CASZ1	10636604	10796650	-
ENSG00000175262.15	C1orf127	10946471	10982076	-
ENSG00000120948.19	TARDBP	11012344	11030528	+
ENSG00000009724.18	MASP2	11022009	11047239	-
ENSG00000116649.10	SRM	11054584	11060020	-
ENSG00000171824.14	EXOSC10	11066618	11099869	-
ENSG00000198793.14	MTOR	11106535	11262556	-
ENSG00000171819.5	ANGPTL7	11189355	11195981	+
ENSG00000120942.14	UBIAD1	11273198	11296049	+
ENSG00000204624.8	DISP3	11479155	11537551	+
ENSG00000116661.11	FBXO2	11637018	11655785	-
ENSG00000132879.14	FBXO44	11654375	11663327	+
ENSG00000116670.16	MAD2L2	11658918	11691811	-
ENSG00000116663.11	FBXO6	11664200	11674354	+
ENSG00000162490.7	DRAXIN	11691710	11725857	+
ENSG00000177674.16	AGTRAP	11736084	11754802	+
ENSG00000215910.8	C1orf167	11761787	11789585	+
ENSG00000177000.13	MTHFR	11785723	11806455	-
ENSG00000011021.23	CLCN6	11806096	11848079	+
ENSG00000175206.11	NPPA	11845709	11848345	-
ENSG00000120937.9	NPPB	11857464	11858945	-
ENSG00000116685.17	KIAA2013	11919591	11926428	-
ENSG00000083444.17	PLOD1	11934205	11975538	+
ENSG00000116688.18	MFN2	11980181	12015211	+
ENSG00000116691.11	MIIP	12019466	12032045	+
ENSG00000120949.15	TNFRSF8	12063303	12144207	+
ENSG00000028137.19	TNFRSF1B	12166991	12209228	+
ENSG00000048707.15	VPS13D	12230030	12512047	+
ENSG00000162496.10	DHRS3	12567909	12620133	-
ENSG00000204518.3	AADACL4	12644085	12667076	+
ENSG00000188984.12	AADACL3	12716110	12728760	+
ENSG00000157330.10	CFAP107	12746200	12763699	+
ENSG00000116726.5	PRAMEF12	12773738	12777906	+
ENSG00000116721.9	PRAMEF1	12791397	12796628	+
ENSG00000239810.3	PRAMEF11	12824605	12831410	-
ENSG00000179172.10	HNRNPCL1	12847377	12848720	-
ENSG00000120952.4	PRAMEF2	12857086	12861909	+
ENSG00000243073.4	PRAMEF4	12879212	12886201	-
ENSG00000187545.5	PRAMEF10	12892896	12898270	-
ENSG00000204510.6	PRAMEF7	12916610	12920751	+
ENSG00000232423.6	PRAMEF6	12938472	12947580	-
ENSG00000274764.6	PRAMEF27	13049476	13056575	-
ENSG00000277058.3	HNRNPCL3	13060769	13062878	+
